state,year,age,pop
NM,2010,5-17,369173
NM,2010,50-64,382778
NM,2010,65+,258388
NM,2011,0-4,143988
NM,2011,18-49,861522
NM,2011,5-17,371237
NM,2011,50-64,394138
NM,2011,65+,266251
NM,2012,0-4,143937
NM,2012,18-49,862627
NM,2012,5-17,371533
NM,2012,50-64,402087
NM,2012,65+,275103
NM,2013,0-4,141533
NM,2013,18-49,863200
NM,2013,5-17,372370
NM,2013,50-64,407484
NM,2013,65+,285119
NM,2014,0-4,140022
NM,2014,18-49,861890
NM,2014,5-17,370855
NM,2014,50-64,412051
NM,2014,65+,295267
NM,2015,0-4,137989
NM,2015,18-49,859073
NM,2015,5-17,368701
NM,2015,50-64,411876
NM,2015,65+,306478
NM,2016,0-4,133769
NM,2016,18-49,852106
NM,2016,5-17,367981
NM,2016,50-64,410527
NM,2016,65+,318286
NM,2017,0-4,131062
NM,2017,18-49,850218
NM,2017,5-17,366665
NM,2017,50-64,408201
NM,2017,65+,328682
NM,2018,0-4,128357
NM,2018,18-49,852336
NM,2018,5-17,365807
NM,2018,50-64,404419
NM,2018,65+,341515
NM,2019,0-4,126150
NM,2019,18-49,851090
NM,2019,5-17,362326
NM,2019,50-64,400201
NM,2019,65+,352687
NM,2020,0-4,122993
NM,2020,18-49,853331
NM,2020,5-17,360461
NM,2020,50-64,395336
NM,2020,65+,364900
NM,2021,0-4,120716
NM,2021,18-49,858111
NM,2021,5-17,364610
NM,2021,50-64,396388
NM,2021,65+,369541
NM,2022,0-4,115927
NM,2022,18-49,866612
NM,2022,5-17,357551
NM,2022,50-64,389701
NM,2022,65+,382672
NY,2009,0-4,168166
NY,2009,18-49,937072
NY,2009,5-17,361975
NY,2009,50-64,414839
NY,2009,65+,295268
NY,2010,0-4,169433
NY,2010,18-49,940406
NY,2010,5-17,368318
NY,2010,50-64,430251
NY,2010,65+,304540
NY,2011,0-4,168315
NY,2011,18-49,935366
NY,2011,5-17,362559
NY,2011,50-64,441001
NY,2011,65+,309563
NY,2012,0-4,167866
NY,2012,18-49,930860
NY,2012,5-17,356310
NY,2012,50-64,450337
NY,2012,65+,315974
NY,2013,0-4,167557
NY,2013,18-49,925893
NY,2013,5-17,350339
NY,2013,50-64,457975
NY,2013,65+,322982
NY,2014,0-4,166755
NY,2014,18-49,921298
NY,2014,5-17,345716
NY,2014,50-64,463534
NY,2014,65+,330882
NY,2015,0-4,166772
NY,2015,18-49,916427
NY,2015,5-17,340601
NY,2015,50-64,466349
NY,2015,65+,340141
NY,2016,0-4,166118
NY,2016,18-49,909898
NY,2016,5-17,336334
NY,2016,50-64,467147
NY,2016,65+,350285
NY,2017,0-4,166912
NY,2017,18-49,904251
NY,2017,5-17,331666
NY,2017,50-64,467148
NY,2017,65+,360160
NY,2018,0-4,165566
NY,2018,18-49,894011
NY,2018,5-17,327179
NY,2018,50-64,465305
NY,2018,65+,369393
NY,2019,0-4,164925
NY,2019,18-49,888553
NY,2019,5-17,323275
NY,2019,50-64,462268
NY,2019,65+,379847
NY,2020,0-4,163738
NY,2020,18-49,883303
NY,2020,5-17,320740
NY,2020,50-64,459076
NY,2020,65+,390114
NY,2021,0-4,164584
NY,2021,18-49,894557
NY,2021,5-17,329165
NY,2021,50-64,468400
NY,2021,65+,398552
NY,2022,0-4,161569
NY,2022,18-49,900749
NY,2022,5-17,322989
NY,2022,50-64,459443
NY,2022,65+,411583
OR,2009,0-4,108905
OR,2009,18-49,759622
OR,2009,5-17,265306
OR,2009,50-64,292312
OR,2009,65+,166314
OR,2010,0-4,104358
OR,2010,18-49,754669
OR,2010,5-17,266713
OR,2010,50-64,301222
OR,2010,65+,172218
OR,2011,0-4,105126
OR,2011,18-49,761297
OR,2011,5-17,268102
OR,2011,50-64,310631
OR,2011,65+,177754
OR,2012,0-4,105311
OR,2012,18-49,768304
OR,2012,5-17,269605
OR,2012,50-64,317893
OR,2012,65+,185021
OR,2013,0-4,105001
OR,2013,18-49,774888
OR,2013,5-17,270712
OR,2013,50-64,324045
OR,2013,65+,193135
OR,2014,0-4,104553
OR,2014,18-49,781329
OR,2014,5-17,271844
OR,2014,50-64,329465
OR,2014,65+,202328
OR,2015,0-4,104611
OR,2015,18-49,790626
OR,2015,5-17,273016
OR,2015,50-64,333547
OR,2015,65+,212266
OR,2016,0-4,105076
OR,2016,18-49,800536
OR,2016,5-17,273563
OR,2016,50-64,334856
OR,2016,65+,223217
OR,2017,0-4,104452
OR,2017,18-49,812842
OR,2017,5-17,275308
OR,2017,50-64,335699
OR,2017,65+,232191
OR,2018,0-4,103912
OR,2018,18-49,826529
OR,2018,5-17,276885
OR,2018,50-64,336042
OR,2018,65+,242888
OR,2019,0-4,102171
OR,2019,18-49,837096
OR,2019,5-17,276822
OR,2019,50-64,335076
OR,2019,65+,253385
OR,2020,0-4,100402
OR,2020,18-49,846539
OR,2020,5-17,276276
OR,2020,50-64,334091
OR,2020,65+,263406
OR,2021,0-4,96998
OR,2021,18-49,848018
OR,2021,5-17,279202
OR,2021,50-64,335491
OR,2021,65+,265848
OR,2022,0-4,93074
OR,2022,18-49,851005
OR,2022,5-17,273723
OR,2022,50-64,332882
OR,2022,65+,277880
TN,2009,0-4,222437
TN,2009,18-49,1447304
TN,2009,5-17,549600
TN,2009,50-64,547460
TN,2009,65+,341202
TN,2010,0-4,247974
TN,2010,18-49,1684641
TN,2010,5-17,653015
TN,2010,50-64,685133
TN,2010,65+,432972
TN,2011,0-4,249542
TN,2011,18-49,1691419
TN,2011,5-17,655403
TN,2011,50-64,706871
TN,2011,65+,444732
TN,2012,0-4,250861
TN,2012,18-49,1698087
TN,2012,5-17,657672
TN,2012,50-64,724909
TN,2012,65+,458330
TN,2013,0-4,250801
TN,2013,18-49,1704103
TN,2013,5-17,659774
TN,2013,50-64,741023
TN,2013,65+,473428
TN,2014,0-4,251310
TN,2014,18-49,1710294
TN,2014,5-17,662326
TN,2014,50-64,754384
TN,2014,65+,491330
TN,2015,0-4,251928
TN,2015,18-49,1718081
TN,2015,5-17,664958
TN,2015,50-64,765016
TN,2015,65+,510276
TN,2016,0-4,252992
TN,2016,18-49,1725510
TN,2016,5-17,667732
TN,2016,50-64,772483
TN,2016,65+,531136
TN,2017,0-4,253317
TN,2017,18-49,1737261
TN,2017,5-17,671815
TN,2017,50-64,778594
TN,2017,65+,551945
TN,2018,0-4,253697
TN,2018,18-49,1749260
TN,2018,5-17,675102
TN,2018,50-64,781673
TN,2018,65+,572441
TN,2019,0-4,254956
TN,2019,18-49,1763646
TN,2019,5-17,676782
TN,2019,50-64,784637
TN,2019,65+,592676
TN,2020,0-4,255568
TN,2020,18-49,1779318
TN,2020,5-17,679541
TN,2020,50-64,787164
TN,2020,65+,613682
TN,2021,0-4,254314
TN,2021,18-49,1798812
TN,2021,5-17,696871
TN,2021,50-64,799367
TN,2021,65+,622512
TN,2022,0-4,252389
TN,2022,18-49,1819085
TN,2022,5-17,693454
TN,2022,50-64,798386
TN,2022,65+,647316
