"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Westmoreland County, PA","42129","30-34 years","30-34",945
,"Westmoreland County, PA","42129","35-39 years","35-39",396
,"Westmoreland County, PA","42129","40-44 years","40-44",54
,"Westmoreland County, PA","42129","45-49 years","45-49",Suppressed
,"Westmoreland County, PA","42129","50 years and over","50+",0
,"York County, PA","42133","Under 15 years","15",Suppressed
,"York County, PA","42133","15-19 years","15-19",256
,"York County, PA","42133","20-24 years","20-24",1064
,"York County, PA","42133","25-29 years","25-29",1609
,"York County, PA","42133","30-34 years","30-34",1395
,"York County, PA","42133","35-39 years","35-39",530
,"York County, PA","42133","40-44 years","40-44",107
,"York County, PA","42133","45-49 years","45-49",Suppressed
,"York County, PA","42133","50 years and over","50+",Suppressed
,"Unidentified Counties, PA","42999","Under 15 years","15",13
,"Unidentified Counties, PA","42999","15-19 years","15-19",956
,"Unidentified Counties, PA","42999","20-24 years","20-24",4170
,"Unidentified Counties, PA","42999","25-29 years","25-29",5429
,"Unidentified Counties, PA","42999","30-34 years","30-34",3953
,"Unidentified Counties, PA","42999","35-39 years","35-39",1586
,"Unidentified Counties, PA","42999","40-44 years","40-44",289
,"Unidentified Counties, PA","42999","45-49 years","45-49",22
,"Unidentified Counties, PA","42999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Pennsylvania (42)"
"Year: 2016"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 2:22:34 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 2:22:34 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
