"Notes","State of Residence","State of Residence Code","Tobacco Use","Tobacco Use Code",Births
,"New Mexico","35","Unknown or Not Stated","9",130
,"New York","36","Yes","1",11143
,"New York","36","No","2",222833
,"New York","36","Unknown or Not Stated","9",307
,"North Carolina","37","Yes","1",10780
,"North Carolina","37","No","2",109955
,"North Carolina","37","Unknown or Not Stated","9",44
,"North Dakota","38","Yes","1",1368
,"North Dakota","38","No","2",9996
,"North Dakota","38","Unknown or Not Stated","9",19
,"Ohio","39","Yes","1",19764
,"Ohio","39","No","2",117958
,"Ohio","39","Unknown or Not Stated","9",363
,"Oklahoma","40","Yes","1",6162
,"Oklahoma","40","No","2",46402
,"Oklahoma","40","Unknown or Not Stated","9",28
,"Oregon","41","Yes","1",4326
,"Oregon","41","No","2",41079
,"Oregon","41","Unknown or Not Stated","9",130
,"Pennsylvania","42","Yes","1",15875
,"Pennsylvania","42","No","2",121682
,"Pennsylvania","42","Unknown or Not Stated","9",1852
,"Rhode Island","44","Yes","1",775
,"Rhode Island","44","No","2",9704
,"Rhode Island","44","Unknown or Not Stated","9",319
,"South Carolina","45","Yes","1",5231
,"South Carolina","45","No","2",52073
,"South Carolina","45","Unknown or Not Stated","9",38
,"South Dakota","46","Yes","1",1668
,"South Dakota","46","No","2",10564
,"South Dakota","46","Unknown or Not Stated","9",43
,"Tennessee","47","Yes","1",10771
,"Tennessee","47","No","2",69535
,"Tennessee","47","Unknown or Not Stated","9",501
,"Texas","48","Yes","1",12978
,"Texas","48","No","2",384993
,"Texas","48","Unknown or Not Stated","9",76
,"Utah","49","Yes","1",1499
,"Utah","49","No","2",48738
,"Utah","49","Unknown or Not Stated","9",227
,"Vermont","50","Yes","1",881
,"Vermont","50","No","2",4795
,"Vermont","50","Unknown or Not Stated","9",80
,"Virginia","51","Yes","1",6243
,"Virginia","51","No","2",94960
,"Virginia","51","Unknown or Not Stated","9",1257
,"Washington","53","Yes","1",6204
,"Washington","53","No","2",83404
,"Washington","53","Unknown or Not Stated","9",897
,"West Virginia","54","Yes","1",4591
,"West Virginia","54","No","2",13714
,"West Virginia","54","Unknown or Not Stated","9",774
,"Wisconsin","55","Yes","1",7492
,"Wisconsin","55","No","2",58745
,"Wisconsin","55","Unknown or Not Stated","9",378
,"Wyoming","56","Yes","1",1043
,"Wyoming","56","No","2",6109
,"Wyoming","56","Unknown or Not Stated","9",234
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2016"
"Group By: State of Residence; Tobacco Use"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 8:04:39 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 8:04:39 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
