"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Butler County, PA","42019","Not Reported","NR",0
,"Cambria County, PA","42021","American Indian or Alaska Native","1002-5",Suppressed
,"Cambria County, PA","42021","Asian","A",16
,"Cambria County, PA","42021","Black or African American","2054-5",81
,"Cambria County, PA","42021","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Cambria County, PA","42021","White","2106-3",1228
,"Cambria County, PA","42021","More than one race","M",29
,"Cambria County, PA","42021","Unknown or Not Stated","UNK",0
,"Cambria County, PA","42021","Not Available","NA",0
,"Cambria County, PA","42021","Not Reported","NR",0
,"Centre County, PA","42027","American Indian or Alaska Native","1002-5",Suppressed
,"Centre County, PA","42027","Asian","A",105
,"Centre County, PA","42027","Black or African American","2054-5",29
,"Centre County, PA","42027","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Centre County, PA","42027","White","2106-3",1051
,"Centre County, PA","42027","More than one race","M",21
,"Centre County, PA","42027","Unknown or Not Stated","UNK",0
,"Centre County, PA","42027","Not Available","NA",0
,"Centre County, PA","42027","Not Reported","NR",0
,"Chester County, PA","42029","American Indian or Alaska Native","1002-5",Suppressed
,"Chester County, PA","42029","Asian","A",427
,"Chester County, PA","42029","Black or African American","2054-5",379
,"Chester County, PA","42029","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Chester County, PA","42029","White","2106-3",4404
,"Chester County, PA","42029","More than one race","M",107
,"Chester County, PA","42029","Unknown or Not Stated","UNK",0
,"Chester County, PA","42029","Not Available","NA",0
,"Chester County, PA","42029","Not Reported","NR",0
,"Cumberland County, PA","42041","American Indian or Alaska Native","1002-5",Suppressed
,"Cumberland County, PA","42041","Asian","A",195
,"Cumberland County, PA","42041","Black or African American","2054-5",151
,"Cumberland County, PA","42041","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Cumberland County, PA","42041","White","2106-3",2252
,"Cumberland County, PA","42041","More than one race","M",79
,"Cumberland County, PA","42041","Unknown or Not Stated","UNK",0
,"Cumberland County, PA","42041","Not Available","NA",0
,"Cumberland County, PA","42041","Not Reported","NR",0
,"Dauphin County, PA","42043","American Indian or Alaska Native","1002-5",Suppressed
,"Dauphin County, PA","42043","Asian","A",237
,"Dauphin County, PA","42043","Black or African American","2054-5",834
,"Dauphin County, PA","42043","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Dauphin County, PA","42043","White","2106-3",2134
,"Dauphin County, PA","42043","More than one race","M",219
,"Dauphin County, PA","42043","Unknown or Not Stated","UNK",0
,"Dauphin County, PA","42043","Not Available","NA",0
,"Dauphin County, PA","42043","Not Reported","NR",0
,"Delaware County, PA","42045","American Indian or Alaska Native","1002-5",Suppressed
,"Delaware County, PA","42045","Asian","A",499
,"Delaware County, PA","42045","Black or African American","2054-5",1908
,"Delaware County, PA","42045","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Delaware County, PA","42045","White","2106-3",3969
,"Delaware County, PA","42045","More than one race","M",185
,"Delaware County, PA","42045","Unknown or Not Stated","UNK",0
,"Delaware County, PA","42045","Not Available","NA",0
,"Delaware County, PA","42045","Not Reported","NR",0
,"Erie County, PA","42049","American Indian or Alaska Native","1002-5",Suppressed
,"Erie County, PA","42049","Asian","A",121
,"Erie County, PA","42049","Black or African American","2054-5",421
,"Erie County, PA","42049","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Erie County, PA","42049","White","2106-3",2384
,"Erie County, PA","42049","More than one race","M",131
,"Erie County, PA","42049","Unknown or Not Stated","UNK",0
,"Erie County, PA","42049","Not Available","NA",0
,"Erie County, PA","42049","Not Reported","NR",0
,"Fayette County, PA","42051","American Indian or Alaska Native","1002-5",0
,"Fayette County, PA","42051","Asian","A",Suppressed
,"Fayette County, PA","42051","Black or African American","2054-5",60
,"Fayette County, PA","42051","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Fayette County, PA","42051","White","2106-3",1242
,"Fayette County, PA","42051","More than one race","M",40
,"Fayette County, PA","42051","Unknown or Not Stated","UNK",0
,"Fayette County, PA","42051","Not Available","NA",0
,"Fayette County, PA","42051","Not Reported","NR",0
,"Franklin County, PA","42055","American Indian or Alaska Native","1002-5",Suppressed
,"Franklin County, PA","42055","Asian","A",19
,"Franklin County, PA","42055","Black or African American","2054-5",77
,"Franklin County, PA","42055","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Franklin County, PA","42055","White","2106-3",1724
,"Franklin County, PA","42055","More than one race","M",45
,"Franklin County, PA","42055","Unknown or Not Stated","UNK",0
,"Franklin County, PA","42055","Not Available","NA",0
,"Franklin County, PA","42055","Not Reported","NR",0
,"Lackawanna County, PA","42069","American Indian or Alaska Native","1002-5",Suppressed
,"Lackawanna County, PA","42069","Asian","A",117
,"Lackawanna County, PA","42069","Black or African American","2054-5",145
,"Lackawanna County, PA","42069","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Lackawanna County, PA","42069","White","2106-3",1915
,"Lackawanna County, PA","42069","More than one race","M",63
,"Lackawanna County, PA","42069","Unknown or Not Stated","UNK",0
,"Lackawanna County, PA","42069","Not Available","NA",0
,"Lackawanna County, PA","42069","Not Reported","NR",0
,"Lancaster County, PA","42071","American Indian or Alaska Native","1002-5",Suppressed
,"Lancaster County, PA","42071","Asian","A",204
,"Lancaster County, PA","42071","Black or African American","2054-5",412
,"Lancaster County, PA","42071","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Lancaster County, PA","42071","White","2106-3",6199
,"Lancaster County, PA","42071","More than one race","M",167
