"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"New York","36","20-24 years","20-24",37668
,"New York","36","25-29 years","25-29",62540
,"New York","36","30-34 years","30-34",72304
,"New York","36","35-39 years","35-39",42620
,"New York","36","40-44 years","40-44",10097
,"New York","36","45-49 years","45-49",890
,"New York","36","50 years and over","50+",75
,"North Carolina","37","Under 15 years","15",73
,"North Carolina","37","15-19 years","15-19",7190
,"North Carolina","37","20-24 years","20-24",26962
,"North Carolina","37","25-29 years","25-29",36004
,"North Carolina","37","30-34 years","30-34",31992
,"North Carolina","37","35-39 years","35-39",15292
,"North Carolina","37","40-44 years","40-44",3063
,"North Carolina","37","45-49 years","45-49",193
,"North Carolina","37","50 years and over","50+",10
,"North Dakota","38","Under 15 years","15",Suppressed
,"North Dakota","38","15-19 years","15-19",469
,"North Dakota","38","20-24 years","20-24",2322
,"North Dakota","38","25-29 years","25-29",4063
,"North Dakota","38","30-34 years","30-34",3163
,"North Dakota","38","35-39 years","35-39",1127
,"North Dakota","38","40-44 years","40-44",220
,"North Dakota","38","45-49 years","45-49",16
,"North Dakota","38","50 years and over","50+",0
,"Ohio","39","Under 15 years","15",90
,"Ohio","39","15-19 years","15-19",8151
,"Ohio","39","20-24 years","20-24",31274
,"Ohio","39","25-29 years","25-29",42860
,"Ohio","39","30-34 years","30-34",37147
,"Ohio","39","35-39 years","35-39",15616
,"Ohio","39","40-44 years","40-44",2760
,"Ohio","39","45-49 years","45-49",173
,"Ohio","39","50 years and over","50+",14
,"Oklahoma","40","Under 15 years","15",49
,"Oklahoma","40","15-19 years","15-19",4250
,"Oklahoma","40","20-24 years","20-24",14253
,"Oklahoma","40","25-29 years","25-29",16292
,"Oklahoma","40","30-34 years","30-34",12193
,"Oklahoma","40","35-39 years","35-39",4650
,"Oklahoma","40","40-44 years","40-44",850
,"Oklahoma","40","45-49 years","45-49",55
,"Oklahoma","40","50 years and over","50+",0
,"Oregon","41","Under 15 years","15",10
,"Oregon","41","15-19 years","15-19",2004
,"Oregon","41","20-24 years","20-24",8373
,"Oregon","41","25-29 years","25-29",13393
,"Oregon","41","30-34 years","30-34",13258
,"Oregon","41","35-39 years","35-39",6937
,"Oregon","41","40-44 years","40-44",1469
,"Oregon","41","45-49 years","45-49",87
,"Oregon","41","50 years and over","50+",Suppressed
,"Pennsylvania","42","Under 15 years","15",67
,"Pennsylvania","42","15-19 years","15-19",6385
,"Pennsylvania","42","20-24 years","20-24",26284
,"Pennsylvania","42","25-29 years","25-29",41578
,"Pennsylvania","42","30-34 years","30-34",42322
,"Pennsylvania","42","35-39 years","35-39",19084
,"Pennsylvania","42","40-44 years","40-44",3410
,"Pennsylvania","42","45-49 years","45-49",257
,"Pennsylvania","42","50 years and over","50+",22
,"Rhode Island","44","Under 15 years","15",Suppressed
,"Rhode Island","44","15-19 years","15-19",474
,"Rhode Island","44","20-24 years","20-24",1837
,"Rhode Island","44","25-29 years","25-29",3085
,"Rhode Island","44","30-34 years","30-34",3325
,"Rhode Island","44","35-39 years","35-39",1725
,"Rhode Island","44","40-44 years","40-44",327
,"Rhode Island","44","45-49 years","45-49",18
,"Rhode Island","44","50 years and over","50+",Suppressed
,"South Carolina","45","Under 15 years","15",44
,"South Carolina","45","15-19 years","15-19",3695
,"South Carolina","45","20-24 years","20-24",13557
,"South Carolina","45","25-29 years","25-29",17691
,"South Carolina","45","30-34 years","30-34",14411
,"South Carolina","45","35-39 years","35-39",6671
,"South Carolina","45","40-44 years","40-44",1187
,"South Carolina","45","45-49 years","45-49",82
,"South Carolina","45","50 years and over","50+",Suppressed
,"South Dakota","46","Under 15 years","15",Suppressed
,"South Dakota","46","15-19 years","15-19",681
,"South Dakota","46","20-24 years","20-24",2616
,"South Dakota","46","25-29 years","25-29",4167
,"South Dakota","46","30-34 years","30-34",3315
,"South Dakota","46","35-39 years","35-39",1254
,"South Dakota","46","40-44 years","40-44",222
,"South Dakota","46","45-49 years","45-49",11
,"South Dakota","46","50 years and over","50+",Suppressed
,"Tennessee","47","Under 15 years","15",69
,"Tennessee","47","15-19 years","15-19",5766
,"Tennessee","47","20-24 years","20-24",20516
,"Tennessee","47","25-29 years","25-29",24669
,"Tennessee","47","30-34 years","30-34",19639
,"Tennessee","47","35-39 years","35-39",8456
,"Tennessee","47","40-44 years","40-44",1586
,"Tennessee","47","45-49 years","45-49",104
,"Tennessee","47","50 years and over","50+",Suppressed
,"Texas","48","Under 15 years","15",404
,"Texas","48","15-19 years","15-19",29765
,"Texas","48","20-24 years","20-24",92959
,"Texas","48","25-29 years","25-29",114615
,"Texas","48","30-34 years","30-34",101319
,"Texas","48","35-39 years","35-39",48201
,"Texas","48","40-44 years","40-44",10096
,"Texas","48","45-49 years","45-49",640
,"Texas","48","50 years and over","50+",48
,"Utah","49","Under 15 years","15",10
,"Utah","49","15-19 years","15-19",1829
,"Utah","49","20-24 years","20-24",10515
,"Utah","49","25-29 years","25-29",17017
,"Utah","49","30-34 years","30-34",13769
,"Utah","49","35-39 years","35-39",6188
,"Utah","49","40-44 years","40-44",1056
,"Utah","49","45-49 years","45-49",73
,"Utah","49","50 years and over","50+",Suppressed
,"Vermont","50","Under 15 years","15",Suppressed
,"Vermont","50","15-19 years","15-19",213
,"Vermont","50","20-24 years","20-24",1018
,"Vermont","50","25-29 years","25-29",1634
,"Vermont","50","30-34 years","30-34",1771
,"Vermont","50","35-39 years","35-39",945
,"Vermont","50","40-44 years","40-44",163
,"Vermont","50","45-49 years","45-49",Suppressed
,"Vermont","50","50 years and over","50+",Suppressed
,"Virginia","51","Under 15 years","15",45
,"Virginia","51","15-19 years","15-19",4114
,"Virginia","51","20-24 years","20-24",18741
,"Virginia","51","25-29 years","25-29",28881
,"Virginia","51","30-34 years","30-34",30993
,"Virginia","51","35-39 years","35-39",16116
,"Virginia","51","40-44 years","40-44",3288
,"Virginia","51","45-49 years","45-49",261
,"Virginia","51","50 years and over","50+",21
,"Washington","53","Under 15 years","15",34
,"Washington","53","15-19 years","15-19",3584
,"Washington","53","20-24 years","20-24",15616
,"Washington","53","25-29 years","25-29",26468
,"Washington","53","30-34 years","30-34",28060
,"Washington","53","35-39 years","35-39",13722
,"Washington","53","40-44 years","40-44",2795
,"Washington","53","45-49 years","45-49",207
,"Washington","53","50 years and over","50+",19
,"West Virginia","54","Under 15 years","15",17
,"West Virginia","54","15-19 years","15-19",1555
,"West Virginia","54","20-24 years","20-24",5541
,"West Virginia","54","25-29 years","25-29",5910
,"West Virginia","54","30-34 years","30-34",4069
,"West Virginia","54","35-39 years","35-39",1701
,"West Virginia","54","40-44 years","40-44",270
,"West Virginia","54","45-49 years","45-49",14
,"West Virginia","54","50 years and over","50+",Suppressed
,"Wisconsin","55","Under 15 years","15",22
,"Wisconsin","55","15-19 years","15-19",2808
,"Wisconsin","55","20-24 years","20-24",11914
,"Wisconsin","55","25-29 years","25-29",21083
,"Wisconsin","55","30-34 years","30-34",20730
,"Wisconsin","55","35-39 years","35-39",8577
,"Wisconsin","55","40-44 years","40-44",1407
,"Wisconsin","55","45-49 years","45-49",68
,"Wisconsin","55","50 years and over","50+",Suppressed
,"Wyoming","56","Under 15 years","15",Suppressed
,"Wyoming","56","15-19 years","15-19",463
,"Wyoming","56","20-24 years","20-24",1760
,"Wyoming","56","25-29 years","25-29",2362
,"Wyoming","56","30-34 years","30-34",1914
,"Wyoming","56","35-39 years","35-39",734
,"Wyoming","56","40-44 years","40-44",135
,"Wyoming","56","45-49 years","45-49",12
,"Wyoming","56","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2016"
"Group By: State of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 4:44:54 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 4:44:54 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
