"Notes","State of Residence","State of Residence Code","Plurality","Plurality Code",Births
,"Mississippi","28","Single","1",36661
,"Mississippi","28","Twin","2",1231
,"Mississippi","28","Triplet or higher","3",36
,"Missouri","29","Single","1",72018
,"Missouri","29","Twin","2",2594
,"Missouri","29","Triplet or higher","3",93
,"Montana","30","Single","1",11897
,"Montana","30","Twin","2",379
,"Montana","30","Triplet or higher","3",Suppressed
,"Nebraska","31","Single","1",25643
,"Nebraska","31","Twin","2",898
,"Nebraska","31","Triplet or higher","3",48
,"Nevada","32","Single","1",35123
,"Nevada","32","Twin","2",1115
,"Nevada","32","Triplet or higher","3",22
,"New Hampshire","33","Single","1",11895
,"New Hampshire","33","Twin","2",351
,"New Hampshire","33","Triplet or higher","3",21
,"New Jersey","34","Single","1",98641
,"New Jersey","34","Twin","2",3900
,"New Jersey","34","Triplet or higher","3",106
,"New Mexico","35","Single","1",24035
,"New Mexico","35","Twin","2",642
,"New Mexico","35","Triplet or higher","3",15
,"New York","36","Single","1",225522
,"New York","36","Twin","2",8539
,"New York","36","Triplet or higher","3",222
,"North Carolina","37","Single","1",116530
,"North Carolina","37","Twin","2",4126
,"North Carolina","37","Triplet or higher","3",123
,"North Dakota","38","Single","1",11004
,"North Dakota","38","Twin","2",364
,"North Dakota","38","Triplet or higher","3",15
,"Ohio","39","Single","1",132936
,"Ohio","39","Twin","2",4975
,"Ohio","39","Triplet or higher","3",174
,"Oklahoma","40","Single","1",50914
,"Oklahoma","40","Twin","2",1641
,"Oklahoma","40","Triplet or higher","3",37
,"Oregon","41","Single","1",43986
,"Oregon","41","Twin","2",1501
,"Oregon","41","Triplet or higher","3",48
,"Pennsylvania","42","Single","1",134533
,"Pennsylvania","42","Twin","2",4766
,"Pennsylvania","42","Triplet or higher","3",110
,"Rhode Island","44","Single","1",10389
,"Rhode Island","44","Twin","2",393
,"Rhode Island","44","Triplet or higher","3",16
,"South Carolina","45","Single","1",55202
,"South Carolina","45","Twin","2",2063
,"South Carolina","45","Triplet or higher","3",77
,"South Dakota","46","Single","1",11825
,"South Dakota","46","Twin","2",429
,"South Dakota","46","Triplet or higher","3",21
,"Tennessee","47","Single","1",78075
,"Tennessee","47","Twin","2",2641
,"Tennessee","47","Triplet or higher","3",91
,"Texas","48","Single","1",385145
,"Texas","48","Twin","2",12505
,"Texas","48","Triplet or higher","3",397
,"Utah","49","Single","1",48547
,"Utah","49","Twin","2",1863
,"Utah","49","Triplet or higher","3",54
,"Vermont","50","Single","1",5568
,"Vermont","50","Twin","2",185
,"Vermont","50","Triplet or higher","3",Suppressed
,"Virginia","51","Single","1",98834
,"Virginia","51","Twin","2",3534
,"Virginia","51","Triplet or higher","3",92
,"Washington","53","Single","1",87792
,"Washington","53","Twin","2",2649
,"Washington","53","Triplet or higher","3",64
,"West Virginia","54","Single","1",18491
,"West Virginia","54","Twin","2",565
,"West Virginia","54","Triplet or higher","3",23
,"Wisconsin","55","Single","1",64318
,"Wisconsin","55","Twin","2",2243
,"Wisconsin","55","Triplet or higher","3",54
,"Wyoming","56","Single","1",7162
,"Wyoming","56","Twin","2",221
,"Wyoming","56","Triplet or higher","3",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2016"
"Group By: State of Residence; Plurality"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 8:02:24 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 8:02:24 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
