"Mechanism","State","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Drowning (includes water transport)","Georgia","2019","145","10,628,020","1.36","1.35","4,267"
"Drowning (includes water transport)","Georgia","2018","129","10,519,389","1.23","1.22","3,658"
"Drowning (includes water transport)","Hawaii","2023","40","1,435,138","2.79","2.55","686"
"Drowning (includes water transport)","Hawaii","2022","55","1,439,399","3.82","3.66","1,270"
"Drowning (includes water transport)","Hawaii","2021","51","1,446,745","3.53","3.36","946"
"Drowning (includes water transport)","Hawaii","2020","51","1,451,181","3.51","3.43","979"
"Drowning (includes water transport)","Hawaii","2019","45","1,415,615","3.18","3.12","776"
"Drowning (includes water transport)","Hawaii","2018","51","1,423,102","3.58","3.23","884"
"Drowning (includes water transport)","Idaho","2023","28","1,964,726","1.43","1.28","566"
"Drowning (includes water transport)","Idaho","2022","28","1,938,996","1.44","1.37","510"
"Drowning (includes water transport)","Idaho","2021","37","1,904,537","1.94","1.85","971"
"Drowning (includes water transport)","Idaho","2020","25","1,849,339","1.35","1.40","533"
"Drowning (includes water transport)","Idaho","2019","26","1,789,060","1.45","1.55","813"
"Drowning (includes water transport)","Idaho","2018","36","1,752,074","2.06","2.11","1,037"
"Drowning (includes water transport)","Illinois","2023","128","12,549,689","1.02","0.99","3,064"
"Drowning (includes water transport)","Illinois","2022","121","12,582,515","0.96","0.94","3,005"
"Drowning (includes water transport)","Illinois","2021","163","12,690,341","1.28","1.23","3,688"
"Drowning (includes water transport)","Illinois","2020","146","12,790,357","1.14","1.11","3,783"
"Drowning (includes water transport)","Illinois","2019","130","12,667,017","1.03","0.98","2,887"
"Drowning (includes water transport)","Illinois","2018","121","12,724,685","0.95","0.92","3,230"
"Drowning (includes water transport)","Indiana","2023","73","6,862,199","1.06","1.09","2,030"
"Drowning (includes water transport)","Indiana","2022","88","6,832,274","1.29","1.29","2,817"
"Drowning (includes water transport)","Indiana","2021","88","6,813,798","1.29","1.32","2,633"
"Drowning (includes water transport)","Indiana","2020","85","6,789,098","1.25","1.23","2,119"
"Drowning (includes water transport)","Indiana","2019","81","6,731,010","1.20","1.21","2,452"
"Drowning (includes water transport)","Indiana","2018","75","6,698,481","1.12","1.11","2,057"
"Drowning (includes water transport)","Iowa","2023","35","3,207,004","1.09","1.11","1,017"
"Drowning (includes water transport)","Iowa","2022","32","3,199,693","1.00","1.02","843"
"Drowning (includes water transport)","Iowa","2021","40","3,197,944","1.25","1.29","1,000"
"Drowning (includes water transport)","Iowa","2020","33","3,190,904","1.03","1.03","860"
"Drowning (includes water transport)","Iowa","2019","33","3,159,596","1.04","1.00","817"
"Drowning (includes water transport)","Iowa","2018","30","3,149,900","0.95","0.96","848"
"Drowning (includes water transport)","Kansas","2023","33","2,940,546","1.12","1.09","803"
