"Mechanism","State","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Cut/Pierce","Maryland","2018","46","6,042,153","0.76","0.70","1,056"
"Cut/Pierce","Massachusetts","2023","62","7,001,399","0.89","0.79","1,083"
"Cut/Pierce","Massachusetts","2022","59","6,982,740","0.85","0.80","1,173"
"Cut/Pierce","Massachusetts","2021","54","6,991,951","0.77","0.74","967"
"Cut/Pierce","Massachusetts","2020","60","6,997,713","0.86","0.82","1,366"
"Cut/Pierce","Massachusetts","2019","62","6,894,883","0.90","0.85","1,355"
"Cut/Pierce","Massachusetts","2018","50","6,885,720","0.73","0.67","901"
"Cut/Pierce","Michigan","2023","85","10,037,261","0.85","0.88","1,732"
"Cut/Pierce","Michigan","2022","80","10,033,281","0.80","0.78","1,581"
"Cut/Pierce","Michigan","2021","96","10,038,117","0.96","0.93","2,161"
"Cut/Pierce","Michigan","2020","91","10,070,627","0.90","0.89","2,006"
"Cut/Pierce","Michigan","2019","78","9,984,795","0.78","0.74","1,603"
"Cut/Pierce","Michigan","2018","72","9,987,286","0.72","0.66","1,366"
"Cut/Pierce","Minnesota","2023","36","5,737,915","0.63","0.62","772"
"Cut/Pierce","Minnesota","2022","40","5,714,300","0.70","0.71","788"
"Cut/Pierce","Minnesota","2021","42","5,717,968","0.74","0.69","802"
"Cut/Pierce","Minnesota","2020","31","5,710,578","0.54","0.52","600"
"Cut/Pierce","Minnesota","2019","28","5,640,053","0.50","0.49","543"
"Cut/Pierce","Minnesota","2018","30","5,608,762","0.54","0.54","701"
"Cut/Pierce","Mississippi","2023","23","2,939,690","0.78","0.73","435"
"Cut/Pierce","Mississippi","2022","21","2,938,928","0.72","0.71","486"
"Cut/Pierce","Mississippi","2021","34","2,949,582","1.15","1.11","701"
"Cut/Pierce","Mississippi","2020","42","2,958,409","1.42","1.44","956"
"Cut/Pierce","Mississippi","2019","35","2,978,227","1.18","1.23","772"
"Cut/Pierce","Mississippi","2018","23","2,982,879","0.77","0.73","455"
"Cut/Pierce","Missouri","2023","36","6,196,156","0.58","0.62","714"
"Cut/Pierce","Missouri","2022","41","6,177,168","0.66","0.62","795"
"Cut/Pierce","Missouri","2021","44","6,170,393","0.71","0.72","966"
"Cut/Pierce","Missouri","2020","54","6,154,426","0.88","0.88","1,178"
"Cut/Pierce","Missouri","2019","49","6,140,475","0.80","0.74","904"
"Cut/Pierce","Missouri","2018","53","6,125,986","0.87","0.85","1,178"
