"Mechanism","Age Group","State","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"","0 to 4","Utah","2018","--","249,486","0.00**","--","--"
"","0 to 4","Vermont","2023","--","27,348","0.00**","--","--"
"","0 to 4","Vermont","2022","--","27,925","0.00**","--","--"
"","0 to 4","Vermont","2021","--","28,365","0.00**","--","--"
"","0 to 4","Vermont","2020","--","29,020","0.00**","--","--"
"","0 to 4","Vermont","2019","--","28,818","0.00**","--","--"
"","0 to 4","Vermont","2018","--","29,499","0.00**","--","--"
"","0 to 4","Washington","2023","--","421,127","0.00**","--","--"
"","0 to 4","Washington","2019","--","454,705","0.00**","--","--"
"","0 to 4","West Virginia","2023","--","87,399","0.00**","--","--"
"","0 to 4","West Virginia","2022","--","87,920","0.00**","--","--"
"","0 to 4","West Virginia","2019","--","93,357","0.00**","--","--"
"","0 to 4","West Virginia","2018","--","96,103","0.00**","--","--"
"","0 to 4","Wyoming","2023","--","30,785","0.00**","--","--"
"","0 to 4","Wyoming","2022","--","31,346","0.00**","--","--"
"","0 to 4","Wyoming","2021","--","32,193","0.00**","--","--"
"","0 to 4","Wyoming","2020","--","33,345","0.00**","--","--"
"","0 to 4","Wyoming","2019","--","34,679","0.00**","--","--"
"","0 to 4","Wyoming","2018","--","35,798","0.00**","--","--"
"","5 to 9","Alabama","2021","--","308,597","0.00**","--","--"
"","5 to 9","Alaska","2021","--","51,032","0.00**","--","--"
"","5 to 9","Alaska","2019","--","51,946","0.00**","--","--"
"","5 to 9","Alaska","2018","--","52,302","0.00**","--","--"
"","5 to 9","Arizona","2021","--","440,732","0.00**","--","--"
"","5 to 9","Arizona","2020","--","438,874","0.00**","--","--"
"","5 to 9","Arizona","2018","--","451,303","0.00**","--","--"
"","5 to 9","Arkansas","2019","--","192,927","0.00**","--","--"
"","5 to 9","Arkansas","2018","--","193,202","0.00**","--","--"
"","5 to 9","Colorado","2019","--","346,980","0.00**","--","--"
"","5 to 9","Connecticut","2023","--","195,555","0.00**","--","--"
"","5 to 9","Connecticut","2022","--","195,707","0.00**","--","--"
"","5 to 9","Connecticut","2021","--","195,545","0.00**","--","--"
"","5 to 9","Connecticut","2019","--","194,906","0.00**","--","--"
"","5 to 9","Connecticut","2018","--","196,503","0.00**","--","--"
"","5 to 9","Delaware","2023","--","58,192","0.00**","--","--"
"","5 to 9","Delaware","2022","--","57,974","0.00**","--","--"
"","5 to 9","Delaware","2020","--","57,505","0.00**","--","--"
"","5 to 9","Delaware","2019","--","56,570","0.00**","--","--"
"","5 to 9","District of Columbia","2023","--","37,493","0.00**","--","--"
"","5 to 9","District of Columbia","2022","--","37,388","0.00**","--","--"
"","5 to 9","District of Columbia","2020","--","37,848","0.00**","--","--"
"","5 to 9","District of Columbia","2019","--","38,255","0.00**","--","--"
"","5 to 9","District of Columbia","2018","--","37,515","0.00**","--","--"
"","5 to 9","Hawaii","2023","--","84,275","0.00**","--","--"
"","5 to 9","Hawaii","2022","--","86,199","0.00**","--","--"
"","5 to 9","Hawaii","2021","--","87,693","0.00**","--","--"
"","5 to 9","Hawaii","2020","--","88,941","0.00**","--","--"
"","5 to 9","Hawaii","2019","--","88,018","0.00**","--","--"
"","5 to 9","Hawaii","2018","--","87,523","0.00**","--","--"
"","5 to 9","Idaho","2023","--","128,907","0.00**","--","--"
"","5 to 9","Idaho","2022","--","129,439","0.00**","--","--"
"","5 to 9","Idaho","2021","--","128,290","0.00**","--","--"
"","5 to 9","Idaho","2019","--","123,593","0.00**","--","--"
"","5 to 9","Idaho","2018","--","122,921","0.00**","--","--"
"","5 to 9","Iowa","2023","--","202,391","0.00**","--","--"
"","5 to 9","Iowa","2020","--","202,420","0.00**","--","--"
"","5 to 9","Iowa","2018","--","200,860","0.00**","--","--"
"","5 to 9","Kansas","2022","--","193,652","0.00**","--","--"
"","5 to 9","Kansas","2018","--","197,854","0.00**","--","--"
"","5 to 9","Kentucky","2022","--","282,306","0.00**","--","--"
