"Notes","State of Residence","State of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Illinois","17","Hispanic or Latino","2135-2",31428
,"Illinois","17","Not Hispanic or Latino","2186-5",116379
,"Illinois","17","Unknown or Not Stated","9",1583
,"Indiana","18","Hispanic or Latino","2135-2",7669
,"Indiana","18","Not Hispanic or Latino","2186-5",74475
,"Indiana","18","Unknown or Not Stated","9",26
,"Iowa","19","Hispanic or Latino","2135-2",3527
,"Iowa","19","Not Hispanic or Latino","2186-5",34899
,"Iowa","19","Unknown or Not Stated","9",Suppressed
,"Kansas","20","Hispanic or Latino","2135-2",5963
,"Kansas","20","Not Hispanic or Latino","2186-5",30512
,"Kansas","20","Unknown or Not Stated","9",44
,"Kentucky","21","Hispanic or Latino","2135-2",3162
,"Kentucky","21","Not Hispanic or Latino","2186-5",51445
,"Kentucky","21","Unknown or Not Stated","9",145
,"Louisiana","22","Hispanic or Latino","2135-2",4778
,"Louisiana","22","Not Hispanic or Latino","2186-5",56210
,"Louisiana","22","Unknown or Not Stated","9",30
,"Maine","23","Hispanic or Latino","2135-2",229
,"Maine","23","Not Hispanic or Latino","2186-5",12065
,"Maine","23","Unknown or Not Stated","9",Suppressed
,"Maryland","24","Hispanic or Latino","2135-2",12223
,"Maryland","24","Not Hispanic or Latino","2186-5",59222
,"Maryland","24","Unknown or Not Stated","9",196
,"Massachusetts","25","Hispanic or Latino","2135-2",13609
,"Massachusetts","25","Not Hispanic or Latino","2186-5",55318
,"Massachusetts","25","Unknown or Not Stated","9",1775
,"Michigan","26","Hispanic or Latino","2135-2",7339
,"Michigan","26","Not Hispanic or Latino","2186-5",103875
,"Michigan","26","Unknown or Not Stated","9",212
,"Minnesota","27","Hispanic or Latino","2135-2",5023
,"Minnesota","27","Not Hispanic or Latino","2186-5",63178
,"Minnesota","27","Unknown or Not Stated","9",394
,"Mississippi","28","Hispanic or Latino","2135-2",1650
,"Mississippi","28","Not Hispanic or Latino","2186-5",35697
,"Mississippi","28","Unknown or Not Stated","9",10
,"Missouri","29","Hispanic or Latino","2135-2",4156
,"Missouri","29","Not Hispanic or Latino","2186-5",68554
,"Missouri","29","Unknown or Not Stated","9",324
,"Montana","30","Hispanic or Latino","2135-2",585
,"Montana","30","Not Hispanic or Latino","2186-5",11178
,"Montana","30","Unknown or Not Stated","9",36
,"Nebraska","31","Hispanic or Latino","2135-2",4382
,"Nebraska","31","Not Hispanic or Latino","2186-5",21424
,"Nebraska","31","Unknown or Not Stated","9",15
,"Nevada","32","Hispanic or Latino","2135-2",13176
,"Nevada","32","Not Hispanic or Latino","2186-5",22400
,"Nevada","32","Unknown or Not Stated","9",180
,"New Hampshire","33","Hispanic or Latino","2135-2",673
,"New Hampshire","33","Not Hispanic or Latino","2186-5",11379
,"New Hampshire","33","Unknown or Not Stated","9",64
,"New Jersey","34","Hispanic or Latino","2135-2",27354
,"New Jersey","34","Not Hispanic or Latino","2186-5",72380
,"New Jersey","34","Unknown or Not Stated","9",1516
,"New Mexico","35","Hispanic or Latino","2135-2",13362
,"New Mexico","35","Not Hispanic or Latino","2186-5",10343
,"New Mexico","35","Unknown or Not Stated","9",62
,"New York","36","Hispanic or Latino","2135-2",53112
,"New York","36","Not Hispanic or Latino","2186-5",174620
,"New York","36","Unknown or Not Stated","9",2005
,"North Carolina","37","Hispanic or Latino","2135-2",18464
,"North Carolina","37","Not Hispanic or Latino","2186-5",101566
,"North Carolina","37","Unknown or Not Stated","9",95
,"North Dakota","38","Hispanic or Latino","2135-2",587
,"North Dakota","38","Not Hispanic or Latino","2186-5",9974
,"North Dakota","38","Unknown or Not Stated","9",176
,"Ohio","39","Hispanic or Latino","2135-2",7468
,"Ohio","39","Not Hispanic or Latino","2186-5",129148
,"Ohio","39","Unknown or Not Stated","9",216
,"Oklahoma","40","Hispanic or Latino","2135-2",7441
,"Oklahoma","40","Not Hispanic or Latino","2186-5",42702
,"Oklahoma","40","Unknown or Not Stated","9",71
,"Oregon","41","Hispanic or Latino","2135-2",8275
,"Oregon","41","Not Hispanic or Latino","2186-5",35033
,"Oregon","41","Unknown or Not Stated","9",323
,"Pennsylvania","42","Hispanic or Latino","2135-2",15840
,"Pennsylvania","42","Not Hispanic or Latino","2186-5",120503
,"Pennsylvania","42","Unknown or Not Stated","9",1402
,"Rhode Island","44","Hispanic or Latino","2135-2",2760
,"Rhode Island","44","Not Hispanic or Latino","2186-5",7784
,"Rhode Island","44","Unknown or Not Stated","9",94
,"South Carolina","45","Hispanic or Latino","2135-2",5221
,"South Carolina","45","Not Hispanic or Latino","2186-5",51683
,"South Carolina","45","Unknown or Not Stated","9",125
,"South Dakota","46","Hispanic or Latino","2135-2",624
,"South Dakota","46","Not Hispanic or Latino","2186-5",11502
,"South Dakota","46","Unknown or Not Stated","9",Suppressed
,"Tennessee","47","Hispanic or Latino","2135-2",7684
,"Tennessee","47","Not Hispanic or Latino","2186-5",73238
,"Tennessee","47","Unknown or Not Stated","9",94
,"Texas","48","Hispanic or Latino","2135-2",180216
,"Texas","48","Not Hispanic or Latino","2186-5",201472
,"Texas","48","Unknown or Not Stated","9",362
,"Utah","49","Hispanic or Latino","2135-2",7832
,"Utah","49","Not Hispanic or Latino","2186-5",40299
,"Utah","49","Unknown or Not Stated","9",454
,"Vermont","50","Hispanic or Latino","2135-2",123
,"Vermont","50","Not Hispanic or Latino","2186-5",5483
,"Vermont","50","Unknown or Not Stated","9",49
,"Virginia","51","Hispanic or Latino","2135-2",13999
,"Virginia","51","Not Hispanic or Latino","2186-5",86195
,"Virginia","51","Unknown or Not Stated","9",197
,"Washington","53","Hispanic or Latino","2135-2",15973
,"Washington","53","Not Hispanic or Latino","2186-5",69298
,"Washington","53","Unknown or Not Stated","9",2291
,"West Virginia","54","Hispanic or Latino","2135-2",390
,"West Virginia","54","Not Hispanic or Latino","2186-5",18163
,"West Virginia","54","Unknown or Not Stated","9",122
,"Wisconsin","55","Hispanic or Latino","2135-2",6368
,"Wisconsin","55","Not Hispanic or Latino","2186-5",58299
,"Wisconsin","55","Unknown or Not Stated","9",308
,"Wyoming","56","Hispanic or Latino","2135-2",892
,"Wyoming","56","Not Hispanic or Latino","2186-5",5894
,"Wyoming","56","Unknown or Not Stated","9",117
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2017"
"Group By: State of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 4:57:36 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 4:57:36 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
