"Notes","State of Residence","State of Residence Code","Tobacco Use","Tobacco Use Code",Births
,"South Dakota","46","Yes","1",1519
,"South Dakota","46","No","2",10572
,"South Dakota","46","Unknown or Not Stated","9",43
,"Tennessee","47","Yes","1",10318
,"Tennessee","47","No","2",70045
,"Tennessee","47","Unknown or Not Stated","9",653
,"Texas","48","Yes","1",11394
,"Texas","48","No","2",370554
,"Texas","48","Unknown or Not Stated","9",102
,"Utah","49","Yes","1",1535
,"Utah","49","No","2",46911
,"Utah","49","Unknown or Not Stated","9",139
,"Vermont","50","Yes","1",868
,"Vermont","50","No","2",4719
,"Vermont","50","Unknown or Not Stated","9",68
,"Virginia","51","Yes","1",5588
,"Virginia","51","No","2",93683
,"Virginia","51","Unknown or Not Stated","9",1120
,"Washington","53","Yes","1",5887
,"Washington","53","No","2",80506
,"Washington","53","Unknown or Not Stated","9",1169
,"West Virginia","54","Yes","1",4590
,"West Virginia","54","No","2",13961
,"West Virginia","54","Unknown or Not Stated","9",124
,"Wisconsin","55","Yes","1",7110
,"Wisconsin","55","No","2",57438
,"Wisconsin","55","Unknown or Not Stated","9",427
,"Wyoming","56","Yes","1",968
,"Wyoming","56","No","2",5767
,"Wyoming","56","Unknown or Not Stated","9",168
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2017"
"Group By: State of Residence; Tobacco Use"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 8:22:05 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 8:22:05 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
