"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Randall County, TX","48381","45-49 years","45-49",Suppressed
,"Randall County, TX","48381","50 years and over","50+",0
,"Smith County, TX","48423","Under 15 years","15",Suppressed
,"Smith County, TX","48423","15-19 years","15-19",190
,"Smith County, TX","48423","20-24 years","20-24",684
,"Smith County, TX","48423","25-29 years","25-29",902
,"Smith County, TX","48423","30-34 years","30-34",713
,"Smith County, TX","48423","35-39 years","35-39",342
,"Smith County, TX","48423","40-44 years","40-44",56
,"Smith County, TX","48423","45-49 years","45-49",Suppressed
,"Smith County, TX","48423","50 years and over","50+",Suppressed
,"Tarrant County, TX","48439","Under 15 years","15",13
,"Tarrant County, TX","48439","15-19 years","15-19",1444
,"Tarrant County, TX","48439","20-24 years","20-24",5218
,"Tarrant County, TX","48439","25-29 years","25-29",7963
,"Tarrant County, TX","48439","30-34 years","30-34",7435
,"Tarrant County, TX","48439","35-39 years","35-39",3689
,"Tarrant County, TX","48439","40-44 years","40-44",792
,"Tarrant County, TX","48439","45-49 years","45-49",48
,"Tarrant County, TX","48439","50 years and over","50+",Suppressed
,"Taylor County, TX","48441","Under 15 years","15",Suppressed
,"Taylor County, TX","48441","15-19 years","15-19",152
,"Taylor County, TX","48441","20-24 years","20-24",497
,"Taylor County, TX","48441","25-29 years","25-29",621
,"Taylor County, TX","48441","30-34 years","30-34",480
,"Taylor County, TX","48441","35-39 years","35-39",159
,"Taylor County, TX","48441","40-44 years","40-44",22
,"Taylor County, TX","48441","45-49 years","45-49",0
,"Taylor County, TX","48441","50 years and over","50+",0
,"Tom Green County, TX","48451","Under 15 years","15",Suppressed
,"Tom Green County, TX","48451","15-19 years","15-19",122
,"Tom Green County, TX","48451","20-24 years","20-24",364
,"Tom Green County, TX","48451","25-29 years","25-29",519
,"Tom Green County, TX","48451","30-34 years","30-34",314
,"Tom Green County, TX","48451","35-39 years","35-39",141
,"Tom Green County, TX","48451","40-44 years","40-44",19
,"Tom Green County, TX","48451","45-49 years","45-49",0
,"Tom Green County, TX","48451","50 years and over","50+",0
,"Travis County, TX","48453","Under 15 years","15",12
,"Travis County, TX","48453","15-19 years","15-19",643
,"Travis County, TX","48453","20-24 years","20-24",2161
,"Travis County, TX","48453","25-29 years","25-29",3504
,"Travis County, TX","48453","30-34 years","30-34",4980
,"Travis County, TX","48453","35-39 years","35-39",3192
,"Travis County, TX","48453","40-44 years","40-44",642
,"Travis County, TX","48453","45-49 years","45-49",32
,"Travis County, TX","48453","50 years and over","50+",Suppressed
,"Webb County, TX","48479","Under 15 years","15",Suppressed
,"Webb County, TX","48479","15-19 years","15-19",461
,"Webb County, TX","48479","20-24 years","20-24",1194
,"Webb County, TX","48479","25-29 years","25-29",1274
,"Webb County, TX","48479","30-34 years","30-34",873
,"Webb County, TX","48479","35-39 years","35-39",424
,"Webb County, TX","48479","40-44 years","40-44",108
,"Webb County, TX","48479","45-49 years","45-49",Suppressed
,"Webb County, TX","48479","50 years and over","50+",Suppressed
,"Wichita County, TX","48485","Under 15 years","15",0
,"Wichita County, TX","48485","15-19 years","15-19",137
,"Wichita County, TX","48485","20-24 years","20-24",398
,"Wichita County, TX","48485","25-29 years","25-29",474
,"Wichita County, TX","48485","30-34 years","30-34",371
,"Wichita County, TX","48485","35-39 years","35-39",131
,"Wichita County, TX","48485","40-44 years","40-44",22
,"Wichita County, TX","48485","45-49 years","45-49",0
,"Wichita County, TX","48485","50 years and over","50+",0
,"Williamson County, TX","48491","Under 15 years","15",Suppressed
,"Williamson County, TX","48491","15-19 years","15-19",193
,"Williamson County, TX","48491","20-24 years","20-24",854
,"Williamson County, TX","48491","25-29 years","25-29",1876
,"Williamson County, TX","48491","30-34 years","30-34",2304
,"Williamson County, TX","48491","35-39 years","35-39",1371
,"Williamson County, TX","48491","40-44 years","40-44",243
,"Williamson County, TX","48491","45-49 years","45-49",10
,"Williamson County, TX","48491","50 years and over","50+",Suppressed
,"Unidentified Counties, TX","48999","Under 15 years","15",51
,"Unidentified Counties, TX","48999","15-19 years","15-19",4496
,"Unidentified Counties, TX","48999","20-24 years","20-24",15651
,"Unidentified Counties, TX","48999","25-29 years","25-29",17057
,"Unidentified Counties, TX","48999","30-34 years","30-34",12066
,"Unidentified Counties, TX","48999","35-39 years","35-39",5262
,"Unidentified Counties, TX","48999","40-44 years","40-44",1069
,"Unidentified Counties, TX","48999","45-49 years","45-49",59
,"Unidentified Counties, TX","48999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Texas (48)"
"Year: 2020"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 8:27:57 AM"
"---"
