"Notes","State of Residence","State of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Oklahoma","40","Unknown or Not Stated","9",65
,"Oregon","41","Hispanic or Latino","2135-2",7923
,"Oregon","41","Not Hispanic or Latino","2186-5",31589
,"Oregon","41","Unknown or Not Stated","9",308
,"Pennsylvania","42","Hispanic or Latino","2135-2",16741
,"Pennsylvania","42","Not Hispanic or Latino","2186-5",112451
,"Pennsylvania","42","Unknown or Not Stated","9",1501
,"Rhode Island","44","Hispanic or Latino","2135-2",2927
,"Rhode Island","44","Not Hispanic or Latino","2186-5",7112
,"Rhode Island","44","Unknown or Not Stated","9",62
,"South Carolina","45","Hispanic or Latino","2135-2",5993
,"South Carolina","45","Not Hispanic or Latino","2186-5",49573
,"South Carolina","45","Unknown or Not Stated","9",138
,"South Dakota","46","Hispanic or Latino","2135-2",660
,"South Dakota","46","Not Hispanic or Latino","2186-5",10281
,"South Dakota","46","Unknown or Not Stated","9",19
,"Tennessee","47","Hispanic or Latino","2135-2",8928
,"Tennessee","47","Not Hispanic or Latino","2186-5",69555
,"Tennessee","47","Unknown or Not Stated","9",206
,"Texas","48","Hispanic or Latino","2135-2",175940
,"Texas","48","Not Hispanic or Latino","2186-5",191817
,"Texas","48","Unknown or Not Stated","9",433
,"Utah","49","Hispanic or Latino","2135-2",8160
,"Utah","49","Not Hispanic or Latino","2186-5",36845
,"Utah","49","Unknown or Not Stated","9",697
,"Vermont","50","Hispanic or Latino","2135-2",132
,"Vermont","50","Not Hispanic or Latino","2186-5",4974
,"Vermont","50","Unknown or Not Stated","9",27
,"Virginia","51","Hispanic or Latino","2135-2",14806
,"Virginia","51","Not Hispanic or Latino","2186-5",79835
,"Virginia","51","Unknown or Not Stated","9",108
,"Washington","53","Hispanic or Latino","2135-2",16020
,"Washington","53","Not Hispanic or Latino","2186-5",64342
,"Washington","53","Unknown or Not Stated","9",2724
,"West Virginia","54","Hispanic or Latino","2135-2",373
,"West Virginia","54","Not Hispanic or Latino","2186-5",16855
,"West Virginia","54","Unknown or Not Stated","9",95
,"Wisconsin","55","Hispanic or Latino","2135-2",6438
,"Wisconsin","55","Not Hispanic or Latino","2186-5",53941
,"Wisconsin","55","Unknown or Not Stated","9",215
,"Wyoming","56","Hispanic or Latino","2135-2",818
,"Wyoming","56","Not Hispanic or Latino","2186-5",5186
,"Wyoming","56","Unknown or Not Stated","9",124
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2020"
"Group By: State of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 5:26:00 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 5:26:00 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
