"Intent or Manner","Age Group","State","Race","Death Count","Population","Crude Rate"
"Suicide","5 to 9","Mississippi","Black","--","74,257","--"
"Suicide","5 to 9","Missouri","White","--","288,933","--"
"Suicide","5 to 9","Missouri","Black","--","52,583","--"
"Suicide","5 to 9","Montana","White","--","53,642","--"
"Suicide","5 to 9","Montana","Black","--","506","--"
"Suicide","5 to 9","Nebraska","White","--","107,959","--"
"Suicide","5 to 9","Nebraska","Black","--","9,337","--"
"Suicide","5 to 9","Nevada","White","--","125,774","--"
"Suicide","5 to 9","Nevada","Black","--","25,726","--"
"Suicide","5 to 9","New Hampshire","White","--","60,463","--"
"Suicide","5 to 9","New Hampshire","Black","--","1,950","--"
"Suicide","5 to 9","New Jersey","White","--","355,366","--"
"Suicide","5 to 9","New Jersey","Black","--","94,868","--"
"Suicide","5 to 9","New Mexico","White","--","92,171","--"
"Suicide","5 to 9","New Mexico","Black","--","3,999","--"
"Suicide","5 to 9","New York","White","--","706,845","--"
"Suicide","5 to 9","New York","Black","--","207,675","--"
"Suicide","5 to 9","North Carolina","White","--","389,028","--"
"Suicide","5 to 9","North Carolina","Black","--","152,837","--"
"Suicide","5 to 9","North Dakota","White","--","41,662","--"
"Suicide","5 to 9","North Dakota","Black","--","2,647","--"
"Suicide","5 to 9","Ohio","White","--","522,622","--"
"Suicide","5 to 9","Ohio","Black","--","118,216","--"
"Suicide","5 to 9","Oklahoma","White","--","170,292","--"
"Suicide","5 to 9","Oklahoma","Black","--","22,416","--"
"Suicide","5 to 9","Oregon","White","--","186,810","--"
"Suicide","5 to 9","Oregon","Black","--","6,815","--"
"Suicide","5 to 9","Pennsylvania","White","--","524,297","--"
"Suicide","5 to 9","Pennsylvania","Black","--","115,368","--"
"Suicide","5 to 9","Rhode Island","White","--","40,792","--"
"Suicide","5 to 9","Rhode Island","Black","--","7,127","--"
"Suicide","5 to 9","South Carolina","White","--","191,092","--"
"Suicide","5 to 9","South Carolina","Black","--","88,438","--"
"Suicide","5 to 9","South Dakota","White","--","45,215","--"
"Suicide","5 to 9","South Dakota","Black","--","2,304","--"
"Suicide","5 to 9","Tennessee","White","--","304,096","--"
"Suicide","5 to 9","Tennessee","Black","--","82,016","--"
"Suicide","5 to 9","Texas","White","--","907,424","--"
"Suicide","5 to 9","Texas","Black","--","222,505","--"
"Suicide","5 to 9","Utah","White","--","225,081","--"
"Suicide","5 to 9","Utah","Black","--","4,156","--"
"Suicide","5 to 9","Vermont","White","--","28,735","--"
"Suicide","5 to 9","Vermont","Black","--","626","--"
"Suicide","5 to 9","Virginia","White","--","326,955","--"
"Suicide","5 to 9","Virginia","Black","--","109,021","--"
"Suicide","5 to 9","Washington","White","--","323,165","--"
"Suicide","5 to 9","Washington","Black","--","24,468","--"
"Suicide","5 to 9","West Virginia","White","--","86,725","--"
"Suicide","5 to 9","West Virginia","Black","--","3,819","--"
"Suicide","5 to 9","Wisconsin","White","--","265,474","--"
"Suicide","5 to 9","Wisconsin","Black","--","33,227","--"
"Suicide","5 to 9","Wyoming","White","--","31,456","--"
"Suicide","5 to 9","Wyoming","Black","--","531","--"
"Suicide","10 to 14","Alabama","White","--","205,964","--"
"Suicide","10 to 14","Alabama","Black","--","93,054","--"
"Suicide","10 to 14","Alaska","White","--","26,801","--"
"Suicide","10 to 14","Alaska","Black","--","1,591","--"
"Suicide","10 to 14","Arizona","White","--","353,118","--"
"Suicide","10 to 14","Arizona","Black","--","31,062","--"
"Suicide","10 to 14","Arkansas","White","--","148,612","--"
