"Notes","State of Residence","State of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Indiana","18","Hispanic or Latino","2135-2",7867
,"Indiana","18","Not Hispanic or Latino","2186-5",73749
,"Indiana","18","Unknown or Not Stated","9",30
,"Iowa","19","Hispanic or Latino","2135-2",3694
,"Iowa","19","Not Hispanic or Latino","2186-5",34086
,"Iowa","19","Unknown or Not Stated","9",Suppressed
,"Kansas","20","Hispanic or Latino","2135-2",5977
,"Kansas","20","Not Hispanic or Latino","2186-5",30220
,"Kansas","20","Unknown or Not Stated","9",64
,"Kentucky","21","Hispanic or Latino","2135-2",3226
,"Kentucky","21","Not Hispanic or Latino","2186-5",50550
,"Kentucky","21","Unknown or Not Stated","9",146
,"Louisiana","22","Hispanic or Latino","2135-2",4717
,"Louisiana","22","Not Hispanic or Latino","2186-5",54852
,"Louisiana","22","Unknown or Not Stated","9",46
,"Maine","23","Hispanic or Latino","2135-2",224
,"Maine","23","Not Hispanic or Latino","2186-5",12080
,"Maine","23","Unknown or Not Stated","9",Suppressed
,"Maryland","24","Hispanic or Latino","2135-2",12470
,"Maryland","24","Not Hispanic or Latino","2186-5",58304
,"Maryland","24","Unknown or Not Stated","9",306
,"Massachusetts","25","Hispanic or Latino","2135-2",13810
,"Massachusetts","25","Not Hispanic or Latino","2186-5",54222
,"Massachusetts","25","Unknown or Not Stated","9",1077
,"Michigan","26","Hispanic or Latino","2135-2",7139
,"Michigan","26","Not Hispanic or Latino","2186-5",102624
,"Michigan","26","Unknown or Not Stated","9",269
,"Minnesota","27","Hispanic or Latino","2135-2",4991
,"Minnesota","27","Not Hispanic or Latino","2186-5",62160
,"Minnesota","27","Unknown or Not Stated","9",193
,"Mississippi","28","Hispanic or Latino","2135-2",1666
,"Mississippi","28","Not Hispanic or Latino","2186-5",35312
,"Mississippi","28","Unknown or Not Stated","9",22
,"Missouri","29","Hispanic or Latino","2135-2",4409
,"Missouri","29","Not Hispanic or Latino","2186-5",68587
,"Missouri","29","Unknown or Not Stated","9",273
,"Montana","30","Hispanic or Latino","2135-2",558
,"Montana","30","Not Hispanic or Latino","2186-5",10923
,"Montana","30","Unknown or Not Stated","9",32
,"Nebraska","31","Hispanic or Latino","2135-2",4155
,"Nebraska","31","Not Hispanic or Latino","2186-5",21317
,"Nebraska","31","Unknown or Not Stated","9",16
,"Nevada","32","Hispanic or Latino","2135-2",13307
,"Nevada","32","Not Hispanic or Latino","2186-5",22249
,"Nevada","32","Unknown or Not Stated","9",126
,"New Hampshire","33","Hispanic or Latino","2135-2",745
,"New Hampshire","33","Not Hispanic or Latino","2186-5",11188
,"New Hampshire","33","Unknown or Not Stated","9",62
,"New Jersey","34","Hispanic or Latino","2135-2",27597
,"New Jersey","34","Not Hispanic or Latino","2186-5",71990
,"New Jersey","34","Unknown or Not Stated","9",1636
,"New Mexico","35","Hispanic or Latino","2135-2",12783
,"New Mexico","35","Not Hispanic or Latino","2186-5",10197
,"New Mexico","35","Unknown or Not Stated","9",59
,"New York","36","Hispanic or Latino","2135-2",51755
,"New York","36","Not Hispanic or Latino","2186-5",171942
,"New York","36","Unknown or Not Stated","9",2541
,"North Carolina","37","Hispanic or Latino","2135-2",18360
,"North Carolina","37","Not Hispanic or Latino","2186-5",100520
,"North Carolina","37","Unknown or Not Stated","9",74
,"North Dakota","38","Hispanic or Latino","2135-2",635
,"North Dakota","38","Not Hispanic or Latino","2186-5",9835
,"North Dakota","38","Unknown or Not Stated","9",166
,"Ohio","39","Hispanic or Latino","2135-2",7432
,"Ohio","39","Not Hispanic or Latino","2186-5",127498
,"Ohio","39","Unknown or Not Stated","9",204
,"Oklahoma","40","Hispanic or Latino","2135-2",7545
,"Oklahoma","40","Not Hispanic or Latino","2186-5",42184
,"Oklahoma","40","Unknown or Not Stated","9",71
,"Oregon","41","Hispanic or Latino","2135-2",7993
,"Oregon","41","Not Hispanic or Latino","2186-5",33823
,"Oregon","41","Unknown or Not Stated","9",372
,"Pennsylvania","42","Hispanic or Latino","2135-2",15826
,"Pennsylvania","42","Not Hispanic or Latino","2186-5",118151
,"Pennsylvania","42","Unknown or Not Stated","9",1696
,"Rhode Island","44","Hispanic or Latino","2135-2",2756
,"Rhode Island","44","Not Hispanic or Latino","2186-5",7669
,"Rhode Island","44","Unknown or Not Stated","9",81
,"South Carolina","45","Hispanic or Latino","2135-2",5255
,"South Carolina","45","Not Hispanic or Latino","2186-5",51289
,"South Carolina","45","Unknown or Not Stated","9",125
,"South Dakota","46","Hispanic or Latino","2135-2",661
,"South Dakota","46","Not Hispanic or Latino","2186-5",11210
,"South Dakota","46","Unknown or Not Stated","9",22
,"Tennessee","47","Hispanic or Latino","2135-2",7824
,"Tennessee","47","Not Hispanic or Latino","2186-5",72698
,"Tennessee","47","Unknown or Not Stated","9",229
,"Texas","48","Hispanic or Latino","2135-2",179142
,"Texas","48","Not Hispanic or Latino","2186-5",199069
,"Texas","48","Unknown or Not Stated","9",413
,"Utah","49","Hispanic or Latino","2135-2",8133
,"Utah","49","Not Hispanic or Latino","2186-5",37931
,"Utah","49","Unknown or Not Stated","9",1145
,"Vermont","50","Hispanic or Latino","2135-2",121
,"Vermont","50","Not Hispanic or Latino","2186-5",5275
,"Vermont","50","Unknown or Not Stated","9",36
,"Virginia","51","Hispanic or Latino","2135-2",14397
,"Virginia","51","Not Hispanic or Latino","2186-5",85340
,"Virginia","51","Unknown or Not Stated","9",106
,"Washington","53","Hispanic or Latino","2135-2",16073
,"Washington","53","Not Hispanic or Latino","2186-5",67691
,"Washington","53","Unknown or Not Stated","9",2321
,"West Virginia","54","Hispanic or Latino","2135-2",378
,"West Virginia","54","Not Hispanic or Latino","2186-5",17764
,"West Virginia","54","Unknown or Not Stated","9",106
,"Wisconsin","55","Hispanic or Latino","2135-2",6365
,"Wisconsin","55","Not Hispanic or Latino","2186-5",57490
,"Wisconsin","55","Unknown or Not Stated","9",243
,"Wyoming","56","Hispanic or Latino","2135-2",851
,"Wyoming","56","Not Hispanic or Latino","2186-5",5560
,"Wyoming","56","Unknown or Not Stated","9",151
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2018"
"Group By: State of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 5:07:04 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 5:07:04 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
