"Notes","State of Residence","State of Residence Code","Plurality","Plurality Code",Births
,"Oklahoma","40","Twin","2",1642
,"Oklahoma","40","Triplet or higher","3",29
,"Oregon","41","Single","1",40698
,"Oregon","41","Twin","2",1464
,"Oregon","41","Triplet or higher","3",26
,"Pennsylvania","42","Single","1",131199
,"Pennsylvania","42","Twin","2",4338
,"Pennsylvania","42","Triplet or higher","3",136
,"Rhode Island","44","Single","1",10123
,"Rhode Island","44","Twin","2",365
,"Rhode Island","44","Triplet or higher","3",18
,"South Carolina","45","Single","1",54785
,"South Carolina","45","Twin","2",1860
,"South Carolina","45","Triplet or higher","3",24
,"South Dakota","46","Single","1",11466
,"South Dakota","46","Twin","2",424
,"South Dakota","46","Triplet or higher","3",Suppressed
,"Tennessee","47","Single","1",78042
,"Tennessee","47","Twin","2",2624
,"Tennessee","47","Triplet or higher","3",85
,"Texas","48","Single","1",366664
,"Texas","48","Twin","2",11603
,"Texas","48","Triplet or higher","3",357
,"Utah","49","Single","1",45580
,"Utah","49","Twin","2",1571
,"Utah","49","Triplet or higher","3",58
,"Vermont","50","Single","1",5249
,"Vermont","50","Twin","2",180
,"Vermont","50","Triplet or higher","3",Suppressed
,"Virginia","51","Single","1",96370
,"Virginia","51","Twin","2",3368
,"Virginia","51","Triplet or higher","3",105
,"Washington","53","Single","1",83506
,"Washington","53","Twin","2",2501
,"Washington","53","Triplet or higher","3",78
,"West Virginia","54","Single","1",17657
,"West Virginia","54","Twin","2",585
,"West Virginia","54","Triplet or higher","3",Suppressed
,"Wisconsin","55","Single","1",61795
,"Wisconsin","55","Twin","2",2236
,"Wisconsin","55","Triplet or higher","3",67
,"Wyoming","56","Single","1",6332
,"Wyoming","56","Twin","2",220
,"Wyoming","56","Triplet or higher","3",10
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2018"
"Group By: State of Residence; Plurality"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 8:37:09 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 8:37:09 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
