Session Title,Firearm injury in ED by state and BRFSS Age,,,,
Session ID,2770964,,,,
Data Model,ED Encounters,,,,
Population Base,All ED Encounters,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,
Session Date Range,1/1/2023 - 12/31/2023 (Based On Arrival Date),,,,
Measure,Number of ED Encounters,,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,10/29/2025,,,,
,,,,,
,,,,,
,,,ED Diagnoses,Firearm Injury,None of the above
Year,Month,State of Residence (U.S.),Age at Time of Visit,,
,,,65 Years or more,10 or fewer,6632
,,,No value,10 or fewer,10 or fewer
,,,Total,25,34576
,,Washington,Less than 18 Years,10 or fewer,4596
,,,≥ 18 and < 25 Years,10 or fewer,2550
,,,≥ 25 and < 35 Years,10 or fewer,4250
,,,≥ 35 and < 45 Years,10 or fewer,4022
,,,≥ 45 and < 55 Years,10 or fewer,3388
,,,≥ 55 and < 65 Years,10 or fewer,3697
,,,65 Years or more,10 or fewer,8579
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,31082
,,Arizona,Less than 18 Years,10 or fewer,4315
,,,≥ 18 and < 25 Years,10 or fewer,2193
,,,≥ 25 and < 35 Years,10 or fewer,3507
,,,≥ 35 and < 45 Years,10 or fewer,3357
,,,≥ 45 and < 55 Years,10 or fewer,3019
,,,≥ 55 and < 65 Years,10 or fewer,3609
,,,65 Years or more,10 or fewer,8444
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,28445
,,Idaho,Less than 18 Years,10 or fewer,3803
,,,≥ 18 and < 25 Years,10 or fewer,2348
,,,≥ 25 and < 35 Years,10 or fewer,3270
,,,≥ 35 and < 45 Years,10 or fewer,3345
,,,≥ 45 and < 55 Years,10 or fewer,2953
,,,≥ 55 and < 65 Years,10 or fewer,3040
,,,65 Years or more,10 or fewer,7015
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,25774
,,Missouri,Less than 18 Years,10 or fewer,1691
,,,≥ 18 and < 25 Years,10 or fewer,1771
,,,≥ 25 and < 35 Years,10 or fewer,2729
,,,≥ 35 and < 45 Years,10 or fewer,2592
,,,≥ 45 and < 55 Years,10 or fewer,2387
,,,≥ 55 and < 65 Years,10 or fewer,2591
,,,65 Years or more,10 or fewer,5770
,,,No value,10 or fewer,10 or fewer
