Session Title,"Base Patients, % with HbA1c 6.5+, % with BMI 30+, by state and BRFSS age",,,
Session ID,2748555,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Base Patient,,,
Session Date Range,1/1/2023 - 7/17/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,8/11/2025,,,
,,,,
,,,,
,Measures,Number of Patients,Percentage with Base Patient followed by Hemoglobin A1C 6.5% or more within 10 years (%),Percentage with Base Patient followed by BMI 30.0  or more within 10 years (%)
State of Residence (U.S.),Age in Years (Current),,,
Tennessee,Less than 18,265824,0.374%,6.6%
,≥ 18 and < 25,119593,1.1%,30.2%
,≥ 25 and < 35,196211,1.7%,44%
,≥ 35 and < 45,194141,3.8%,49%
,≥ 45 and < 55,204396,8%,52.6%
,≥ 55 and < 65,239568,12%,51%
,65 or more,454013,13.9%,42%
,No value,23,-,47.8%
,Total,1673769,7.2%,39.1%
Oklahoma,Less than 18,304236,0.528%,6.9%
,≥ 18 and < 25,111965,1.3%,30.7%
,≥ 25 and < 35,160788,2%,46.7%
,≥ 35 and < 45,168337,4.5%,51.3%
,≥ 45 and < 55,163011,9.6%,54.4%
,≥ 55 and < 65,177945,14.2%,53.4%
,65 or more,335751,16.4%,46%
,No value,13,-,-
,Total,1422046,7.7%,39%
Arkansas,Less than 18,314864,0.527%,6.4%
,≥ 18 and < 25,107203,1.5%,31.2%
,≥ 25 and < 35,139540,2%,48.3%
,≥ 35 and < 45,142568,4.5%,53.1%
,≥ 45 and < 55,145511,9.1%,55.6%
,≥ 55 and < 65,162404,13%,53.7%
,65 or more,310663,13.9%,44.7%
,No value,12,-,-
,Total,1322765,6.8%,38.1%
Nevada,Less than 18,196183,0.243%,5.5%
,≥ 18 and < 25,101320,0.525%,21.5%
,≥ 25 and < 35,195280,0.859%,31.4%
,≥ 35 and < 45,191074,2%,35.3%
,≥ 45 and < 55,166622,4.5%,37.2%
,≥ 55 and < 65,171777,7.3%,37%
,65 or more,269167,8.7%,31.9%
,No value,10 or fewer,-,-
,Total,1291426,3.9%,28.9%
Missouri,Less than 18,176719,0.114%,5.9%
,≥ 18 and < 25,96732,0.82%,26.9%
,≥ 25 and < 35,155897,1.7%,41.3%
,≥ 35 and < 45,156494,4%,47.1%
,≥ 45 and < 55,144529,8.8%,52.8%
