,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,10 or fewer
,,,≥ 50 and < 65,-,47%,100
,,,65 or more,-,47.1%,208
,,,No value,-,-,10 or fewer
,,,Total,4.4%,46.4%,612
,,Puerto Rico,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,-,10 or fewer
,,,≥ 50 and < 65,-,-,10 or fewer
,,,65 or more,-,80%,15
,,,No value,-,-,10 or fewer
,,,Total,-,66.7%,33
,,South Carolina,Less than 1,12.5%,63.1%,168
,,,≥ 1 and < 5,5.3%,61.4%,337
,,,≥ 5 and < 18,-,48.9%,411
,,,≥ 18 and < 50,1.1%,54.9%,1452
,,,≥ 50 and < 65,-,57.3%,670
,,,65 or more,2.3%,60.8%,1043
,,,No value,-,-,10 or fewer
,,,Total,2.3%,57.1%,4081
,,North Carolina,Less than 1,9.1%,58.7%,317
,,,≥ 1 and < 5,6.3%,55.1%,601
,,,≥ 5 and < 18,-,41.8%,574
,,,≥ 18 and < 50,0.882%,40.5%,1928
,,,≥ 50 and < 65,1.7%,44.6%,919
,,,65 or more,2.3%,49%,1666
,,,No value,-,-,10 or fewer
,,,Total,2.5%,46%,6005
,,Georgia,Less than 1,4.5%,28.4%,377
,,,≥ 1 and < 5,2.1%,23.5%,719
,,,≥ 5 and < 18,-,21.9%,667
,,,≥ 18 and < 50,1%,25%,1199
,,,≥ 50 and < 65,-,32%,525
,,,65 or more,-,37.7%,864
,,,No value,-,-,10 or fewer
,,,Total,1.3%,27.9%,4351
,,Arizona,Less than 1,22.7%,41.3%,75
,,,≥ 1 and < 5,12.4%,41.9%,129
,,,≥ 5 and < 18,-,46.4%,84
,,,≥ 18 and < 50,-,48.6%,315
,,,≥ 50 and < 65,-,65%,137
,,,65 or more,7.9%,64.7%,303
,,,No value,-,-,10 or fewer
,,,Total,7.3%,53.9%,1043
,,California,Less than 1,17.9%,44.4%,347
,,,≥ 1 and < 5,8.6%,39.7%,572
,,,≥ 5 and < 18,-,31.1%,315
,,,≥ 18 and < 50,1.2%,26.7%,971
,,,≥ 50 and < 65,2.4%,30.1%,458
,,,65 or more,2.9%,40.3%,898
,,,No value,-,-,10 or fewer
,,,Total,4.7%,34.8%,3561
,,Tennessee,Less than 1,-,61.7%,133
,,,≥ 1 and < 5,-,47%,219
,,,≥ 5 and < 18,-,26.8%,190
,,,≥ 18 and < 50,-,37.2%,462
,,,≥ 50 and < 65,-,42.8%,236
,,,65 or more,-,50.7%,469
,,,No value,-,-,10 or fewer
,,,Total,1.8%,43.7%,1709
,,Washington,Less than 1,19.4%,38.7%,62
,,,≥ 1 and < 5,11.7%,33%,94
,,,≥ 5 and < 18,-,-,62
,,,≥ 18 and < 50,-,24.4%,221
,,,≥ 50 and < 65,-,34.7%,124
,,,65 or more,-,42.9%,247
,,,No value,-,-,10 or fewer
,,,Total,4.6%,32.8%,810
,,Alabama,Less than 1,-,72.2%,18
,,,≥ 1 and < 5,-,71.4%,49
,,,≥ 5 and < 18,-,-,46
,,,≥ 18 and < 50,-,-,229
,,,≥ 50 and < 65,-,10.8%,130
,,,65 or more,-,15.5%,181
,,,No value,-,-,10 or fewer
,,,Total,-,15.9%,653
,,Utah,Less than 1,-,-,10 or fewer
