Session Title,"Opioid Overdoses in ED, State Month Age",,,,
Session Description,ED encountersWA-WY by countycount pts with ED diagnosis opioid overdose,,,,
Session ID,2766034,,,,
Data Model,ED Encounters,,,,
Population Base,All ED Encounters,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,
Session Date Range,1/1/2025 - 9/30/2025 (Based On Arrival Date),,,,
Measure,Number of ED Encounters,,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,10/16/2025,,,,
,,,,,
,,,,,
,,,ED Diagnoses,"ICD-10 OPIOID OVERDOSE, Initial Encounter",None of the above
Year,Month,State of Residence (U.S.),Age at Time of Visit,,
,,,≥ 45 and < 65 Years,10 or fewer,7719
,,,65 Years or more,10 or fewer,7859
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,39116
,,Washington,Less than 15 Years,10 or fewer,5051
,,,≥ 15 and < 25 Years,10 or fewer,3834
,,,≥ 25 and < 45 Years,18,9646
,,,≥ 45 and < 65 Years,13,8303
,,,65 Years or more,10 or fewer,10311
,,,No value,10 or fewer,10 or fewer
,,,Total,36,37145
,,Idaho,Less than 15 Years,10 or fewer,4186
,,,≥ 15 and < 25 Years,10 or fewer,4016
,,,≥ 25 and < 45 Years,10 or fewer,7939
,,,≥ 45 and < 65 Years,10 or fewer,6876
,,,65 Years or more,10 or fewer,8943
,,,No value,10 or fewer,10 or fewer
,,,Total,14,31960
,,Kansas,Less than 15 Years,10 or fewer,2299
,,,≥ 15 and < 25 Years,10 or fewer,2748
,,,≥ 25 and < 45 Years,10 or fewer,6550
,,,≥ 45 and < 65 Years,10 or fewer,6082
,,,65 Years or more,10 or fewer,7357
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,25036
,,Hawaii,Less than 15 Years,10 or fewer,4982
,,,≥ 15 and < 25 Years,10 or fewer,2838
,,,≥ 25 and < 45 Years,10 or fewer,6621
,,,≥ 45 and < 65 Years,10 or fewer,6641
,,,65 Years or more,10 or fewer,8090
,,,No value,10 or fewer,10 or fewer
,,,Total,11,29172
,,Missouri,Less than 15 Years,10 or fewer,1982
,,,≥ 15 and < 25 Years,10 or fewer,2700
,,,≥ 25 and < 45 Years,10 or fewer,6951
,,,≥ 45 and < 65 Years,10 or fewer,6589
,,,65 Years or more,10 or fewer,8026
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,26248
,,Nebraska,Less than 15 Years,10 or fewer,3247
,,,≥ 15 and < 25 Years,10 or fewer,3167
,,,≥ 25 and < 45 Years,10 or fewer,7160
,,,≥ 45 and < 65 Years,10 or fewer,6095
,,,65 Years or more,10 or fewer,7060
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,26729
,,Maine,Less than 15 Years,10 or fewer,3002
,,,≥ 15 and < 25 Years,10 or fewer,2399
,,,≥ 25 and < 45 Years,10 or fewer,5954
,,,≥ 45 and < 65 Years,10 or fewer,5859
,,,65 Years or more,10 or fewer,8377
,,,No value,10 or fewer,10 or fewer
,,,Total,14,25591
,,Nevada,Less than 15 Years,10 or fewer,3825
,,,≥ 15 and < 25 Years,10 or fewer,2322
,,,≥ 25 and < 45 Years,17,5676
,,,≥ 45 and < 65 Years,10 or fewer,5108
,,,65 Years or more,10 or fewer,4362
,,,No value,10 or fewer,10 or fewer
,,,Total,23,21293
,,Rhode Island,Less than 15 Years,10 or fewer,4396
,,,≥ 15 and < 25 Years,10 or fewer,1966
,,,≥ 25 and < 45 Years,10 or fewer,4112
,,,≥ 45 and < 65 Years,10 or fewer,4498
,,,65 Years or more,10 or fewer,5934
,,,No value,10 or fewer,10 or fewer
,,,Total,12,20906
,,Alabama,Less than 15 Years,10 or fewer,2126
,,,≥ 15 and < 25 Years,10 or fewer,2157
,,,≥ 25 and < 45 Years,10 or fewer,5212
,,,≥ 45 and < 65 Years,10 or fewer,5291
,,,65 Years or more,10 or fewer,5575
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,20361
,,Delaware,Less than 15 Years,10 or fewer,4680
,,,≥ 15 and < 25 Years,10 or fewer,2215
,,,≥ 25 and < 45 Years,23,4544
,,,≥ 45 and < 65 Years,16,3906
,,,65 Years or more,10 or fewer,4495
,,,No value,10 or fewer,10 or fewer
,,,Total,41,19840
,,North Dakota,Less than 15 Years,10 or fewer,2190
,,,≥ 15 and < 25 Years,10 or fewer,1694
,,,≥ 25 and < 45 Years,11,4016
,,,≥ 45 and < 65 Years,10 or fewer,3264
,,,65 Years or more,10 or fewer,3489
,,,No value,10 or fewer,10 or fewer
,,,Total,16,14653
,,Utah,Less than 15 Years,10 or fewer,222
,,,≥ 15 and < 25 Years,10 or fewer,952
,,,≥ 25 and < 45 Years,10 or fewer,2646
,,,≥ 45 and < 65 Years,10 or fewer,1864
,,,65 Years or more,10 or fewer,1309
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,6993
,,Vermont,Less than 15 Years,10 or fewer,1251
,,,≥ 15 and < 25 Years,10 or fewer,1092
,,,≥ 25 and < 45 Years,10 or fewer,2688
,,,≥ 45 and < 65 Years,10 or fewer,2521
,,,65 Years or more,10 or fewer,3451
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,11003
,,Montana,Less than 15 Years,10 or fewer,1287
,,,≥ 15 and < 25 Years,10 or fewer,1186
,,,≥ 25 and < 45 Years,10 or fewer,2296
,,,≥ 45 and < 65 Years,10 or fewer,2006
,,,65 Years or more,10 or fewer,2518
,,,No value,10 or fewer,10 or fewer
,,,Total,13,9293
,,New Hampshire,Less than 15 Years,10 or fewer,1108
,,,≥ 15 and < 25 Years,10 or fewer,975
,,,≥ 25 and < 45 Years,10 or fewer,1863
,,,≥ 45 and < 65 Years,10 or fewer,2063
,,,65 Years or more,10 or fewer,3394
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,9403
,,New Mexico,Less than 15 Years,10 or fewer,841
,,,≥ 15 and < 25 Years,10 or fewer,890
,,,≥ 25 and < 45 Years,10 or fewer,2532
,,,≥ 45 and < 65 Years,10 or fewer,2142
,,,65 Years or more,10 or fewer,2542
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,8947
,,South Dakota,Less than 15 Years,10 or fewer,1284
,,,≥ 15 and < 25 Years,10 or fewer,845
,,,≥ 25 and < 45 Years,10 or fewer,1886
,,,≥ 45 and < 65 Years,10 or fewer,1594
,,,65 Years or more,10 or fewer,2139
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,7748
,,Wyoming,Less than 15 Years,10 or fewer,776
,,,≥ 15 and < 25 Years,10 or fewer,749
,,,≥ 25 and < 45 Years,10 or fewer,1286
,,,≥ 45 and < 65 Years,10 or fewer,1114
,,,65 Years or more,10 or fewer,1481
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,5406
,,District of Columbia,Less than 15 Years,10 or fewer,217
,,,≥ 15 and < 25 Years,10 or fewer,266
,,,≥ 25 and < 45 Years,10 or fewer,985
,,,≥ 45 and < 65 Years,10 or fewer,515
,,,65 Years or more,10 or fewer,307
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,2290
,,Puerto Rico,Less than 15 Years,10 or fewer,38
,,,≥ 15 and < 25 Years,10 or fewer,60
,,,≥ 25 and < 45 Years,10 or fewer,69
,,,≥ 45 and < 65 Years,10 or fewer,83
,,,65 Years or more,10 or fewer,150
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,400
,,Alaska,Less than 15 Years,10 or fewer,33
,,,≥ 15 and < 25 Years,10 or fewer,30
,,,≥ 25 and < 45 Years,10 or fewer,74
,,,≥ 45 and < 65 Years,10 or fewer,64
,,,65 Years or more,10 or fewer,120
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,321
,,Virgin Islands,Less than 15 Years,10 or fewer,10 or fewer
,,,≥ 15 and < 25 Years,10 or fewer,10 or fewer
,,,≥ 25 and < 45 Years,10 or fewer,10 or fewer
,,,≥ 45 and < 65 Years,10 or fewer,20
,,,65 Years or more,10 or fewer,39
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,69
,,None of the above,Less than 15 Years,10 or fewer,10598
,,,≥ 15 and < 25 Years,10 or fewer,8534
,,,≥ 25 and < 45 Years,55,19430
,,,≥ 45 and < 65 Years,29,14606
,,,65 Years or more,10 or fewer,12897
,,,No value,10 or fewer,10 or fewer
,,,Total,95,66065
,,Total,Less than 15 Years,25,763481
,,,≥ 15 and < 25 Years,178,542923
,,,≥ 25 and < 45 Years,1409,1242518
,,,≥ 45 and < 65 Years,762,1107640
,,,65 Years or more,290,1239604
,,,No value,10 or fewer,10 or fewer
,,,Total,2664,4896169
,Feb,Texas,Less than 15 Years,10 or fewer,71293
,,,≥ 15 and < 25 Years,10 or fewer,42871
,,,≥ 25 and < 45 Years,53,95277
,,,≥ 45 and < 65 Years,22,82934
,,,65 Years or more,19,86055
,,,No value,10 or fewer,10 or fewer
,,,Total,104,378430
,,Florida,Less than 15 Years,10 or fewer,69077
,,,≥ 15 and < 25 Years,13,41681
,,,≥ 25 and < 45 Years,82,96097
,,,≥ 45 and < 65 Years,42,85675
,,,65 Years or more,25,97023
,,,No value,10 or fewer,10 or fewer
,,,Total,164,389553
,,Ohio,Less than 15 Years,10 or fewer,51572
,,,≥ 15 and < 25 Years,10 or fewer,43597
,,,≥ 25 and < 45 Years,93,98105
,,,≥ 45 and < 65 Years,51,90899
,,,65 Years or more,11,98935
,,,No value,10 or fewer,10 or fewer
,,,Total,163,383108
,,Pennsylvania,Less than 15 Years,10 or fewer,26149
,,,≥ 15 and < 25 Years,10 or fewer,22307
,,,≥ 25 and < 45 Years,112,55168
,,,≥ 45 and < 65 Years,49,52987
,,,65 Years or more,20,66347
,,,No value,10 or fewer,10 or fewer
,,,Total,188,222958
,,North Carolina,Less than 15 Years,10 or fewer,29716
,,,≥ 15 and < 25 Years,19,23629
,,,≥ 25 and < 45 Years,84,54511
,,,≥ 45 and < 65 Years,28,50365
,,,65 Years or more,18,56051
,,,No value,10 or fewer,10 or fewer
,,,Total,150,214272
,,New York,Less than 15 Years,10 or fewer,22593
,,,≥ 15 and < 25 Years,10 or fewer,20845
,,,≥ 25 and < 45 Years,55,51357
,,,≥ 45 and < 65 Years,34,47607
,,,65 Years or more,11,55749
,,,No value,10 or fewer,10 or fewer
,,,Total,105,198151
,,Virginia,Less than 15 Years,10 or fewer,27665
,,,≥ 15 and < 25 Years,10 or fewer,21843
,,,≥ 25 and < 45 Years,41,52431
,,,≥ 45 and < 65 Years,27,46176
,,,65 Years or more,11,51519
,,,No value,10 or fewer,10 or fewer
,,,Total,90,199634
,,Michigan,Less than 15 Years,10 or fewer,24963
,,,≥ 15 and < 25 Years,10 or fewer,18753
,,,≥ 25 and < 45 Years,35,45942
,,,≥ 45 and < 65 Years,19,43843
,,,65 Years or more,12,51384
,,,No value,10 or fewer,10 or fewer
,,,Total,68,184885
,,California,Less than 15 Years,10 or fewer,25705
,,,≥ 15 and < 25 Years,10 or fewer,19385
,,,≥ 25 and < 45 Years,82,47456
,,,≥ 45 and < 65 Years,40,41781
,,,65 Years or more,17,43840
,,,No value,10 or fewer,10 or fewer
,,,Total,149,178167
,,Illinois,Less than 15 Years,10 or fewer,27770
,,,≥ 15 and < 25 Years,10 or fewer,18815
,,,≥ 25 and < 45 Years,27,40221
,,,≥ 45 and < 65 Years,53,37831
,,,65 Years or more,12,46671
,,,No value,10 or fewer,10 or fewer
,,,Total,97,171308
,,Georgia,Less than 15 Years,10 or fewer,29435
,,,≥ 15 and < 25 Years,11,16331
,,,≥ 25 and < 45 Years,34,35135
,,,≥ 45 and < 65 Years,22,32604
,,,65 Years or more,10 or fewer,29833
,,,No value,10 or fewer,10 or fewer
,,,Total,77,143338
,,South Carolina,Less than 15 Years,10 or fewer,19475
,,,≥ 15 and < 25 Years,10 or fewer,15315
,,,≥ 25 and < 45 Years,72,34625
,,,≥ 45 and < 65 Years,23,33183
,,,65 Years or more,10 or fewer,34894
,,,No value,10 or fewer,10 or fewer
,,,Total,107,137492
,,New Jersey,Less than 15 Years,10 or fewer,19731
,,,≥ 15 and < 25 Years,10 or fewer,13335
,,,≥ 25 and < 45 Years,40,30765
,,,≥ 45 and < 65 Years,58,27787
,,,65 Years or more,17,30255
,,,No value,10 or fewer,10 or fewer
,,,Total,118,121873
,,Colorado,Less than 15 Years,10 or fewer,27877
,,,≥ 15 and < 25 Years,20,12901
,,,≥ 25 and < 45 Years,74,26223
,,,≥ 45 and < 65 Years,25,18717
,,,65 Years or more,10 or fewer,20310
,,,No value,10 or fewer,10 or fewer
,,,Total,123,106028
,,Connecticut,Less than 15 Years,10 or fewer,13102
,,,≥ 15 and < 25 Years,10 or fewer,9710
,,,≥ 25 and < 45 Years,33,23697
,,,≥ 45 and < 65 Years,29,23144
,,,65 Years or more,12,26437
,,,No value,10 or fewer,10 or fewer
,,,Total,79,96090
,,Massachusetts,Less than 15 Years,10 or fewer,14754
,,,≥ 15 and < 25 Years,10 or fewer,10421
,,,≥ 25 and < 45 Years,31,23853
,,,≥ 45 and < 65 Years,19,22666
,,,65 Years or more,10 or fewer,27521
,,,No value,10 or fewer,10 or fewer
,,,Total,52,99215
,,Indiana,Less than 15 Years,10 or fewer,14308
,,,≥ 15 and < 25 Years,10 or fewer,10270
,,,≥ 25 and < 45 Years,59,24071
,,,≥ 45 and < 65 Years,21,22238
,,,65 Years or more,10 or fewer,23723
,,,No value,10 or fewer,10 or fewer
,,,Total,89,94610
,,Louisiana,Less than 15 Years,10 or fewer,12313
,,,≥ 15 and < 25 Years,10 or fewer,10123
,,,≥ 25 and < 45 Years,24,20887
,,,≥ 45 and < 65 Years,15,17448
,,,65 Years or more,10 or fewer,17500
,,,No value,10 or fewer,10 or fewer
,,,Total,47,78271
,,Mississippi,Less than 15 Years,10 or fewer,12091
,,,≥ 15 and < 25 Years,10 or fewer,8981
,,,≥ 25 and < 45 Years,13,19146
,,,≥ 45 and < 65 Years,10 or fewer,18684
,,,65 Years or more,10 or fewer,18842
,,,No value,10 or fewer,10 or fewer
,,,Total,32,77744
,,Tennessee,Less than 15 Years,10 or fewer,14077
