Session Title,HA1C % or more and BMI by Age and County,,,
Session Description,states ND-VA,,,
Session ID,2733054,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence (U.S.): North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia",Base Patient,,
Session Date Range,1/1/2023 - 7/17/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,8/7/2025,,,
,,,,
,,,,
,Measures,Number of Patients,Percentage with Base Patient followed by Hemoglobin A1C 6.5% or more within 10 years (%),Percentage with Base Patient followed by BMI 30.0  or more within 10 years (%)
Age in Years (Current),County of Residence,,,
,"MATHEWS, VA",1072,-,4.8%
,"TITUS, TX",1585,-,6.8%
,"RICHMOND, VA",1408,-,7.3%
,"RUTHERFORD, TN",622,-,2.1%
,"ATASCOSA, TX",1753,0.685%,7.9%
,"MERCER, ND",1820,-,5.8%
,"ROBERTS, SD",2164,-,6.2%
,"TRAILL, ND",1786,-,4.8%
,"HARDIN, TX",2863,1.1%,5.1%
,"HOPKINS, TX",828,-,5.6%
,"FANNIN, TX",1098,-,5.3%
,"BENTON, TN",1409,-,10.6%
,"MIDLAND, TX",2524,0.594%,5.8%
,"BLEDSOE, TN",1331,-,10.6%
,"FULTON, PA",1098,-,6.4%
,"OSAGE, OK",1395,0.932%,6.6%
,"HENRY, TN",1066,-,10.6%
,"LINCOLN, OK",1750,-,7.8%
,"BAMBERG, SC",1329,-,10.5%
,"UPSHUR, TX",1338,-,7.5%
,"INDIANA, PA",240,-,-
,"MEDINA, TX",1314,0.913%,6.2%
,"AMELIA, VA",995,1.1%,7.9%
,"ROLETTE, ND",1771,0.678%,8.7%
,"COMANCHE, OK",1937,2.5%,6.4%
,"OTTAWA, OK",993,-,6.9%
,"LEON, TX",1580,-,4.7%
,"PRINCE EDWARD, VA",930,-,9.5%
,"EL PASO, TX",1704,-,4.9%
,"JOSEPHINE, OR",1310,2.5%,4.3%
,"TURNER, SD",1598,-,4.5%
,"WASATCH, UT",1487,-,-
,"CHESTER, TN",779,-,6.4%
,"HARNEY, OR",1262,-,7.1%
,"JACKSON, OH",371,-,5.9%
,"POTTAWATOMIE, OK",1549,1.1%,7.2%
,"UNION, OR",1018,1.6%,5.8%
,"PEMBINA, ND",1397,-,5.7%
,"HUTCHINSON, TX",625,-,4.2%
,"LUNENBURG, VA",958,-,7.4%
,"SUSSEX, VA",738,-,8.9%
,"APPOMATTOX, VA",1046,-,10.1%
,"NACOGDOCHES, TX",1671,1.7%,6.6%
,"FREESTONE, TX",1262,-,6.4%
,"HARDIN, TN",454,-,6.8%
,"WALLOWA, OR",1195,-,3.6%
,"JIM WELLS, TX",4358,-,5.3%
,"CAMBRIA, PA",306,-,6.5%
,"SAN JACINTO, TX",1757,-,6.4%
,"RUNNELS, TX",1480,-,6.9%
,"HOLMES, OH",987,-,3.1%
,"HASKELL, OK",1273,-,9.3%
,"WILLIAMSON, TN",660,-,2.1%
,"CHARLOTTE, VA",942,1.4%,9%
,"LAMAR, TX",535,-,5.2%
,"HAYWOOD, TN",728,-,6.2%
,"SOMERSET, PA",481,-,5.6%
,"PIKE, OH",376,-,7.4%
,"LOGAN, OK",1317,0.987%,4.9%
,"MCLEAN, ND",1149,-,4.3%
,"DAVISON, SD",1777,-,5.6%
,"OKFUSKEE, OK",1204,-,8.4%
,"BOX ELDER, UT",1632,-,0.735%
,"BARNWELL, SC",1001,-,7.8%
,"WILSON, TX",1039,-,5.7%
,"CARROLL, VA",409,-,8.3%
,"GRAND ISLE, VT",607,-,5.3%
,"KING AND QUEEN, VA",859,-,8.7%
,"HAMPTON, SC",1138,-,9.1%
,"MCMINN, TN",985,1.7%,6.9%
,"FAYETTE, TX",734,-,5.7%
,"BLANCO, TX",760,-,7.1%
,"COLORADO, TX",1078,1%,5%
