Session Title,Number of ED Encounters by State of Residence (U.S.) and Age at Time of Visit Range,
Rhode Island,Less than 1 Years,104
,≥ 1 and < 5 Years,251
,≥ 5 and < 18 Years,400
,≥ 18 and < 50 Years,951
,≥ 50 and < 65 Years,533
,65 Years or more,899
,No value,10 or fewer
,Total,3138
Alabama,Less than 1 Years,55
,≥ 1 and < 5 Years,123
,≥ 5 and < 18 Years,221
,≥ 18 and < 50 Years,1395
,≥ 50 and < 65 Years,599
,65 Years or more,854
,No value,10 or fewer
,Total,3247
Delaware,Less than 1 Years,106
,≥ 1 and < 5 Years,267
,≥ 5 and < 18 Years,426
,≥ 18 and < 50 Years,1088
,≥ 50 and < 65 Years,518
,65 Years or more,778
,No value,10 or fewer
,Total,3183
North Dakota,Less than 1 Years,74
,≥ 1 and < 5 Years,131
,≥ 5 and < 18 Years,226
,≥ 18 and < 50 Years,1134
,≥ 50 and < 65 Years,394
,65 Years or more,632
,No value,10 or fewer
,Total,2591
Vermont,Less than 1 Years,43
,≥ 1 and < 5 Years,64
,≥ 5 and < 18 Years,123
,≥ 18 and < 50 Years,671
,≥ 50 and < 65 Years,320
,65 Years or more,584
,No value,10 or fewer
,Total,1805
Montana,Less than 1 Years,51
,≥ 1 and < 5 Years,70
,≥ 5 and < 18 Years,116
,≥ 18 and < 50 Years,564
,≥ 50 and < 65 Years,200
,65 Years or more,362
,No value,10 or fewer
,Total,1363
Utah,Less than 1 Years,12
,≥ 1 and < 5 Years,26
,≥ 5 and < 18 Years,31
,≥ 18 and < 50 Years,624
,≥ 50 and < 65 Years,221
,65 Years or more,213
,No value,10 or fewer
,Total,1127
New Hampshire,Less than 1 Years,30
,≥ 1 and < 5 Years,49
,≥ 5 and < 18 Years,112
,≥ 18 and < 50 Years,501
,≥ 50 and < 65 Years,283
,65 Years or more,538
,No value,10 or fewer
,Total,1513
New Mexico,Less than 1 Years,39
,≥ 1 and < 5 Years,54
,≥ 5 and < 18 Years,84
,≥ 18 and < 50 Years,611
,≥ 50 and < 65 Years,258
,65 Years or more,393
,No value,10 or fewer
,Total,1439
South Dakota,Less than 1 Years,40
,≥ 1 and < 5 Years,73
,≥ 5 and < 18 Years,115
,≥ 18 and < 50 Years,479
,≥ 50 and < 65 Years,217
,65 Years or more,362
,No value,10 or fewer
,Total,1286
Wyoming,Less than 1 Years,22
,≥ 1 and < 5 Years,49
,≥ 5 and < 18 Years,96
,≥ 18 and < 50 Years,369
,≥ 50 and < 65 Years,157
,65 Years or more,230
,No value,10 or fewer
,Total,923
District of Columbia,Less than 1 Years,10 or fewer
,≥ 1 and < 5 Years,10 or fewer
,≥ 5 and < 18 Years,20
,≥ 18 and < 50 Years,253
,≥ 50 and < 65 Years,71
,65 Years or more,44
,No value,10 or fewer
,Total,402
Puerto Rico,Less than 1 Years,10 or fewer
,≥ 1 and < 5 Years,10 or fewer
,≥ 5 and < 18 Years,10 or fewer
,≥ 18 and < 50 Years,24
,≥ 50 and < 65 Years,26
,65 Years or more,49
,No value,10 or fewer
,Total,116
Alaska,Less than 1 Years,10 or fewer
,≥ 1 and < 5 Years,10 or fewer
,≥ 5 and < 18 Years,10 or fewer
,≥ 18 and < 50 Years,22
,≥ 50 and < 65 Years,10 or fewer
,65 Years or more,10 or fewer
,No value,10 or fewer
,Total,58
Virgin Islands,Less than 1 Years,10 or fewer
,≥ 1 and < 5 Years,10 or fewer
,≥ 5 and < 18 Years,10 or fewer
,≥ 18 and < 50 Years,10 or fewer
,≥ 50 and < 65 Years,10 or fewer
,65 Years or more,10 or fewer
,No value,10 or fewer
,Total,11
None of the above,Less than 1 Years,272
,≥ 1 and < 5 Years,592
,≥ 5 and < 18 Years,984
,≥ 18 and < 50 Years,4581
