Session Title,"Opioid Overdoses in ED, State Month Age",,,,,
Session ID,2768312,,,,,
Data Model,ED Encounters,,,,,
Population Base,All ED Encounters,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,,
Session Date Range,1/1/2023 - 3/31/2024 (Based On Arrival Date),,,,,
Measure,Number of ED Encounters,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,10/22/2025,,,,,
,,,,,,
,,,,,,
,,,ED Diagnoses,"ICD-10 OPIOID OVERDOSE, Initial Encounter",None of the above,"Total: Total includes all data, including data from columns not currently displayed."
Year,Month,State of Residence (U.S.),Age at Time of Visit,,,
,,,≥ 45 and < 65 Years,10 or fewer,7721,7727
,,,65 Years or more,10 or fewer,8452,8456
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,26,34271,34297
,,Arkansas,Less than 15 Years,10 or fewer,8697,8697
,,,≥ 15 and < 25 Years,10 or fewer,4009,4012
,,,≥ 25 and < 45 Years,13,8202,8215
,,,≥ 45 and < 65 Years,10 or fewer,7037,7044
,,,65 Years or more,10 or fewer,6631,6633
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,25,34576,34601
,,West Virginia,Less than 15 Years,10 or fewer,3464,3464
,,,≥ 15 and < 25 Years,10 or fewer,3263,3264
,,,≥ 25 and < 45 Years,10 or fewer,6641,6650
,,,≥ 45 and < 65 Years,10 or fewer,7083,7084
,,,65 Years or more,10 or fewer,7460,7460
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,11,27911,27922
,,Washington,Less than 15 Years,10 or fewer,3787,3787
,,,≥ 15 and < 25 Years,10 or fewer,3351,3360
,,,≥ 25 and < 45 Years,35,8239,8274
,,,≥ 45 and < 65 Years,23,7064,7087
,,,65 Years or more,10 or fewer,8578,8579
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,68,31019,31087
,,Arizona,Less than 15 Years,10 or fewer,3645,3646
,,,≥ 15 and < 25 Years,10 or fewer,2861,2866
,,,≥ 25 and < 45 Years,17,6849,6866
,,,≥ 45 and < 65 Years,10 or fewer,6628,6632
,,,65 Years or more,10 or fewer,8444,8444
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,27,28428,28455
,,Idaho,Less than 15 Years,10 or fewer,3082,3082
,,,≥ 15 and < 25 Years,10 or fewer,3071,3074
,,,≥ 25 and < 45 Years,15,6602,6617
,,,≥ 45 and < 65 Years,10 or fewer,5989,5994
,,,65 Years or more,10 or fewer,7016,7016
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,23,25760,25783
,,Missouri,Less than 15 Years,10 or fewer,1297,1297
,,,≥ 15 and < 25 Years,10 or fewer,2169,2170
,,,≥ 25 and < 45 Years,10 or fewer,5321,5327
,,,≥ 45 and < 65 Years,10 or fewer,4974,4979
,,,65 Years or more,10 or fewer,5768,5770
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,14,19529,19543
,,Hawaii,Less than 15 Years,10 or fewer,4008,4008
,,,≥ 15 and < 25 Years,10 or fewer,2108,2108
,,,≥ 25 and < 45 Years,10 or fewer,5132,5136
,,,≥ 45 and < 65 Years,10 or fewer,5661,5664
,,,65 Years or more,10 or fewer,6328,6329
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,10 or fewer,23237,23245
,,Kansas,Less than 15 Years,10 or fewer,1790,1790
,,,≥ 15 and < 25 Years,10 or fewer,2027,2033
,,,≥ 25 and < 45 Years,10 or fewer,4462,4468
,,,≥ 45 and < 65 Years,10 or fewer,4080,4083
,,,65 Years or more,10 or fewer,4605,4607
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,17,16964,16981
,,Maine,Less than 15 Years,10 or fewer,2007,2007
,,,≥ 15 and < 25 Years,10 or fewer,2111,2112
,,,≥ 25 and < 45 Years,16,5211,5227
,,,≥ 45 and < 65 Years,10 or fewer,5436,5441
,,,65 Years or more,10 or fewer,7073,7076
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,25,21838,21863
,,Nebraska,Less than 15 Years,10 or fewer,2162,2162
,,,≥ 15 and < 25 Years,10 or fewer,2609,2610
,,,≥ 25 and < 45 Years,10 or fewer,5865,5869
,,,≥ 45 and < 65 Years,10 or fewer,4726,4727
,,,65 Years or more,10 or fewer,4804,4804
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,10 or fewer,20166,20172
,,Nevada,Less than 15 Years,10 or fewer,3177,3177
,,,≥ 15 and < 25 Years,10 or fewer,2101,2103
,,,≥ 25 and < 45 Years,10 or fewer,5176,5183
,,,≥ 45 and < 65 Years,10 or fewer,4820,4825
,,,65 Years or more,10 or fewer,3598,3599
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,15,18872,18887
,,Rhode Island,Less than 15 Years,10 or fewer,3273,3273
,,,≥ 15 and < 25 Years,10 or fewer,1729,1730
,,,≥ 25 and < 45 Years,10 or fewer,3743,3749
,,,≥ 45 and < 65 Years,10 or fewer,3901,3906
,,,65 Years or more,10 or fewer,4691,4692
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,13,17337,17350
,,Alabama,Less than 15 Years,10 or fewer,1787,1787
,,,≥ 15 and < 25 Years,10 or fewer,1840,1840
,,,≥ 25 and < 45 Years,10 or fewer,4874,4877
,,,≥ 45 and < 65 Years,10 or fewer,4836,4840
,,,65 Years or more,10 or fewer,4544,4545
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,10 or fewer,17881,17889
,,Delaware,Less than 15 Years,10 or fewer,4101,4101
,,,≥ 15 and < 25 Years,10 or fewer,2035,2035
,,,≥ 25 and < 45 Years,23,3899,3922
,,,≥ 45 and < 65 Years,11,3384,3395
,,,65 Years or more,10 or fewer,3466,3466
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,34,16887,16921
,,North Dakota,Less than 15 Years,10 or fewer,1585,1585
,,,≥ 15 and < 25 Years,10 or fewer,1562,1567
,,,≥ 25 and < 45 Years,10 or fewer,3599,3604
,,,≥ 45 and < 65 Years,10 or fewer,2924,2927
,,,65 Years or more,10 or fewer,2877,2879
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,15,12547,12562
,,Vermont,Less than 15 Years,10 or fewer,888,888
,,,≥ 15 and < 25 Years,10 or fewer,976,976
,,,≥ 25 and < 45 Years,10 or fewer,2331,2335
,,,≥ 45 and < 65 Years,10 or fewer,2266,2267
,,,65 Years or more,10 or fewer,2894,2894
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,10 or fewer,9355,9360
,,New Mexico,Less than 15 Years,10 or fewer,711,711
,,,≥ 15 and < 25 Years,10 or fewer,939,939
,,,≥ 25 and < 45 Years,10 or fewer,2469,2472
,,,≥ 45 and < 65 Years,10 or fewer,2125,2125
,,,65 Years or more,10 or fewer,2168,2170
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,10 or fewer,8412,8417
,,New Hampshire,Less than 15 Years,10 or fewer,730,730
