Session Title,HbA1c 7.5+ and HbA1c 7.0+ and HbA1c 6.5+ and Number of Patients by Age in Years (Current) Range and State of Residence (U.S.),,,,
Session ID,2748873,,,,
Data Model,Patients,,,,
Population Base,All Patients,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Base Patient,,,,
Session Date Range,1/1/2023 - 7/10/2025,,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,8/11/2025,,,,
,,,,,
,,,,,
,Measures,HbA1c 7.5+ (%),HbA1c 7.0+ (%),HbA1c 6.5+ (%),Number of Patients
Age in Years (Current),State of Residence (U.S.),,,,
Less than 18,Federated States of Micronesia,-,-,-,10 or fewer
,Northern Mariana Islands,-,-,-,10 or fewer
,Marshall Islands,-,-,-,10 or fewer
,Vermont,1.6%,1.8%,2.2%,56155
,Florida,2.1%,2.5%,3.1%,1134611
,Puerto Rico,2.3%,2.9%,3.4%,8520
,California,2.1%,2.4%,2.9%,1416520
,Alaska,1.7%,2.1%,2.7%,2163
,Montana,1.5%,1.8%,2.2%,50968
,Colorado,1.6%,1.9%,2.3%,479441
,None of the above,1.8%,2.1%,2.5%,592002
,Total,2.6%,3%,3.7%,19148578
≥ 45 and < 55,Federated States of Micronesia,-,-,-,17
,Northern Mariana Islands,-,-,-,19
,Marshall Islands,-,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,-,54
,Mississippi,8.1%,9.3%,11.4%,250558
,Indiana,7.8%,8.9%,10.8%,379288
,West Virginia,7.2%,8.3%,10.2%,135232
,Ohio,7.3%,8.4%,10.3%,1107769
,Kentucky,7.6%,8.8%,10.8%,335676
,South Carolina,7.3%,8.4%,10.4%,416902
,Alabama,6.4%,7.5%,9.2%,92520
,North Carolina,6.7%,7.8%,9.7%,799899
,Maine,5.6%,6.4%,7.7%,95561
,Guam,-,-,-,131
,Illinois,7%,8.1%,9.9%,775611
,Delaware,7.4%,8.6%,10.7%,48735
,Michigan,6.2%,7.3%,9.1%,654103
,Oklahoma,7%,8.1%,9.6%,163009
,Pennsylvania,5.6%,6.5%,8.3%,921264
,Missouri,6.1%,7.1%,8.8%,144529
,Virginia,5.5%,6.4%,8%,665418
,Louisiana,6.1%,7.1%,8.8%,301152
,Virgin Islands,4.2%,4.8%,7.3%,932
,Nebraska,6.1%,7.1%,8.6%,102163
,Kansas,5.4%,6.4%,8%,123327
,Maryland,5.2%,6.1%,7.6%,289887
,Iowa,6.7%,7.7%,9.2%,216404
,Arkansas,6.9%,7.8%,9.1%,145511
,Idaho,5.5%,6.4%,7.9%,125570
,North Dakota,6.2%,7.1%,8.4%,70802
,Wisconsin,6.1%,7%,8.4%,397002
,Tennessee,5.6%,6.5%,8%,204395
,Minnesota,5.5%,6.3%,7.6%,331273
,New York,4.8%,5.6%,7%,901243
,New Jersey,4.7%,5.6%,7.3%,396616
,New Hampshire,4.6%,5.3%,6.5%,68997
,South Dakota,5.8%,6.6%,7.8%,53502
,Wyoming,5.2%,6.2%,7.5%,21072
,New Mexico,5.2%,6%,7.2%,41564
,Massachusetts,4.7%,5.5%,7%,437062
,Hawaii,5.1%,5.9%,7.2%,101824
,Connecticut,4.4%,5.1%,6.4%,335086
,Rhode Island,5.3%,6.3%,8.2%,20663
,Oregon,5.1%,5.8%,7.1%,267024
,Texas,5.6%,6.5%,8%,1618611
,Georgia,5.1%,6%,7.6%,455710
,Arizona,5.2%,6.1%,7.4%,228425
,Washington,4.4%,5.2%,6.5%,251222
,Vermont,3.4%,4%,4.7%,52898
,Florida,4.4%,5.2%,6.5%,1091720
,Puerto Rico,4.9%,5.9%,7.6%,9323
,California,4.6%,5.3%,6.6%,1239450
,Alaska,4.2%,4.8%,6.3%,1815
,Montana,3.4%,4.1%,5.2%,42945
,Colorado,3.6%,4.2%,5.3%,389198
,None of the above,3.9%,4.5%,5.6%,488607
,Total,5.7%,6.6%,8.2%,17809296
≥ 55 and < 65,Federated States of Micronesia,-,-,-,24
,Northern Mariana Islands,-,-,-,35
,Marshall Islands,-,-,-,10 or fewer
,"American Samoa, South Pacific",12.9%,15.3%,18.8%,85
,Mississippi,11.4%,13.5%,16.8%,279987
,Indiana,11.2%,13%,16%,405732
,West Virginia,10.5%,12.5%,15.3%,155266
,Ohio,10.6%,12.5%,15.6%,1249189
,Kentucky,11.1%,13.1%,16.3%,367711
,South Carolina,10.4%,12.4%,15.6%,482762
,Alabama,8.7%,10.4%,13%,108944
