Session Title,Number of Patients by Diagnosis (Encounter) and State of Residence (U.S.) and Age at Encounter in Years Range,,,,,
Session ID,2773512,,,,,
Data Model,Patients,,,,,
Population Base,All Patients,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,
Session Date Range,1/1/2024 - 12/31/2024,,,,,
Measure,Number of Patients,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,11/5/2025,,,,,
,,,,,,
,,,,,,
,,,Diagnosis (Encounter),firearms initial,None of the above,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence (U.S.),Age at Encounter in Years,Year,Month,,,
,,,Feb,10 or fewer,39734,39738
,,,Mar,10 or fewer,41914,41921
,,,Apr,10 or fewer,41866,41870
,,,May,11,45582,45593
,,,Jun,10 or fewer,44613,44621
,,,Jul,10 or fewer,46703,46710
,,,Aug,15,47422,47437
,,,Sep,10 or fewer,45366,45371
,,,Oct,10 or fewer,46176,46185
,,,Nov,10 or fewer,43883,43891
,,,Dec,10 or fewer,48289,48294
,No value,2024,Jan,10 or fewer,6096,6104
,,,Feb,10 or fewer,5744,5750
,,,Mar,10 or fewer,5363,5368
,,,Apr,10 or fewer,5310,5319
,,,May,10 or fewer,5560,5567
,,,Jun,10 or fewer,5544,5553
,,,Jul,10 or fewer,5492,5498
,,,Aug,14,5639,5653
,,,Sep,10 or fewer,5582,5589
,,,Oct,10 or fewer,6083,6087
,,,Nov,10 or fewer,5589,5594
,,,Dec,10 or fewer,5320,5325
,"Total: Total includes all data under the North Carolina bucket, including data from rows not currently displayed.",2024,Jan,126,179708,179834
,,,Feb,159,171841,172000
,,,Mar,162,179701,179863
,,,Apr,174,176509,176683
,,,May,205,191155,191360
,,,Jun,193,182794,182987
,,,Jul,198,188082,188280
,,,Aug,192,190001,190193
,,,Sep,182,190713,190895
,,,Oct,202,194317,194519
,,,Nov,169,187743,187912
,,,Dec,158,200930,201088
Virginia,Less than 15 Years,2024,Jan,10 or fewer,23155,23159
,,,Feb,10 or fewer,26318,26319
,,,Mar,10 or fewer,27051,27052
,,,Apr,10 or fewer,24294,24297
,,,May,10 or fewer,24617,24619
,,,Jun,10 or fewer,20155,20156
,,,Jul,10 or fewer,18552,18553
,,,Aug,10 or fewer,20000,20001
,,,Sep,10 or fewer,23798,23800
,,,Oct,10 or fewer,26651,26652
,,,Nov,10 or fewer,27038,27040
