Session Title,Number of Patients by Diagnosis (Encounter) and State of Residence (U.S.) and Age at Encounter in Years Range,,,,,
Session ID,2770886,,,,,
Data Model,Patients,,,,,
Population Base,All Patients,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,
Session Date Range,1/1/2023 - 12/31/2023,,,,,
Measure,Number of Patients,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,10/29/2025,,,,,
,,,,,,
,,,,,,
,,,Diagnosis (Encounter),Heat,None of the above,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence (U.S.),Age at Encounter in Years,Year,Month,,,
,,,Jun,29,63423,63452
,,,Jul,95,65827,65922
,,,Aug,83,65838,65921
,,,Sep,26,64947,64973
,,,Oct,10 or fewer,69553,69558
,,,Nov,10 or fewer,67914,67915
,,,Dec,10 or fewer,72917,72919
,65 Years or more,2023,Jan,10 or fewer,59870,59874
,,,Feb,10 or fewer,55205,55209
,,,Mar,10 or fewer,61471,61476
,,,Apr,10 or fewer,60466,60472
,,,May,15,64502,64517
,,,Jun,29,62604,62633
,,,Jul,76,64515,64591
,,,Aug,53,65235,65288
,,,Sep,28,65792,65820
,,,Oct,10 or fewer,72935,72940
,,,Nov,10 or fewer,71631,71639
,,,Dec,10 or fewer,78974,78975
,No value,2023,Jan,10 or fewer,6871,6871
,,,Feb,10 or fewer,6904,6904
,,,Mar,10 or fewer,7025,7025
,,,Apr,10 or fewer,6709,6709
,,,May,10 or fewer,6620,6620
,,,Jun,10 or fewer,7021,7021
,,,Jul,10 or fewer,6121,6121
,,,Aug,10 or fewer,6859,6859
,,,Sep,10 or fewer,6348,6348
,,,Oct,10 or fewer,7188,7188
,,,Nov,10 or fewer,7525,7525
,,,Dec,10 or fewer,8128,8128
,"Total: Total includes all data under the Ohio bucket, including data from rows not currently displayed.",2023,Jan,10 or fewer,268793,268802
,,,Feb,10 or fewer,254776,254785
,,,Mar,10 or fewer,283965,283974
,,,Apr,27,272641,272668
,,,May,74,288182,288256
,,,Jun,138,271330,271468
,,,Jul,347,278552,278899
,,,Aug,261,285208,285469
,,,Sep,107,292082,292189
,,,Oct,18,315372,315390
,,,Nov,19,310360,310379
,,,Dec,10 or fewer,336336,336344
Pennsylvania,Less than 15 Years,2023,Jan,10 or fewer,23831,23832
,,,Feb,10 or fewer,25024,25024
,,,Mar,10 or fewer,27784,27784
,,,Apr,10 or fewer,25395,25397
,,,May,10 or fewer,26970,26973
,,,Jun,10 or fewer,21370,21380
,,,Jul,22,20674,20696
,,,Aug,10 or fewer,19708,19718
,,,Sep,10 or fewer,23120,23127
,,,Oct,10 or fewer,25625,25627
,,,Nov,10 or fewer,27568,27568
,,,Dec,10 or fewer,31208,31208
,≥ 15 and < 25 Years,2023,Jan,10 or fewer,21074,21075
,,,Feb,10 or fewer,19905,19908
,,,Mar,10 or fewer,21687,21688
,,,Apr,10 or fewer,20781,20786
,,,May,10 or fewer,21627,21636
,,,Jun,16,20283,20299
,,,Jul,44,21434,21478
,,,Aug,22,21571,21593
,,,Sep,20,22198,22218
,,,Oct,10 or fewer,22586,22591
,,,Nov,10 or fewer,21017,21017
,,,Dec,10 or fewer,21947,21948
,≥ 25 and < 45 Years,2023,Jan,10 or fewer,48984,48984
,,,Feb,10 or fewer,44382,44384
,,,Mar,10 or fewer,49250,49251
,,,Apr,10 or fewer,46889,46894
,,,May,16,49663,49679
,,,Jun,21,48889,48910
,,,Jul,116,51769,51885
,,,Aug,23,51436,51459
,,,Sep,28,49202,49230
,,,Oct,10 or fewer,49793,49796
,,,Nov,10 or fewer,47645,47645
,,,Dec,10 or fewer,51272,51274
,≥ 45 and < 65 Years,2023,Jan,10 or fewer,44262,44263
,,,Feb,10 or fewer,39874,39877
,,,Mar,10 or fewer,44118,44118
,,,Apr,10 or fewer,42423,42426
,,,May,10 or fewer,45575,45581
,,,Jun,29,44484,44513
,,,Jul,101,46662,46763
,,,Aug,30,47116,47146
,,,Sep,27,44238,44265
,,,Oct,10 or fewer,45306,45308
,,,Nov,10 or fewer,43020,43020
,,,Dec,10 or fewer,46398,46399
,65 Years or more,2023,Jan,10 or fewer,49506,49512
,,,Feb,10 or fewer,44468,44470
,,,Mar,10 or fewer,49014,49016
,,,Apr,10 or fewer,48421,48429
,,,May,15,50366,50381
,,,Jun,25,49678,49703
,,,Jul,96,51402,51498
,,,Aug,28,52068,52096
,,,Sep,29,50771,50800
,,,Oct,10 or fewer,52215,52224
,,,Nov,10 or fewer,51345,51347
,,,Dec,10 or fewer,56461,56463
,No value,2023,Jan,10 or fewer,6693,6693
,,,Feb,10 or fewer,6634,6634
,,,Mar,10 or fewer,6449,6449
,,,Apr,10 or fewer,5857,5857
,,,May,10 or fewer,5928,5928
,,,Jun,10 or fewer,6119,6120
,,,Jul,10 or fewer,5538,5539
,,,Aug,10 or fewer,6165,6165
,,,Sep,10 or fewer,5776,5776
,,,Oct,10 or fewer,6001,6001
,,,Nov,10 or fewer,6182,6182
,,,Dec,10 or fewer,6724,6724
,"Total: Total includes all data under the Pennsylvania bucket, including data from rows not currently displayed.",2023,Jan,10 or fewer,194328,194337
,,,Feb,10 or fewer,180269,180279
,,,Mar,10 or fewer,198281,198285
,,,Apr,23,189740,189763
,,,May,49,200099,200148
,,,Jun,102,190799,190901
,,,Jul,380,197457,197837
,,,Aug,113,198038,198151
,,,Sep,111,195275,195386
,,,Oct,21,201506,201527
,,,Nov,10 or fewer,196768,196770
,,,Dec,10 or fewer,213990,213996
New York,Less than 15 Years,2023,Jan,10 or fewer,19500,19501
,,,Feb,10 or fewer,19716,19718
,,,Mar,10 or fewer,22275,22276
,,,Apr,10 or fewer,20746,20747
,,,May,10 or fewer,22740,22743
,,,Jun,10 or fewer,19716,19718
,,,Jul,15,18896,18911
,,,Aug,10 or fewer,16949,16956
,,,Sep,10 or fewer,19287,19290
,,,Oct,10 or fewer,21364,21366
,,,Nov,10 or fewer,22826,22827
,,,Dec,10 or fewer,27534,27534
,≥ 15 and < 25 Years,2023,Jan,10 or fewer,18084,18085
,,,Feb,10 or fewer,16980,16982
,,,Mar,10 or fewer,19404,19407
,,,Apr,10 or fewer,19019,19028
,,,May,10 or fewer,19694,19703
,,,Jun,16,18202,18218
,,,Jul,35,19463,19498
,,,Aug,11,19113,19124
,,,Sep,14,20515,20529
,,,Oct,10 or fewer,20798,20800
,,,Nov,10 or fewer,18994,18996
,,,Dec,10 or fewer,19821,19821
,≥ 25 and < 45 Years,2023,Jan,10 or fewer,42041,42043
,,,Feb,10 or fewer,38462,38465
,,,Mar,10 or fewer,43411,43413
,,,Apr,10 or fewer,42373,42382
,,,May,10 or fewer,45457,45465
,,,Jun,25,45281,45306
,,,Jul,61,48123,48184
,,,Aug,20,47192,47212
,,,Sep,25,44699,44724
,,,Oct,10 or fewer,45443,45444
,,,Nov,10 or fewer,42963,42965
,,,Dec,10 or fewer,46890,46894
,≥ 45 and < 65 Years,2023,Jan,10 or fewer,37019,37019
,,,Feb,10 or fewer,32903,32903
,,,Mar,10 or fewer,37153,37154
,,,Apr,18,36928,36946
,,,May,12,39568,39580
,,,Jun,14,39776,39790
,,,Jul,73,41845,41918
,,,Aug,12,41175,41187
,,,Sep,22,38974,38996
,,,Oct,10 or fewer,39334,39338
,,,Nov,10 or fewer,37475,37477
,,,Dec,10 or fewer,41037,41040
,65 Years or more,2023,Jan,10 or fewer,38471,38478
,,,Feb,10 or fewer,34545,34550
,,,Mar,10 or fewer,38825,38828
,,,Apr,12,38969,38981
,,,May,14,41138,41152
,,,Jun,20,41296,41316
,,,Jul,58,42930,42988
,,,Aug,17,43314,43331
,,,Sep,25,41122,41147
,,,Oct,10 or fewer,42651,42654
,,,Nov,10 or fewer,41064,41067
,,,Dec,10 or fewer,44984,44988
,No value,2023,Jan,10 or fewer,6251,6251
,,,Feb,10 or fewer,6201,6201
,,,Mar,10 or fewer,5978,5978
,,,Apr,10 or fewer,5796,5796
,,,May,10 or fewer,5920,5920
,,,Jun,10 or fewer,6004,6004
,,,Jul,10 or fewer,5505,5505
,,,Aug,10 or fewer,5865,5865
,,,Sep,10 or fewer,5661,5662
,,,Oct,10 or fewer,5814,5814
,,,Nov,10 or fewer,5964,5964
,,,Dec,10 or fewer,6291,6291
,"Total: Total includes all data under the New York bucket, including data from rows not currently displayed.",2023,Jan,11,161351,161362
,,,Feb,12,148797,148809
,,,Mar,10 or fewer,167025,167035
,,,Apr,49,163814,163863
,,,May,46,174495,174541
,,,Jun,77,170257,170334
,,,Jul,242,176745,176987
,,,Aug,67,173595,173662
,,,Sep,90,170246,170336
,,,Oct,12,175382,175394
,,,Nov,10 or fewer,169266,169276
,,,Dec,11,186538,186549
North Carolina,Less than 15 Years,2023,Jan,10 or fewer,23465,23466
,,,Feb,10 or fewer,24623,24623
,,,Mar,10 or fewer,28389,28390
,,,Apr,10 or fewer,25310,25314
,,,May,10 or fewer,26986,26989
,,,Jun,10 or fewer,21697,21703
,,,Jul,20,19958,19978
,,,Aug,21,20054,20075
,,,Sep,10 or fewer,24965,24973
,,,Oct,10 or fewer,27503,27504
,,,Nov,10 or fewer,30961,30962
,,,Dec,10 or fewer,37501,37501
,≥ 15 and < 25 Years,2023,Jan,10 or fewer,19285,19285
,,,Feb,10 or fewer,17955,17958
,,,Mar,10 or fewer,19733,19734
,,,Apr,10 or fewer,18930,18937
,,,May,11,19772,19783
,,,Jun,22,18538,18560
,,,Jul,70,19454,19524
,,,Aug,67,19925,19992
,,,Sep,27,20840,20867
,,,Oct,10 or fewer,20989,20997
,,,Nov,10 or fewer,20144,20145
,,,Dec,10 or fewer,21525,21525
,≥ 25 and < 45 Years,2023,Jan,10 or fewer,42954,42955
,,,Feb,10 or fewer,38772,38775
,,,Mar,10 or fewer,43147,43148
,,,Apr,11,41942,41953
,,,May,13,43804,43817
,,,Jun,43,43187,43230
,,,Jul,163,45167,45330
,,,Aug,103,45577,45680
,,,Sep,51,44002,44053
,,,Oct,10 or fewer,44335,44336
,,,Nov,10 or fewer,43766,43768
,,,Dec,10 or fewer,48935,48936
,≥ 45 and < 65 Years,2023,Jan,10 or fewer,37372,37373
,,,Feb,10 or fewer,33409,33412
,,,Mar,10 or fewer,36744,36747
,,,Apr,10 or fewer,36182,36188
,,,May,13,38007,38020
,,,Jun,40,37648,37688
,,,Jul,162,39001,39163
,,,Aug,91,39430,39521
,,,Sep,46,38329,38375
,,,Oct,10 or fewer,38334,38338
,,,Nov,10 or fewer,36943,36947
,,,Dec,10 or fewer,41521,41521
,65 Years or more,2023,Jan,10 or fewer,37892,37896
,,,Feb,10 or fewer,33535,33537
,,,Mar,10 or fewer,37174,37178
,,,Apr,10 or fewer,36395,36404
,,,May,12,37941,37953
,,,Jun,40,38251,38291
,,,Jul,104,39368,39472
,,,Aug,67,39852,39919
,,,Sep,23,39164,39187
,,,Oct,11,40245,40256
,,,Nov,10 or fewer,39770,39771
,,,Dec,10 or fewer,44360,44362
,No value,2023,Jan,10 or fewer,5388,5388
,,,Feb,10 or fewer,5474,5474
,,,Mar,10 or fewer,5261,5261
,,,Apr,10 or fewer,4931,4931
,,,May,10 or fewer,5119,5120
,,,Jun,10 or fewer,4975,4975
,,,Jul,10 or fewer,4734,4738
,,,Aug,10 or fewer,5071,5071
,,,Sep,10 or fewer,4995,4995
,,,Oct,10 or fewer,5157,5157
,,,Nov,10 or fewer,5271,5271
,,,Dec,10 or fewer,5456,5456
,"Total: Total includes all data under the North Carolina bucket, including data from rows not currently displayed.",2023,Jan,10 or fewer,166333,166340
,,,Feb,11,153753,153764
,,,Mar,10 or fewer,170431,170441
,,,Apr,37,163669,163706
,,,May,53,171612,171665
,,,Jun,151,164278,164429
,,,Jul,523,167666,168189
,,,Aug,349,169889,170238
,,,Sep,155,172266,172421
,,,Oct,25,176545,176570
,,,Nov,10 or fewer,176838,176847
