Session Title,Number of ED Encounters and Percent with Self-Harm Dx by State of Residence (U.S.) and Age at Time of Visit Range,,,,
Session ID,2758643,,,,
Data Model,ED Encounters,,,,
Population Base,All ED Encounters,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,
Session Date Range,1/1/2023 - 8/27/2025 (Based On Arrival Date),,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,9/19/2025,,,,
,,,,,
,,,,,
,,,Measures,Number of ED Encounters,Percent with Self-Harm Dx (%)
State of Residence (U.S.),Age at Time of Visit,Year,Month,,
,≥ 50 and < 65 Years,2023,Jan,56197,0.093%
,,,Feb,50766,0.065%
,,,Mar,56190,0.085%
,,,Apr,55333,0.049%
,,,May,59202,0.066%
,,,Jun,57520,0.103%
,,,Jul,60426,0.084%
,,,Aug,60887,0.062%
,,,Sep,58607,0.065%
,,,Oct,59036,0.08%
,,,Nov,56767,0.079%
,,,Dec,60019,0.063%
,,2024,Jan,61549,0.057%
,,,Feb,56842,0.06%
,,,Mar,60040,0.062%
,,,Apr,59253,0.068%
,,,May,62335,0.063%
,,,Jun,60374,0.065%
,,,Jul,63881,0.063%
,,,Aug,61954,0.065%
,,,Sep,60972,0.069%
,,,Oct,62183,0.068%
,,,Nov,64253,0.075%
,,,Dec,69533,0.055%
,,2025,Jan,71184,0.066%
,,,Feb,65461,0.082%
,,,Mar,69835,0.07%
,,,Apr,68086,0.072%
,,,May,70969,0.052%
,,,Jun,68967,0.07%
,,,Jul,72584,0.063%
,,,Aug 1 – Aug 27,63569,0.077%
,65 Years or more,2023,Jan,78917,0.037%
,,,Feb,69623,0.027%
,,,Mar,77161,0.021%
,,,Apr,73846,0.035%
,,,May,81235,0.025%
,,,Jun,79040,0.03%
,,,Jul,81924,0.029%
,,,Aug,83913,0.024%
,,,Sep,81172,0.026%
,,,Oct,83212,0.025%
,,,Nov,82350,0.026%
,,,Dec,89797,0.021%
,,2024,Jan,91116,0.033%
,,,Feb,83138,0.036%
,,,Mar,87770,0.019%
,,,Apr,85260,0.028%
,,,May,88567,0.032%
,,,Jun,86165,0.031%
,,,Jul,91930,0.032%
,,,Aug,89363,0.028%
,,,Sep,87893,0.026%
,,,Oct,93256,0.028%
,,,Nov,96711,0.028%
,,,Dec,107297,0.023%
,,2025,Jan,107807,0.027%
,,,Feb,97068,0.019%
,,,Mar,105784,0.028%
,,,Apr,102005,0.029%
,,,May,105557,0.029%
,,,Jun,103292,0.031%
,,,Jul,106951,0.031%
,,,Aug 1 – Aug 27,94359,0.031%
,No value,2023,Jan,10 or fewer,-
,,,Feb,10 or fewer,-
,,,Mar,10 or fewer,-
,,,Apr,10 or fewer,-
,,,May,10 or fewer,-
,,,Jun,10 or fewer,-
,,,Jul,10 or fewer,-
,,,Aug,10 or fewer,-
,,,Sep,10 or fewer,-
,,,Oct,10 or fewer,-
,,,Nov,10 or fewer,-
,,,Dec,10 or fewer,-
,,2024,Jan,10 or fewer,-
,,,Feb,10 or fewer,-
,,,Mar,10 or fewer,-
,,,Apr,10 or fewer,-
,,,May,10 or fewer,-
,,,Jun,10 or fewer,-
,,,Jul,10 or fewer,-
,,,Aug,10 or fewer,-
,,,Sep,10 or fewer,-
,,,Oct,10 or fewer,-
,,,Nov,10 or fewer,-
,,,Dec,10 or fewer,-
,,2025,Jan,10 or fewer,-
,,,Feb,10 or fewer,-
,,,Mar,10 or fewer,-
,,,Apr,10 or fewer,-
,,,May,10 or fewer,-
,,,Jun,10 or fewer,-
,,,Jul,10 or fewer,-
,,,Aug 1 – Aug 27,10 or fewer,-
,Total,2023,Jan,335062,0.11%
,,,Feb,308758,0.116%
,,,Mar,340279,0.106%
,,,Apr,330929,0.114%
