"Notes","State of Residence","State of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Texas","48","Unknown or Not Stated","9",1213
,"Utah","49","Hispanic or Latino","2135-2",9236
,"Utah","49","Not Hispanic or Latino","2186-5",35528
,"Utah","49","Unknown or Not Stated","9",255
,"Vermont","50","Hispanic or Latino","2135-2",152
,"Vermont","50","Not Hispanic or Latino","2186-5",4899
,"Vermont","50","Unknown or Not Stated","9",14
,"Virginia","51","Hispanic or Latino","2135-2",16222
,"Virginia","51","Not Hispanic or Latino","2186-5",76096
,"Virginia","51","Unknown or Not Stated","9",331
,"Washington","53","Hispanic or Latino","2135-2",17145
,"Washington","53","Not Hispanic or Latino","2186-5",60917
,"Washington","53","Unknown or Not Stated","9",2870
,"West Virginia","54","Hispanic or Latino","2135-2",506
,"West Virginia","54","Not Hispanic or Latino","2186-5",16048
,"West Virginia","54","Unknown or Not Stated","9",52
,"Wisconsin","55","Hispanic or Latino","2135-2",7591
,"Wisconsin","55","Not Hispanic or Latino","2186-5",51605
,"Wisconsin","55","Unknown or Not Stated","9",558
,"Wyoming","56","Hispanic or Latino","2135-2",858
,"Wyoming","56","Not Hispanic or Latino","2186-5",4957
,"Wyoming","56","Unknown or Not Stated","9",175
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2023"
"Group By: State of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 5:54:55 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 5:54:55 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
