"Notes","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code",Births
,"Minnesota","27","Vaginal","1",43030
,"Minnesota","27","Cesarean","2",18626
,"Minnesota","27","Unknown or Not Stated","9",59
,"Mississippi","28","Vaginal","1",21383
,"Mississippi","28","Cesarean","2",13072
,"Mississippi","28","Unknown or Not Stated","9",Suppressed
,"Missouri","29","Vaginal","1",46805
,"Missouri","29","Cesarean","2",20264
,"Missouri","29","Unknown or Not Stated","9",54
,"Montana","30","Vaginal","1",8196
,"Montana","30","Cesarean","2",2880
,"Montana","30","Unknown or Not Stated","9",Suppressed
,"Nebraska","31","Vaginal","1",17032
,"Nebraska","31","Cesarean","2",7079
,"Nebraska","31","Unknown or Not Stated","9",0
,"Nevada","32","Vaginal","1",21134
,"Nevada","32","Cesarean","2",10656
,"Nevada","32","Unknown or Not Stated","9",Suppressed
,"New Hampshire","33","Vaginal","1",8009
,"New Hampshire","33","Cesarean","2",3926
,"New Hampshire","33","Unknown or Not Stated","9",Suppressed
,"New Jersey","34","Vaginal","1",67575
,"New Jersey","34","Cesarean","2",33423
,"New Jersey","34","Unknown or Not Stated","9",Suppressed
,"New Mexico","35","Vaginal","1",15009
,"New Mexico","35","Cesarean","2",5941
,"New Mexico","35","Unknown or Not Stated","9",Suppressed
,"New York","36","Vaginal","1",134309
,"New York","36","Cesarean","2",68836
,"New York","36","Unknown or Not Stated","9",467
,"North Carolina","37","Vaginal","1",82853
,"North Carolina","37","Cesarean","2",36772
,"North Carolina","37","Unknown or Not Stated","9",457
,"North Dakota","38","Vaginal","1",7126
,"North Dakota","38","Cesarean","2",2520
,"North Dakota","38","Unknown or Not Stated","9",Suppressed
,"Ohio","39","Vaginal","1",86948
,"Ohio","39","Cesarean","2",39859
,"Ohio","39","Unknown or Not Stated","9",89
,"Oklahoma","40","Vaginal","1",32048
,"Oklahoma","40","Cesarean","2",15846
,"Oklahoma","40","Unknown or Not Stated","9",15
,"Oregon","41","Vaginal","1",27233
,"Oregon","41","Cesarean","2",11062
,"Oregon","41","Unknown or Not Stated","9",Suppressed
,"Pennsylvania","42","Vaginal","1",87154
,"Pennsylvania","42","Cesarean","2",39718
,"Pennsylvania","42","Unknown or Not Stated","9",79
,"Rhode Island","44","Vaginal","1",6537
,"Rhode Island","44","Cesarean","2",3256
,"Rhode Island","44","Unknown or Not Stated","9",12
,"South Carolina","45","Vaginal","1",38887
,"South Carolina","45","Cesarean","2",18825
,"South Carolina","45","Unknown or Not Stated","9",17
,"South Dakota","46","Vaginal","1",8472
,"South Dakota","46","Cesarean","2",2729
,"South Dakota","46","Unknown or Not Stated","9",0
,"Tennessee","47","Vaginal","1",56244
,"Tennessee","47","Cesarean","2",26776
,"Tennessee","47","Unknown or Not Stated","9",Suppressed
,"Texas","48","Vaginal","1",253891
,"Texas","48","Cesarean","2",133915
,"Texas","48","Unknown or Not Stated","9",139
,"Utah","49","Vaginal","1",34075
,"Utah","49","Cesarean","2",10928
,"Utah","49","Unknown or Not Stated","9",16
,"Vermont","50","Vaginal","1",3673
,"Vermont","50","Cesarean","2",1392
,"Vermont","50","Unknown or Not Stated","9",0
,"Virginia","51","Vaginal","1",62718
,"Virginia","51","Cesarean","2",29926
,"Virginia","51","Unknown or Not Stated","9",Suppressed
,"Washington","53","Vaginal","1",56450
,"Washington","53","Cesarean","2",24219
,"Washington","53","Unknown or Not Stated","9",263
,"West Virginia","54","Vaginal","1",10801
,"West Virginia","54","Cesarean","2",5802
,"West Virginia","54","Unknown or Not Stated","9",Suppressed
,"Wisconsin","55","Vaginal","1",43245
,"Wisconsin","55","Cesarean","2",16264
,"Wisconsin","55","Unknown or Not Stated","9",245
,"Wyoming","56","Vaginal","1",4297
,"Wyoming","56","Cesarean","2",1693
,"Wyoming","56","Unknown or Not Stated","9",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2023"
"Group By: State of Residence; Delivery Method"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 16, 2026 2:30:56 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 16, 2026 2:30:56 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
