"Notes","State of Residence","State of Residence Code","Plurality","Plurality Code",Births
,"Massachusetts","25","Triplet or higher","3",53
,"Michigan","26","Single","1",101086
,"Michigan","26","Twin","2",3808
,"Michigan","26","Triplet or higher","3",86
,"Minnesota","27","Single","1",62261
,"Minnesota","27","Twin","2",2096
,"Minnesota","27","Triplet or higher","3",68
,"Mississippi","28","Single","1",33844
,"Mississippi","28","Twin","2",1272
,"Mississippi","28","Triplet or higher","3",40
,"Missouri","29","Single","1",67133
,"Missouri","29","Twin","2",2246
,"Missouri","29","Triplet or higher","3",74
,"Montana","30","Single","1",10915
,"Montana","30","Twin","2",306
,"Montana","30","Triplet or higher","3",10
,"Nebraska","31","Single","1",23773
,"Nebraska","31","Twin","2",790
,"Nebraska","31","Triplet or higher","3",46
,"Nevada","32","Single","1",32592
,"Nevada","32","Twin","2",1068
,"Nevada","32","Triplet or higher","3",26
,"New Hampshire","33","Single","1",12189
,"New Hampshire","33","Twin","2",425
,"New Hampshire","33","Triplet or higher","3",11
,"New Jersey","34","Single","1",98385
,"New Jersey","34","Twin","2",3024
,"New Jersey","34","Triplet or higher","3",88
,"New Mexico","35","Single","1",20845
,"New Mexico","35","Twin","2",540
,"New Mexico","35","Triplet or higher","3",Suppressed
,"New York","36","Single","1",203837
,"New York","36","Twin","2",6686
,"New York","36","Triplet or higher","3",219
,"North Carolina","37","Single","1",116533
,"North Carolina","37","Twin","2",3867
,"North Carolina","37","Triplet or higher","3",66
,"North Dakota","38","Single","1",9842
,"North Dakota","38","Twin","2",261
,"North Dakota","38","Triplet or higher","3",Suppressed
,"Ohio","39","Single","1",125613
,"Ohio","39","Twin","2",4081
,"Ohio","39","Triplet or higher","3",97
,"Oklahoma","40","Single","1",46858
,"Oklahoma","40","Twin","2",1515
,"Oklahoma","40","Triplet or higher","3",37
,"Oregon","41","Single","1",39505
,"Oregon","41","Twin","2",1379
,"Oregon","41","Triplet or higher","3",30
,"Pennsylvania","42","Single","1",128359
,"Pennsylvania","42","Twin","2",4156
,"Pennsylvania","42","Triplet or higher","3",107
,"Rhode Island","44","Single","1",10168
,"Rhode Island","44","Twin","2",284
,"Rhode Island","44","Triplet or higher","3",12
,"South Carolina","45","Single","1",55294
,"South Carolina","45","Twin","2",1840
,"South Carolina","45","Triplet or higher","3",51
,"South Dakota","46","Single","1",10962
,"South Dakota","46","Twin","2",395
,"South Dakota","46","Triplet or higher","3",12
,"Tennessee","47","Single","1",79109
,"Tennessee","47","Twin","2",2522
,"Tennessee","47","Triplet or higher","3",86
,"Texas","48","Single","1",362314
,"Texas","48","Twin","2",10974
,"Texas","48","Triplet or higher","3",306
,"Utah","49","Single","1",45170
,"Utah","49","Twin","2",1485
,"Utah","49","Triplet or higher","3",57
,"Vermont","50","Single","1",5219
,"Vermont","50","Twin","2",159
,"Vermont","50","Triplet or higher","3",Suppressed
,"Virginia","51","Single","1",92765
,"Virginia","51","Twin","2",3005
,"Virginia","51","Triplet or higher","3",55
,"Washington","53","Single","1",81473
,"Washington","53","Twin","2",2384
,"Washington","53","Triplet or higher","3",54
,"West Virginia","54","Single","1",16621
,"West Virginia","54","Twin","2",568
,"West Virginia","54","Triplet or higher","3",Suppressed
,"Wisconsin","55","Single","1",59721
,"Wisconsin","55","Twin","2",1997
,"Wisconsin","55","Triplet or higher","3",63
,"Wyoming","56","Single","1",6034
,"Wyoming","56","Twin","2",203
,"Wyoming","56","Triplet or higher","3",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2021"
"Group By: State of Residence; Plurality"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 16, 2026 1:57:17 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 16, 2026 1:57:17 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
