"Notes","State of Residence","State of Residence Code","Tobacco Use","Tobacco Use Code",Births
,"South Dakota","46","Yes","1",1041
,"South Dakota","46","No","2",10294
,"South Dakota","46","Unknown or Not Stated","9",34
,"Tennessee","47","Yes","1",7418
,"Tennessee","47","No","2",73905
,"Tennessee","47","Unknown or Not Stated","9",394
,"Texas","48","Yes","1",6317
,"Texas","48","No","2",366385
,"Texas","48","Unknown or Not Stated","9",892
,"Utah","49","Yes","1",872
,"Utah","49","No","2",45702
,"Utah","49","Unknown or Not Stated","9",138
,"Vermont","50","Yes","1",502
,"Vermont","50","No","2",4811
,"Vermont","50","Unknown or Not Stated","9",71
,"Virginia","51","Yes","1",3974
,"Virginia","51","No","2",91794
,"Virginia","51","Unknown or Not Stated","9",57
,"Washington","53","Yes","1",3295
,"Washington","53","No","2",78217
,"Washington","53","Unknown or Not Stated","9",2399
,"West Virginia","54","Yes","1",3134
,"West Virginia","54","No","2",14056
,"West Virginia","54","Unknown or Not Stated","9",Suppressed
,"Wisconsin","55","Yes","1",4249
,"Wisconsin","55","No","2",57144
,"Wisconsin","55","Unknown or Not Stated","9",388
,"Wyoming","56","Yes","1",583
,"Wyoming","56","No","2",5366
,"Wyoming","56","Unknown or Not Stated","9",288
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2021"
"Group By: State of Residence; Tobacco Use"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 16, 2026 1:59:38 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 16, 2026 1:59:38 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
