"Notes","State of Residence","State of Residence Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births
,"Idaho","16","5000 - 8165 grams","11",16
,"Idaho","16","Unknown or Not Stated","12",16
,"Illinois","17","499 grams or less","01",175
,"Illinois","17","500 - 999 grams","02",614
,"Illinois","17","1000 - 1499 grams","03",967
,"Illinois","17","1500 - 1999 grams","04",2261
,"Illinois","17","2000 - 2499 grams","05",7218
,"Illinois","17","2500 - 2999 grams","06",25337
,"Illinois","17","3000 - 3499 grams","07",51446
,"Illinois","17","3500 - 3999 grams","08",34374
,"Illinois","17","4000 - 4499 grams","09",8414
,"Illinois","17","4500 - 4999 grams","10",1183
,"Illinois","17","5000 - 8165 grams","11",146
,"Illinois","17","Unknown or Not Stated","12",54
,"Indiana","18","499 grams or less","01",114
,"Indiana","18","500 - 999 grams","02",357
,"Indiana","18","1000 - 1499 grams","03",568
,"Indiana","18","1500 - 1999 grams","04",1272
,"Indiana","18","2000 - 2499 grams","05",4393
,"Indiana","18","2500 - 2999 grams","06",14726
,"Indiana","18","3000 - 3499 grams","07",30839
,"Indiana","18","3500 - 3999 grams","08",21315
,"Indiana","18","4000 - 4499 grams","09",5446
,"Indiana","18","4500 - 4999 grams","10",798
,"Indiana","18","5000 - 8165 grams","11",87
,"Indiana","18","Unknown or Not Stated","12",31
,"Iowa","19","499 grams or less","01",45
,"Iowa","19","500 - 999 grams","02",143
,"Iowa","19","1000 - 1499 grams","03",237
,"Iowa","19","1500 - 1999 grams","04",539
,"Iowa","19","2000 - 2499 grams","05",1555
,"Iowa","19","2500 - 2999 grams","06",6154
,"Iowa","19","3000 - 3499 grams","07",13883
,"Iowa","19","3500 - 3999 grams","08",10745
,"Iowa","19","4000 - 4499 grams","09",3064
,"Iowa","19","4500 - 4999 grams","10",397
,"Iowa","19","5000 - 8165 grams","11",56
,"Iowa","19","Unknown or Not Stated","12",17
,"Kansas","20","499 grams or less","01",43
,"Kansas","20","500 - 999 grams","02",144
,"Kansas","20","1000 - 1499 grams","03",227
,"Kansas","20","1500 - 1999 grams","04",507
,"Kansas","20","2000 - 2499 grams","05",1646
,"Kansas","20","2500 - 2999 grams","06",6162
,"Kansas","20","3000 - 3499 grams","07",13363
,"Kansas","20","3500 - 3999 grams","08",9732
,"Kansas","20","4000 - 4499 grams","09",2511
,"Kansas","20","4500 - 4999 grams","10",317
,"Kansas","20","5000 - 8165 grams","11",38
,"Kansas","20","Unknown or Not Stated","12",15
,"Kentucky","21","499 grams or less","01",69
,"Kentucky","21","500 - 999 grams","02",285
,"Kentucky","21","1000 - 1499 grams","03",444
,"Kentucky","21","1500 - 1999 grams","04",1002
,"Kentucky","21","2000 - 2499 grams","05",2961
,"Kentucky","21","2500 - 2999 grams","06",9762
,"Kentucky","21","3000 - 3499 grams","07",19951
,"Kentucky","21","3500 - 3999 grams","08",13692
,"Kentucky","21","4000 - 4499 grams","09",3460
,"Kentucky","21","4500 - 4999 grams","10",509
,"Kentucky","21","5000 - 8165 grams","11",54
,"Kentucky","21","Unknown or Not Stated","12",25
,"Louisiana","22","499 grams or less","01",73
,"Louisiana","22","500 - 999 grams","02",467
,"Louisiana","22","1000 - 1499 grams","03",593
,"Louisiana","22","1500 - 1999 grams","04",1282
,"Louisiana","22","2000 - 2499 grams","05",4092
,"Louisiana","22","2500 - 2999 grams","06",13077
,"Louisiana","22","3000 - 3499 grams","07",22588
,"Louisiana","22","3500 - 3999 grams","08",12348
,"Louisiana","22","4000 - 4499 grams","09",2536
,"Louisiana","22","4500 - 4999 grams","10",318
,"Louisiana","22","5000 - 8165 grams","11",44
,"Louisiana","22","Unknown or Not Stated","12",19
,"Maine","23","499 grams or less","01",11
,"Maine","23","500 - 999 grams","02",46
,"Maine","23","1000 - 1499 grams","03",72
,"Maine","23","1500 - 1999 grams","04",163
,"Maine","23","2000 - 2499 grams","05",583
,"Maine","23","2500 - 2999 grams","06",1965
,"Maine","23","3000 - 3499 grams","07",4443
,"Maine","23","3500 - 3999 grams","08",3559
,"Maine","23","4000 - 4499 grams","09",988
,"Maine","23","4500 - 4999 grams","10",143
,"Maine","23","5000 - 8165 grams","11",23
,"Maine","23","Unknown or Not Stated","12",10
,"Maryland","24","499 grams or less","01",113
,"Maryland","24","500 - 999 grams","02",391
,"Maryland","24","1000 - 1499 grams","03",570
,"Maryland","24","1500 - 1999 grams","04",1237
,"Maryland","24","2000 - 2499 grams","05",3769
,"Maryland","24","2500 - 2999 grams","06",13115
,"Maryland","24","3000 - 3499 grams","07",25644
,"Maryland","24","3500 - 3999 grams","08",17959
,"Maryland","24","4000 - 4499 grams","09",4751
,"Maryland","24","4500 - 4999 grams","10",637
,"Maryland","24","5000 - 8165 grams","11",65
,"Maryland","24","Unknown or Not Stated","12",34
,"Massachusetts","25","499 grams or less","01",56
,"Massachusetts","25","500 - 999 grams","02",268
,"Massachusetts","25","1000 - 1499 grams","03",435
,"Massachusetts","25","1500 - 1999 grams","04",1067
,"Massachusetts","25","2000 - 2499 grams","05",3322
,"Massachusetts","25","2500 - 2999 grams","06",12350
,"Massachusetts","25","3000 - 3499 grams","07",26326
,"Massachusetts","25","3500 - 3999 grams","08",18860
,"Massachusetts","25","4000 - 4499 grams","09",5015
,"Massachusetts","25","4500 - 4999 grams","10",649
,"Massachusetts","25","5000 - 8165 grams","11",67
,"Massachusetts","25","Unknown or Not Stated","12",722
,"Michigan","26","499 grams or less","01",192
,"Michigan","26","500 - 999 grams","02",547
,"Michigan","26","1000 - 1499 grams","03",810
,"Michigan","26","1500 - 1999 grams","04",1876
,"Michigan","26","2000 - 2499 grams","05",6243
,"Michigan","26","2500 - 2999 grams","06",19519
,"Michigan","26","3000 - 3499 grams","07",39381
,"Michigan","26","3500 - 3999 grams","08",27682
,"Michigan","26","4000 - 4499 grams","09",7462
,"Michigan","26","4500 - 4999 grams","10",1039
,"Michigan","26","5000 - 8165 grams","11",133
,"Michigan","26","Unknown or Not Stated","12",96
,"Minnesota","27","499 grams or less","01",91
,"Minnesota","27","500 - 999 grams","02",253
,"Minnesota","27","1000 - 1499 grams","03",410
,"Minnesota","27","1500 - 1999 grams","04",966
,"Minnesota","27","2000 - 2499 grams","05",2945
,"Minnesota","27","2500 - 2999 grams","06",10303
,"Minnesota","27","3000 - 3499 grams","07",24097
,"Minnesota","27","3500 - 3999 grams","08",18829
,"Minnesota","27","4000 - 4499 grams","09",5568
,"Minnesota","27","4500 - 4999 grams","10",805
,"Minnesota","27","5000 - 8165 grams","11",90
,"Minnesota","27","Unknown or Not Stated","12",68
,"Mississippi","28","499 grams or less","01",75
,"Mississippi","28","500 - 999 grams","02",312
,"Mississippi","28","1000 - 1499 grams","03",336
,"Mississippi","28","1500 - 1999 grams","04",874
,"Mississippi","28","2000 - 2499 grams","05",2742
,"Mississippi","28","2500 - 2999 grams","06",8040
,"Mississippi","28","3000 - 3499 grams","07",13598
,"Mississippi","28","3500 - 3999 grams","08",7324
,"Mississippi","28","4000 - 4499 grams","09",1608
,"Mississippi","28","4500 - 4999 grams","10",209
,"Mississippi","28","5000 - 8165 grams","11",20
,"Mississippi","28","Unknown or Not Stated","12",18
,"Missouri","29","499 grams or less","01",88
,"Missouri","29","500 - 999 grams","02",345
,"Missouri","29","1000 - 1499 grams","03",531
,"Missouri","29","1500 - 1999 grams","04",1174
,"Missouri","29","2000 - 2499 grams","05",4030
,"Missouri","29","2500 - 2999 grams","06",12944
,"Missouri","29","3000 - 3499 grams","07",26525
,"Missouri","29","3500 - 3999 grams","08",18451
,"Missouri","29","4000 - 4499 grams","09",4631
,"Missouri","29","4500 - 4999 grams","10",609
,"Missouri","29","5000 - 8165 grams","11",72
,"Missouri","29","Unknown or Not Stated","12",53
,"Montana","30","499 grams or less","01",Suppressed
,"Montana","30","500 - 999 grams","02",37
,"Montana","30","1000 - 1499 grams","03",62
,"Montana","30","1500 - 1999 grams","04",160
,"Montana","30","2000 - 2499 grams","05",585
,"Montana","30","2500 - 2999 grams","06",2166
,"Montana","30","3000 - 3499 grams","07",4428
,"Montana","30","3500 - 3999 grams","08",2991
,"Montana","30","4000 - 4499 grams","09",672
,"Montana","30","4500 - 4999 grams","10",97
,"Montana","30","5000 - 8165 grams","11",11
,"Montana","30","Unknown or Not Stated","12",13
,"Nebraska","31","499 grams or less","01",30
,"Nebraska","31","500 - 999 grams","02",107
,"Nebraska","31","1000 - 1499 grams","03",173
,"Nebraska","31","1500 - 1999 grams","04",375
,"Nebraska","31","2000 - 2499 grams","05",1195
,"Nebraska","31","2500 - 2999 grams","06",4109
,"Nebraska","31","3000 - 3499 grams","07",9578
,"Nebraska","31","3500 - 3999 grams","08",6933
,"Nebraska","31","4000 - 4499 grams","09",1845
,"Nebraska","31","4500 - 4999 grams","10",238
,"Nebraska","31","5000 - 8165 grams","11",18
,"Nebraska","31","Unknown or Not Stated","12",Suppressed
,"Nevada","32","499 grams or less","01",41
,"Nevada","32","500 - 999 grams","02",194
,"Nevada","32","1000 - 1499 grams","03",251
,"Nevada","32","1500 - 1999 grams","04",589
,"Nevada","32","2000 - 2499 grams","05",2180
,"Nevada","32","2500 - 2999 grams","06",7271
,"Nevada","32","3000 - 3499 grams","07",13350
,"Nevada","32","3500 - 3999 grams","08",7883
,"Nevada","32","4000 - 4499 grams","09",1689
,"Nevada","32","4500 - 4999 grams","10",209
,"Nevada","32","5000 - 8165 grams","11",22
,"Nevada","32","Unknown or Not Stated","12",Suppressed
,"New Hampshire","33","499 grams or less","01",Suppressed
,"New Hampshire","33","500 - 999 grams","02",38
,"New Hampshire","33","1000 - 1499 grams","03",77
,"New Hampshire","33","1500 - 1999 grams","04",179
,"New Hampshire","33","2000 - 2499 grams","05",576
,"New Hampshire","33","2500 - 2999 grams","06",1973
,"New Hampshire","33","3000 - 3499 grams","07",4683
,"New Hampshire","33","3500 - 3999 grams","08",3770
,"New Hampshire","33","4000 - 4499 grams","09",1118
,"New Hampshire","33","4500 - 4999 grams","10",164
,"New Hampshire","33","5000 - 8165 grams","11",15
,"New Hampshire","33","Unknown or Not Stated","12",24
,"New Jersey","34","499 grams or less","01",86
,"New Jersey","34","500 - 999 grams","02",441
,"New Jersey","34","1000 - 1499 grams","03",681
,"New Jersey","34","1500 - 1999 grams","04",1572
,"New Jersey","34","2000 - 2499 grams","05",5064
,"New Jersey","34","2500 - 2999 grams","06",19086
,"New Jersey","34","3000 - 3499 grams","07",40137
,"New Jersey","34","3500 - 3999 grams","08",26826
,"New Jersey","34","4000 - 4499 grams","09",6685
,"New Jersey","34","4500 - 4999 grams","10",799
,"New Jersey","34","5000 - 8165 grams","11",100
,"New Jersey","34","Unknown or Not Stated","12",20
,"New Mexico","35","499 grams or less","01",22
,"New Mexico","35","500 - 999 grams","02",103
,"New Mexico","35","1000 - 1499 grams","03",161
,"New Mexico","35","1500 - 1999 grams","04",336
,"New Mexico","35","2000 - 2499 grams","05",1387
,"New Mexico","35","2500 - 2999 grams","06",5015
,"New Mexico","35","3000 - 3499 grams","07",8675
,"New Mexico","35","3500 - 3999 grams","08",4645
,"New Mexico","35","4000 - 4499 grams","09",918
,"New Mexico","35","4500 - 4999 grams","10",103
,"New Mexico","35","5000 - 8165 grams","11",18
,"New Mexico","35","Unknown or Not Stated","12",Suppressed
,"New York","36","499 grams or less","01",208
,"New York","36","500 - 999 grams","02",1066
,"New York","36","1000 - 1499 grams","03",1558
,"New York","36","1500 - 1999 grams","04",3498
,"New York","36","2000 - 2499 grams","05",11348
,"New York","36","2500 - 2999 grams","06",40903
,"New York","36","3000 - 3499 grams","07",82517
,"New York","36","3500 - 3999 grams","08",54214
,"New York","36","4000 - 4499 grams","09",13212
,"New York","36","4500 - 4999 grams","10",1654
,"New York","36","5000 - 8165 grams","11",161
,"New York","36","Unknown or Not Stated","12",403
,"North Carolina","37","499 grams or less","01",172
,"North Carolina","37","500 - 999 grams","02",732
,"North Carolina","37","1000 - 1499 grams","03",1031
,"North Carolina","37","1500 - 1999 grams","04",2221
,"North Carolina","37","2000 - 2499 grams","05",7209
,"North Carolina","37","2500 - 2999 grams","06",23871
,"North Carolina","37","3000 - 3499 grams","07",45272
,"North Carolina","37","3500 - 3999 grams","08",30947
,"North Carolina","37","4000 - 4499 grams","09",7740
,"North Carolina","37","4500 - 4999 grams","10",1093
,"North Carolina","37","5000 - 8165 grams","11",109
,"North Carolina","37","Unknown or Not Stated","12",69
,"North Dakota","38","499 grams or less","01",Suppressed
,"North Dakota","38","500 - 999 grams","02",44
,"North Dakota","38","1000 - 1499 grams","03",53
,"North Dakota","38","1500 - 1999 grams","04",132
,"North Dakota","38","2000 - 2499 grams","05",438
,"North Dakota","38","2500 - 2999 grams","06",1628
,"North Dakota","38","3000 - 3499 grams","07",3917
,"North Dakota","38","3500 - 3999 grams","08",2964
,"North Dakota","38","4000 - 4499 grams","09",803
,"North Dakota","38","4500 - 4999 grams","10",114
,"North Dakota","38","5000 - 8165 grams","11",12
,"North Dakota","38","Unknown or Not Stated","12",Suppressed
,"Ohio","39","499 grams or less","01",196
,"Ohio","39","500 - 999 grams","02",675
,"Ohio","39","1000 - 1499 grams","03",1030
,"Ohio","39","1500 - 1999 grams","04",2247
,"Ohio","39","2000 - 2499 grams","05",7143
,"Ohio","39","2500 - 2999 grams","06",24512
,"Ohio","39","3000 - 3499 grams","07",49404
,"Ohio","39","3500 - 3999 grams","08",34396
,"Ohio","39","4000 - 4499 grams","09",8728
,"Ohio","39","4500 - 4999 grams","10",1170
,"Ohio","39","5000 - 8165 grams","11",120
,"Ohio","39","Unknown or Not Stated","12",170
,"Oklahoma","40","499 grams or less","01",71
,"Oklahoma","40","500 - 999 grams","02",249
,"Oklahoma","40","1000 - 1499 grams","03",404
,"Oklahoma","40","1500 - 1999 grams","04",850
,"Oklahoma","40","2000 - 2499 grams","05",2679
,"Oklahoma","40","2500 - 2999 grams","06",9525
,"Oklahoma","40","3000 - 3499 grams","07",18931
,"Oklahoma","40","3500 - 3999 grams","08",12207
,"Oklahoma","40","4000 - 4499 grams","09",2987
,"Oklahoma","40","4500 - 4999 grams","10",397
,"Oklahoma","40","5000 - 8165 grams","11",47
,"Oklahoma","40","Unknown or Not Stated","12",63
,"Oregon","41","499 grams or less","01",31
,"Oregon","41","500 - 999 grams","02",121
,"Oregon","41","1000 - 1499 grams","03",232
,"Oregon","41","1500 - 1999 grams","04",560
,"Oregon","41","2000 - 2499 grams","05",1883
,"Oregon","41","2500 - 2999 grams","06",6788
,"Oregon","41","3000 - 3499 grams","07",15450
,"Oregon","41","3500 - 3999 grams","08",11836
,"Oregon","41","4000 - 4499 grams","09",3424
,"Oregon","41","4500 - 4999 grams","10",520
,"Oregon","41","5000 - 8165 grams","11",52
,"Oregon","41","Unknown or Not Stated","12",17
,"Pennsylvania","42","499 grams or less","01",172
,"Pennsylvania","42","500 - 999 grams","02",629
,"Pennsylvania","42","1000 - 1499 grams","03",1009
,"Pennsylvania","42","1500 - 1999 grams","04",2207
,"Pennsylvania","42","2000 - 2499 grams","05",6990
,"Pennsylvania","42","2500 - 2999 grams","06",24601
,"Pennsylvania","42","3000 - 3499 grams","07",50671
,"Pennsylvania","42","3500 - 3999 grams","08",35457
,"Pennsylvania","42","4000 - 4499 grams","09",9288
,"Pennsylvania","42","4500 - 4999 grams","10",1261
,"Pennsylvania","42","5000 - 8165 grams","11",149
,"Pennsylvania","42","Unknown or Not Stated","12",188
,"Rhode Island","44","499 grams or less","01",Suppressed
,"Rhode Island","44","500 - 999 grams","02",49
,"Rhode Island","44","1000 - 1499 grams","03",71
,"Rhode Island","44","1500 - 1999 grams","04",146
,"Rhode Island","44","2000 - 2499 grams","05",555
,"Rhode Island","44","2500 - 2999 grams","06",1865
,"Rhode Island","44","3000 - 3499 grams","07",3947
,"Rhode Island","44","3500 - 3999 grams","08",2896
,"Rhode Island","44","4000 - 4499 grams","09",794
,"Rhode Island","44","4500 - 4999 grams","10",102
,"Rhode Island","44","5000 - 8165 grams","11",17
,"Rhode Island","44","Unknown or Not Stated","12",15
,"South Carolina","45","499 grams or less","01",111
,"South Carolina","45","500 - 999 grams","02",383
,"South Carolina","45","1000 - 1499 grams","03",538
,"South Carolina","45","1500 - 1999 grams","04",1120
,"South Carolina","45","2000 - 2499 grams","05",3571
,"South Carolina","45","2500 - 2999 grams","06",11450
,"South Carolina","45","3000 - 3499 grams","07",21919
,"South Carolina","45","3500 - 3999 grams","08",14163
,"South Carolina","45","4000 - 4499 grams","09",3386
,"South Carolina","45","4500 - 4999 grams","10",484
,"South Carolina","45","5000 - 8165 grams","11",44
,"South Carolina","45","Unknown or Not Stated","12",16
,"South Dakota","46","499 grams or less","01",11
,"South Dakota","46","500 - 999 grams","02",47
,"South Dakota","46","1000 - 1499 grams","03",51
,"South Dakota","46","1500 - 1999 grams","04",173
,"South Dakota","46","2000 - 2499 grams","05",528
,"South Dakota","46","2500 - 2999 grams","06",2038
,"South Dakota","46","3000 - 3499 grams","07",4321
,"South Dakota","46","3500 - 3999 grams","08",3243
,"South Dakota","46","4000 - 4499 grams","09",834
,"South Dakota","46","4500 - 4999 grams","10",100
,"South Dakota","46","5000 - 8165 grams","11",14
,"South Dakota","46","Unknown or Not Stated","12",Suppressed
,"Tennessee","47","499 grams or less","01",91
,"Tennessee","47","500 - 999 grams","02",476
,"Tennessee","47","1000 - 1499 grams","03",649
,"Tennessee","47","1500 - 1999 grams","04",1481
,"Tennessee","47","2000 - 2499 grams","05",4898
,"Tennessee","47","2500 - 2999 grams","06",15758
,"Tennessee","47","3000 - 3499 grams","07",31299
,"Tennessee","47","3500 - 3999 grams","08",21038
,"Tennessee","47","4000 - 4499 grams","09",5186
,"Tennessee","47","4500 - 4999 grams","10",735
,"Tennessee","47","5000 - 8165 grams","11",72
,"Tennessee","47","Unknown or Not Stated","12",34
,"Texas","48","499 grams or less","01",487
,"Texas","48","500 - 999 grams","02",1960
,"Texas","48","1000 - 1499 grams","03",2926
,"Texas","48","1500 - 1999 grams","04",6280
,"Texas","48","2000 - 2499 grams","05",20644
,"Texas","48","2500 - 2999 grams","06",75855
,"Texas","48","3000 - 3499 grams","07",149207
,"Texas","48","3500 - 3999 grams","08",92280
,"Texas","48","4000 - 4499 grams","09",20806
,"Texas","48","4500 - 4999 grams","10",2667
,"Texas","48","5000 - 8165 grams","11",325
,"Texas","48","Unknown or Not Stated","12",157
,"Utah","49","499 grams or less","01",51
,"Utah","49","500 - 999 grams","02",181
,"Utah","49","1000 - 1499 grams","03",294
,"Utah","49","1500 - 1999 grams","04",669
,"Utah","49","2000 - 2499 grams","05",2270
,"Utah","49","2500 - 2999 grams","06",9112
,"Utah","49","3000 - 3499 grams","07",18990
,"Utah","49","3500 - 3999 grams","08",12073
,"Utah","49","4000 - 4499 grams","09",2706
,"Utah","49","4500 - 4999 grams","10",333
,"Utah","49","5000 - 8165 grams","11",23
,"Utah","49","Unknown or Not Stated","12",10
,"Vermont","50","499 grams or less","01",Suppressed
,"Vermont","50","500 - 999 grams","02",14
,"Vermont","50","1000 - 1499 grams","03",34
,"Vermont","50","1500 - 1999 grams","04",69
,"Vermont","50","2000 - 2499 grams","05",259
,"Vermont","50","2500 - 2999 grams","06",822
,"Vermont","50","3000 - 3499 grams","07",1928
,"Vermont","50","3500 - 3999 grams","08",1639
,"Vermont","50","4000 - 4499 grams","09",509
,"Vermont","50","4500 - 4999 grams","10",95
,"Vermont","50","5000 - 8165 grams","11",Suppressed
,"Vermont","50","Unknown or Not Stated","12",Suppressed
,"Virginia","51","499 grams or less","01",136
,"Virginia","51","500 - 999 grams","02",518
,"Virginia","51","1000 - 1499 grams","03",748
,"Virginia","51","1500 - 1999 grams","04",1562
,"Virginia","51","2000 - 2499 grams","05",5015
,"Virginia","51","2500 - 2999 grams","06",17823
,"Virginia","51","3000 - 3499 grams","07",36207
,"Virginia","51","3500 - 3999 grams","08",25790
,"Virginia","51","4000 - 4499 grams","09",6897
,"Virginia","51","4500 - 4999 grams","10",999
,"Virginia","51","5000 - 8165 grams","11",81
,"Virginia","51","Unknown or Not Stated","12",49
,"Washington","53","499 grams or less","01",70
,"Washington","53","500 - 999 grams","02",320
,"Washington","53","1000 - 1499 grams","03",462
,"Washington","53","1500 - 1999 grams","04",1175
,"Washington","53","2000 - 2499 grams","05",3803
