"Notes","State of Residence","State of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Oklahoma","40","Not Hispanic or Latino","2186-5",39800
,"Oklahoma","40","Unknown or Not Stated","9",70
,"Oregon","41","Hispanic or Latino","2135-2",8510
,"Oregon","41","Not Hispanic or Latino","2186-5",28883
,"Oregon","41","Unknown or Not Stated","9",2100
,"Pennsylvania","42","Hispanic or Latino","2135-2",18118
,"Pennsylvania","42","Not Hispanic or Latino","2186-5",110609
,"Pennsylvania","42","Unknown or Not Stated","9",1525
,"Rhode Island","44","Hispanic or Latino","2135-2",2965
,"Rhode Island","44","Not Hispanic or Latino","2186-5",7244
,"Rhode Island","44","Unknown or Not Stated","9",60
,"South Carolina","45","Hispanic or Latino","2135-2",7073
,"South Carolina","45","Not Hispanic or Latino","2186-5",50604
,"South Carolina","45","Unknown or Not Stated","9",143
,"South Dakota","46","Hispanic or Latino","2135-2",726
,"South Dakota","46","Not Hispanic or Latino","2186-5",10460
,"South Dakota","46","Unknown or Not Stated","9",15
,"Tennessee","47","Hispanic or Latino","2135-2",11048
,"Tennessee","47","Not Hispanic or Latino","2186-5",71059
,"Tennessee","47","Unknown or Not Stated","9",158
,"Texas","48","Hispanic or Latino","2135-2",190889
,"Texas","48","Not Hispanic or Latino","2186-5",197301
,"Texas","48","Unknown or Not Stated","9",1551
,"Utah","49","Hispanic or Latino","2135-2",8920
,"Utah","49","Not Hispanic or Latino","2186-5",36354
,"Utah","49","Unknown or Not Stated","9",494
,"Vermont","50","Hispanic or Latino","2135-2",163
,"Vermont","50","Not Hispanic or Latino","2186-5",5128
,"Vermont","50","Unknown or Not Stated","9",25
,"Virginia","51","Hispanic or Latino","2135-2",15943
,"Virginia","51","Not Hispanic or Latino","2186-5",79268
,"Virginia","51","Unknown or Not Stated","9",419
,"Washington","53","Hispanic or Latino","2135-2",17190
,"Washington","53","Not Hispanic or Latino","2186-5",63080
,"Washington","53","Unknown or Not Stated","9",3063
,"West Virginia","54","Hispanic or Latino","2135-2",412
,"West Virginia","54","Not Hispanic or Latino","2186-5",16456
,"West Virginia","54","Unknown or Not Stated","9",61
,"Wisconsin","55","Hispanic or Latino","2135-2",6971
,"Wisconsin","55","Not Hispanic or Latino","2186-5",52701
,"Wisconsin","55","Unknown or Not Stated","9",377
,"Wyoming","56","Hispanic or Latino","2135-2",835
,"Wyoming","56","Not Hispanic or Latino","2186-5",5059
,"Wyoming","56","Unknown or Not Stated","9",155
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2022"
"Group By: State of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 5:45:08 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 5:45:08 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
