"Notes","State of Residence","State of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Ohio","39","Unknown or Not Stated","9",196
,"Oklahoma","40","Hispanic or Latino","2135-2",9335
,"Oklahoma","40","Not Hispanic or Latino","2186-5",38543
,"Oklahoma","40","Unknown or Not Stated","9",84
,"Oregon","41","Hispanic or Latino","2135-2",9370
,"Oregon","41","Not Hispanic or Latino","2186-5",28696
,"Oregon","41","Unknown or Not Stated","9",897
,"Pennsylvania","42","Hispanic or Latino","2135-2",19702
,"Pennsylvania","42","Not Hispanic or Latino","2186-5",106111
,"Pennsylvania","42","Unknown or Not Stated","9",1486
,"Rhode Island","44","Hispanic or Latino","2135-2",3088
,"Rhode Island","44","Not Hispanic or Latino","2186-5",6870
,"Rhode Island","44","Unknown or Not Stated","9",51
,"South Carolina","45","Hispanic or Latino","2135-2",8893
,"South Carolina","45","Not Hispanic or Latino","2186-5",49753
,"South Carolina","45","Unknown or Not Stated","9",122
,"South Dakota","46","Hispanic or Latino","2135-2",966
,"South Dakota","46","Not Hispanic or Latino","2186-5",10466
,"South Dakota","46","Unknown or Not Stated","9",19
,"Tennessee","47","Hispanic or Latino","2135-2",13501
,"Tennessee","47","Not Hispanic or Latino","2186-5",70212
,"Tennessee","47","Unknown or Not Stated","9",120
,"Texas","48","Hispanic or Latino","2135-2",195948
,"Texas","48","Not Hispanic or Latino","2186-5",193550
,"Texas","48","Unknown or Not Stated","9",1330
,"Utah","49","Hispanic or Latino","2135-2",10321
,"Utah","49","Not Hispanic or Latino","2186-5",35920
,"Utah","49","Unknown or Not Stated","9",423
,"Vermont","50","Hispanic or Latino","2135-2",203
,"Vermont","50","Not Hispanic or Latino","2186-5",4807
,"Vermont","50","Unknown or Not Stated","9",13
,"Virginia","51","Hispanic or Latino","2135-2",17296
,"Virginia","51","Not Hispanic or Latino","2186-5",76379
,"Virginia","51","Unknown or Not Stated","9",379
,"Washington","53","Hispanic or Latino","2135-2",18140
,"Washington","53","Not Hispanic or Latino","2186-5",61748
,"Washington","53","Unknown or Not Stated","9",3230
,"West Virginia","54","Hispanic or Latino","2135-2",577
,"West Virginia","54","Not Hispanic or Latino","2186-5",16404
,"West Virginia","54","Unknown or Not Stated","9",41
,"Wisconsin","55","Hispanic or Latino","2135-2",8243
,"Wisconsin","55","Not Hispanic or Latino","2186-5",50884
,"Wisconsin","55","Unknown or Not Stated","9",559
,"Wyoming","56","Hispanic or Latino","2135-2",929
,"Wyoming","56","Not Hispanic or Latino","2186-5",4990
,"Wyoming","56","Unknown or Not Stated","9",170
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2024"
"Group By: State of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 6:04:11 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 6:04:11 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
