"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"San Bernardino County, CA","06071","Under 15 years","15",Suppressed
,"San Bernardino County, CA","06071","15-19 years","15-19",855
,"San Bernardino County, CA","06071","20-24 years","20-24",4187
,"San Bernardino County, CA","06071","25-29 years","25-29",7135
,"San Bernardino County, CA","06071","30-34 years","30-34",7744
,"San Bernardino County, CA","06071","35-39 years","35-39",4238
,"San Bernardino County, CA","06071","40-44 years","40-44",1011
,"San Bernardino County, CA","06071","45-49 years","45-49",94
,"San Bernardino County, CA","06071","50 years and over","50+",15
,"San Diego County, CA","06073","Under 15 years","15",Suppressed
,"San Diego County, CA","06073","15-19 years","15-19",761
,"San Diego County, CA","06073","20-24 years","20-24",4659
,"San Diego County, CA","06073","25-29 years","25-29",8073
,"San Diego County, CA","06073","30-34 years","30-34",12262
,"San Diego County, CA","06073","35-39 years","35-39",7992
,"San Diego County, CA","06073","40-44 years","40-44",1959
,"San Diego County, CA","06073","45-49 years","45-49",174
,"San Diego County, CA","06073","50 years and over","50+",43
,"San Francisco County, CA","06075","Under 15 years","15",0
,"San Francisco County, CA","06075","15-19 years","15-19",93
,"San Francisco County, CA","06075","20-24 years","20-24",390
,"San Francisco County, CA","06075","25-29 years","25-29",768
,"San Francisco County, CA","06075","30-34 years","30-34",2424
,"San Francisco County, CA","06075","35-39 years","35-39",2532
,"San Francisco County, CA","06075","40-44 years","40-44",646
,"San Francisco County, CA","06075","45-49 years","45-49",65
,"San Francisco County, CA","06075","50 years and over","50+",12
,"San Joaquin County, CA","06077","Under 15 years","15",Suppressed
,"San Joaquin County, CA","06077","15-19 years","15-19",339
,"San Joaquin County, CA","06077","20-24 years","20-24",1620
,"San Joaquin County, CA","06077","25-29 years","25-29",2622
,"San Joaquin County, CA","06077","30-34 years","30-34",2969
,"San Joaquin County, CA","06077","35-39 years","35-39",1688
,"San Joaquin County, CA","06077","40-44 years","40-44",390
,"San Joaquin County, CA","06077","45-49 years","45-49",39
,"San Joaquin County, CA","06077","50 years and over","50+",Suppressed
,"San Luis Obispo County, CA","06079","Under 15 years","15",0
,"San Luis Obispo County, CA","06079","15-19 years","15-19",79
,"San Luis Obispo County, CA","06079","20-24 years","20-24",319
,"San Luis Obispo County, CA","06079","25-29 years","25-29",559
,"San Luis Obispo County, CA","06079","30-34 years","30-34",787
,"San Luis Obispo County, CA","06079","35-39 years","35-39",506
,"San Luis Obispo County, CA","06079","40-44 years","40-44",112
,"San Luis Obispo County, CA","06079","45-49 years","45-49",Suppressed
,"San Luis Obispo County, CA","06079","50 years and over","50+",0
,"San Mateo County, CA","06081","Under 15 years","15",Suppressed
,"San Mateo County, CA","06081","15-19 years","15-19",110
,"San Mateo County, CA","06081","20-24 years","20-24",491
,"San Mateo County, CA","06081","25-29 years","25-29",1077
,"San Mateo County, CA","06081","30-34 years","30-34",2673
,"San Mateo County, CA","06081","35-39 years","35-39",2337
,"San Mateo County, CA","06081","40-44 years","40-44",537
,"San Mateo County, CA","06081","45-49 years","45-49",58
,"San Mateo County, CA","06081","50 years and over","50+",Suppressed
,"Santa Barbara County, CA","06083","Under 15 years","15",Suppressed
,"Santa Barbara County, CA","06083","15-19 years","15-19",348
,"Santa Barbara County, CA","06083","20-24 years","20-24",948
,"Santa Barbara County, CA","06083","25-29 years","25-29",1330
,"Santa Barbara County, CA","06083","30-34 years","30-34",1500
,"Santa Barbara County, CA","06083","35-39 years","35-39",996
,"Santa Barbara County, CA","06083","40-44 years","40-44",234
,"Santa Barbara County, CA","06083","45-49 years","45-49",20
,"Santa Barbara County, CA","06083","50 years and over","50+",Suppressed
,"Santa Clara County, CA","06085","Under 15 years","15",10
,"Santa Clara County, CA","06085","15-19 years","15-19",287
,"Santa Clara County, CA","06085","20-24 years","20-24",1461
,"Santa Clara County, CA","06085","25-29 years","25-29",3364
,"Santa Clara County, CA","06085","30-34 years","30-34",7244
,"Santa Clara County, CA","06085","35-39 years","35-39",5055
,"Santa Clara County, CA","06085","40-44 years","40-44",1184
,"Santa Clara County, CA","06085","45-49 years","45-49",108
,"Santa Clara County, CA","06085","50 years and over","50+",16
,"Santa Cruz County, CA","06087","Under 15 years","15",Suppressed
,"Santa Cruz County, CA","06087","15-19 years","15-19",62
,"Santa Cruz County, CA","06087","20-24 years","20-24",212
,"Santa Cruz County, CA","06087","25-29 years","25-29",411
,"Santa Cruz County, CA","06087","30-34 years","30-34",693
,"Santa Cruz County, CA","06087","35-39 years","35-39",546
,"Santa Cruz County, CA","06087","40-44 years","40-44",140
,"Santa Cruz County, CA","06087","45-49 years","45-49",Suppressed
,"Santa Cruz County, CA","06087","50 years and over","50+",0
,"Shasta County, CA","06089","Under 15 years","15",Suppressed
,"Shasta County, CA","06089","15-19 years","15-19",67
,"Shasta County, CA","06089","20-24 years","20-24",339
,"Shasta County, CA","06089","25-29 years","25-29",479
,"Shasta County, CA","06089","30-34 years","30-34",493
,"Shasta County, CA","06089","35-39 years","35-39",267
,"Shasta County, CA","06089","40-44 years","40-44",73
,"Shasta County, CA","06089","45-49 years","45-49",Suppressed
,"Shasta County, CA","06089","50 years and over","50+",Suppressed
,"Solano County, CA","06095","Under 15 years","15",Suppressed
,"Solano County, CA","06095","15-19 years","15-19",121
,"Solano County, CA","06095","20-24 years","20-24",637
,"Solano County, CA","06095","25-29 years","25-29",1174
,"Solano County, CA","06095","30-34 years","30-34",1482
,"Solano County, CA","06095","35-39 years","35-39",934
,"Solano County, CA","06095","40-44 years","40-44",245
,"Solano County, CA","06095","45-49 years","45-49",15
,"Solano County, CA","06095","50 years and over","50+",Suppressed
,"Sonoma County, CA","06097","Under 15 years","15",Suppressed
,"Sonoma County, CA","06097","15-19 years","15-19",96
,"Sonoma County, CA","06097","20-24 years","20-24",520
,"Sonoma County, CA","06097","25-29 years","25-29",992
,"Sonoma County, CA","06097","30-34 years","30-34",1439
,"Sonoma County, CA","06097","35-39 years","35-39",1019
,"Sonoma County, CA","06097","40-44 years","40-44",282
,"Sonoma County, CA","06097","45-49 years","45-49",12
,"Sonoma County, CA","06097","50 years and over","50+",Suppressed
,"Stanislaus County, CA","06099","Under 15 years","15",Suppressed
,"Stanislaus County, CA","06099","15-19 years","15-19",257
,"Stanislaus County, CA","06099","20-24 years","20-24",1234
