"Notes","State of Residence","State of Residence Code","Tobacco Use","Tobacco Use Code",Births
,"Tennessee","47","Unknown or Not Stated","9",577
,"Texas","48","Yes","1",3251
,"Texas","48","No","2",386736
,"Texas","48","Unknown or Not Stated","9",841
,"Utah","49","Yes","1",533
,"Utah","49","No","2",45986
,"Utah","49","Unknown or Not Stated","9",145
,"Vermont","50","Yes","1",297
,"Vermont","50","No","2",4712
,"Vermont","50","Unknown or Not Stated","9",14
,"Virginia","51","Yes","1",1932
,"Virginia","51","No","2",92092
,"Virginia","51","Unknown or Not Stated","9",30
,"Washington","53","Yes","1",1608
,"Washington","53","No","2",79213
,"Washington","53","Unknown or Not Stated","9",2297
,"West Virginia","54","Yes","1",1785
,"West Virginia","54","No","2",15158
,"West Virginia","54","Unknown or Not Stated","9",79
,"Wisconsin","55","Yes","1",1957
,"Wisconsin","55","No","2",57439
,"Wisconsin","55","Unknown or Not Stated","9",290
,"Wyoming","56","Yes","1",329
,"Wyoming","56","No","2",5693
,"Wyoming","56","Unknown or Not Stated","9",67
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2024"
"Group By: State of Residence; Tobacco Use"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 16, 2026 2:51:49 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 16, 2026 2:51:49 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
