FIPS,State_Name,County_Name,Total_Population,Prison_Population,Percent_In_Prison,Prisons,Student_Population,Percent_Student,Universities,Military_Population,Percent_In_Military,Military_Bases,Native_American_Population,Percent_Native_American,Native_American_Reservations
30015,Montana,Chouteau County,5895,0,0.00%,,0,0.00%,,0,0.00%,,1409,23.90%,Rocky Boy's Reservation
30035,Montana,Glacier County,13778,0,0.00%,,0,0.00%,,0,0.00%,,9253,67.10%,Blackfeet Reservation
30041,Montana,Hill County,16309,0,0.00%,,0,0.00%,,0,0.00%,,3763,23.00%,Rocky Boy's Reservation
30047,Montana,Lake County,31134,0,0.00%,,0,0.00%,,0,0.00%,,6953,22.30%,Flathead Reservation
30077,Montana,Powell County,6946,1614,23.20%,Montana State Prison,0,0.00%,,0,0.00%,,0,0.00%,
30085,Montana,Roosevelt County,10794,0,0.00%,,0,0.00%,,0,0.00%,,6246,57.80%,Fort Peck Reservation
30087,Montana,Rosebud County,8329,0,0.00%,,0,0.00%,,0,0.00%,,2948,35.30%,Northern Cheyenne Reservation
30101,Montana,Toole County,4971,702,14.10%,Crossroads Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
31045,Nebraska,Dawes County,8199,0,0.00%,,636,7.70%,Chadron State College,0,0.00%,,0,0.00%,
31097,Nebraska,Johnson County,5290,1031,19.40%,Tecumseh State Correctional Institution,0,0.00%,,0,0.00%,,0,0.00%,
31127,Nebraska,Nemaha County,7074,0,0.00%,,404,5.70%,Peru State College,0,0.00%,,0,0.00%,
31159,Nebraska,Seward County,17609,0,0.00%,,1020,5.70%,Concordia University-Nebraska,0,0.00%,,0,0.00%,
31173,Nebraska,Thurston County,6773,0,0.00%,,0,0.00%,,0,0.00%,,3980,58.70%,Winnebago Reservation; Omaha Reservation
31179,Nebraska,Wayne County,9697,0,0.00%,,1141,11.70%,Wayne State College,0,0.00%,,0,0.00%,
32027,Nevada,Pershing County,6650,1708,25.60%,Lovelock Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
32033,Nevada,White Pine County,9080,1042,11.40%,Ely State Prison,0,0.00%,,0,0.00%,,0,0.00%,
33009,New Hampshire,Grafton County,91118,0,0.00%,,5920,6.40%,Dartmouth College; Plymouth State University,0,0.00%,,0,0.00%,
33017,New Hampshire,Strafford County,130889,0,0.00%,,6794,5.10%,University Of New Hampshire-Main Campus,0,0.00%,,0,0.00%,
35006,New Mexico,Cibola County,27172,0,0.00%,,0,0.00%,,0,0.00%,,12240,45.00%,Navajo Reservation (Canoncito); Navajo Reservation; Zuni Reservation; Acoma Pueblo; Laguna Pueblo; Navajo Reservation (Ramah); Acoma Pueblo - Red Lake Purchase
35019,New Mexico,Guadalupe County,4452,585,13.10%,Guadalupe County Correctional Facility,0,0.00%,,0,0.00%,,0,0.00%,
35031,New Mexico,McKinley County,72902,0,0.00%,,0,0.00%,,0,0.00%,,56941,78.10%,Navajo Reservation; Zuni Reservation; Navajo Reservation (Ramah)
35035,New Mexico,Otero County,67839,0,0.00%,,0,0.00%,,1565,2.30%,White Sands Missile Range; Holloman Air Force Base; Fort Bliss,0,0.00%,
35045,New Mexico,San Juan County,121661,0,0.00%,,0,0.00%,,0,0.00%,,50021,41.10%,Navajo Reservation; Ute Mountain Reservation; Southern Ute Reservation
35059,New Mexico,Union County,4079,409,10.00%,Northeast New Mexico Detention Facility,0,0.00%,,0,0.00%,,0,0.00%,
36003,New York,Allegany County,46456,0,0.00%,,3808,8.10%,Alfred University; Suny College Of Technology At Alfred,0,0.00%,,0,0.00%,
36023,New York,Cortland County,46809,0,0.00%,,2992,6.30%,Suny Cortland,0,0.00%,,0,0.00%,
36045,New York,Jefferson County,116721,0,0.00%,,0,0.00%,,4278,3.60%,Fort Drum,0,0.00%,
36051,New York,Livingston County,61834,0,0.00%,,2879,4.60%,Suny College At Geneseo,0,0.00%,,0,0.00%,
36053,New York,Madison County,68016,0,0.00%,,4316,6.30%,Suny Morrisville; Colgate University,0,0.00%,,0,0.00%,
36077,New York,Otsego County,58524,0,0.00%,,4578,7.80%,Hartwick College; Suny Oneonta,0,0.00%,,0,0.00%,
36089,New York,St. Lawrence County,108505,0,0.00%,,7386,6.80%,Suny College Of Technology At Canton; St Lawrence University; Suny College At Potsdam; Clarkson University,0,0.00%,,0,0.00%,
36109,New York,Tompkins County,105740,0,0.00%,,13084,12.30%,Ithaca College; Cornell University,0,0.00%,,0,0.00%,
37011,North Carolina,Avery County,17806,1810,10.10%,Mountain View Correctional Institution; Avery-Mitchell Correctional Institution,0,0.00%,,0,0.00%,,0,0.00%,
37049,North Carolina,Craven County,100720,0,0.00%,,0,0.00%,,1786,1.70%,Marine Corps Air Station Cherry Point,0,0.00%,
37051,North Carolina,Cumberland County,334728,0,0.00%,,0,0.00%,,10800,3.20%,Fort Liberty,0,0.00%,
37079,North Carolina,Greene County,20451,3129,15.20%,Maury Correctional Institution; Greene Correctional Institution; Eastern Correctional Institution,0,0.00%,,0,0.00%,,0,0.00%,
37091,North Carolina,Hertford County,21552,0,0.00%,,1048,4.80%,Chowan University,0,0.00%,,0,0.00%,
37095,North Carolina,Hyde County,4589,531,11.50%,Hyde Correctional Institution,0,0.00%,,0,0.00%,,0,0.00%,
37099,North Carolina,Jackson County,43109,0,0.00%,,4238,9.80%,Western Carolina University,0,0.00%,,0,0.00%,
37133,North Carolina,Onslow County,204576,0,0.00%,,0,0.00%,,23246,11.30%,Marine Corps Air Station New River; Marine Corps Base Camp Lejeune,0,0.00%,
37135,North Carolina,Orange County,148696,0,0.00%,,9993,6.70%,University Of North Carolina At Chapel Hill,0,0.00%,,0,0.00%,
37155,North Carolina,Robeson County,116530,0,0.00%,,0,0.00%,,0,0.00%,,44871,38.50%,
37173,North Carolina,Swain County,14117,0,0.00%,,0,0.00%,,0,0.00%,,4171,29.50%,Cherokee Reservation
37189,North Carolina,Watauga County,54086,0,0.00%,,6573,12.10%,Appalachian State University,0,0.00%,,0,0.00%,
38005,North Dakota,Benson County,5964,0,0.00%,,0,0.00%,,0,0.00%,,3216,53.90%,Spirit Lake Sioux Reservation
38061,North Dakota,Mountrail County,9809,0,0.00%,,0,0.00%,,0,0.00%,,2840,28.90%,Fort Berthold Reservation
38077,North Dakota,Richland County,16529,0,0.00%,,740,4.40%,,0,0.00%,,0,0.00%,
38079,North Dakota,Rolette County,12187,0,0.00%,,0,0.00%,,0,0.00%,,9278,76.10%,Turtle Mountain Reservation
38085,North Dakota,Sioux County,3898,0,0.00%,,0,0.00%,,0,0.00%,,3332,85.40%,Standing Rock Reservation
39009,Ohio,Athens County,62431,0,0.00%,,7432,11.90%,Ohio University-Main Campus,0,0.00%,,0,0.00%,
39065,Ohio,Hardin County,30696,0,0.00%,,1619,5.20%,Ohio Northern University,0,0.00%,,0,0.00%,
39097,Ohio,Madison County,43824,4563,10.40%,London Correctional Institution; Madison Correctional Institution,0,0.00%,,0,0.00%,,0,0.00%,
39121,Ohio,Noble County,14115,2478,17.50%,Noble Correctional Institution,0,0.00%,,0,0.00%,,0,0.00%,
40001,Oklahoma,Adair County,19495,0,0.00%,,0,0.00%,,0,0.00%,,8570,43.90%,
40003,Oklahoma,Alfalfa County,5699,1152,20.20%,James Crabtree Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
40005,Oklahoma,Atoka County,14143,1529,10.80%,Mack Alford Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
40009,Oklahoma,Beckham County,22410,2223,9.90%,North Fork Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
40015,Oklahoma,Caddo County,26945,3410,12.60%,Ci Great Plains,0,0.00%,,0,0.00%,,5773,21.40%,"Caddo Indian Tribe of Oklahoma; Kiowa Indian Tribe of Oklahoma; Delaware Nation, Oklahoma; Wichita and Affiliated Tribes (Wichita, Keechi, Waco & Tawak; Apache Tribe of Oklahoma; Fort Sill Apache"
40021,Oklahoma,Cherokee County,47078,0,0.00%,,0,0.00%,,0,0.00%,,16271,34.50%,Cherokee Nation of Oklahoma; United Keetoowah Band of Cherokee Indians of Oklahoma
40023,Oklahoma,Choctaw County,14204,0,0.00%,,0,0.00%,,0,0.00%,,2579,18.10%,
40029,Oklahoma,Coal County,5266,0,0.00%,,0,0.00%,,0,0.00%,,1035,19.60%,
40031,Oklahoma,Comanche County,121125,0,0.00%,,0,0.00%,,5174,4.20%,Fort Sill,0,0.00%,
40035,Oklahoma,Craig County,14107,0,0.00%,,0,0.00%,,0,0.00%,,2854,20.20%,
40041,Oklahoma,Delaware County,40397,0,0.00%,,0,0.00%,,0,0.00%,,8695,21.50%,
40055,Oklahoma,Greer County,5491,832,15.10%,Oklahoma State Reformatory,0,0.00%,,0,0.00%,,0,0.00%,
40061,Oklahoma,Haskell County,11561,0,0.00%,,0,0.00%,,0,0.00%,,2242,19.30%,
40063,Oklahoma,Hughes County,13367,1579,11.80%,Davis Correctional Facility,0,0.00%,,0,0.00%,,2587,19.30%,Kialegee Tribal Town of the Creek Indian Nation of Oklahoma
40077,Oklahoma,Latimer County,9444,0,0.00%,,0,0.00%,,0,0.00%,,2283,24.10%,
40097,Oklahoma,Mayes County,39046,0,0.00%,,0,0.00%,,0,0.00%,,8225,21.00%,
40101,Oklahoma,Muskogee County,66339,0,0.00%,,0,0.00%,,0,0.00%,,12086,18.20%,
40107,Oklahoma,Okfuskee County,11310,0,0.00%,,0,0.00%,,0,0.00%,,2588,22.80%,Thlopthlocco Tribal Town
40115,Oklahoma,Ottawa County,30285,0,0.00%,,0,0.00%,,0,0.00%,,5704,18.80%,"Quapaw Tribe of Oklahoma; Seneca-Cayuga Tribe of Oklahoma; Shawnee Tribe,Oklahoma; Miami Tribe of Oklahoma; Ottawa Indian Tribe of Oklahoma; Modoc Tribe of Oklahoma; Peoria Tribe Indians of Oklahoma; Wyandotte Nation"
40119,Oklahoma,Payne County,81646,0,0.00%,,7205,8.80%,Oklahoma State University-Main Campus,0,0.00%,,0,0.00%,
40123,Oklahoma,Pontotoc County,38065,0,0.00%,,0,0.00%,,0,0.00%,,7171,18.80%,"Chickasaw Nation, Oklahoma"
40133,Oklahoma,Seminole County,23556,0,0.00%,,0,0.00%,,0,0.00%,,4638,19.60%,Seminole Nation of Oklahoma
40135,Oklahoma,Sequoyah County,39281,0,0.00%,,0,0.00%,,0,0.00%,,9205,23.40%,
40151,Oklahoma,Woods County,8624,0,0.00%,,440,5.10%,Northwestern Oklahoma State University,0,0.00%,,0,0.00%,
41003,Oregon,Benton County,95184,0,0.00%,,5453,5.70%,Oregon State University,0,0.00%,,0,0.00%,
41045,Oregon,Malheur County,31571,2922,9.20%,Snake River Correctional Institution,0,0.00%,,0,0.00%,,0,0.00%,
42027,Pennsylvania,Centre County,158172,0,0.00%,,14269,9.00%,The Pennsylvania State University,0,0.00%,,0,0.00%,
42053,Pennsylvania,Forest County,6973,2653,38.00%,Abraxas I; Sci Forest,0,0.00%,,0,0.00%,,0,0.00%,
42063,Pennsylvania,Indiana County,83246,0,0.00%,,3746,4.40%,Indiana University Of Pennsylvania-Main Campus,0,0.00%,,0,0.00%,
42109,Pennsylvania,Snyder County,39736,0,0.00%,,2043,5.10%,Susquehanna University,0,0.00%,,0,0.00%,
42119,Pennsylvania,Union County,42681,0,0.00%,,3163,7.40%,Bucknell University,0,0.00%,,0,0.00%,
44001,Rhode Island,Bristol County,50793,0,0.00%,,2569,5.00%,,0,0.00%,,0,0.00%,
44009,Rhode Island,Washington County,129839,0,0.00%,,6054,4.60%,University Of Rhode Island,0,0.00%,,0,0.00%,
45005,South Carolina,Allendale County,8039,911,11.30%,Allendale Correctional Institution,0,0.00%,,0,0.00%,,0,0.00%,
45013,South Carolina,Beaufort County,187117,0,0.00%,,0,0.00%,,6359,3.30%,NAVSUPPFAC Beaufort SC; Marine Corps Air Station Beaufort; TBR Main; MCRD Parris Island,0,0.00%,
45065,South Carolina,McCormick County,9526,899,9.40%,Mccormick Correctional Institution,0,0.00%,,0,0.00%,,0,0.00%,
45069,South Carolina,Marlboro County,26667,2619,9.80%,Evans Correctional Institution; Fci Bennettsville,0,0.00%,,0,0.00%,,0,0.00%,
45077,South Carolina,Pickens County,131404,0,0.00%,,7847,5.90%,Clemson University; Southern Wesleyan University,0,0.00%,,0,0.00%,
45079,South Carolina,Richland County,416147,0,0.00%,,0,0.00%,,7444,1.70%,Fort Jackson; McEntire Joint National Guard Base,0,0.00%,
46007,South Dakota,Bennett County,3381,0,0.00%,,0,0.00%,,0,0.00%,,2093,61.90%,Pine Ridge Reservation
46009,South Dakota,Bon Homme County,7003,1234,17.60%,Mike Durfee State Prison,0,0.00%,,0,0.00%,,0,0.00%,
46011,South Dakota,Brookings County,34375,0,0.00%,,2884,8.30%,South Dakota State University,0,0.00%,,0,0.00%,
46017,South Dakota,Buffalo County,1948,0,0.00%,,0,0.00%,,0,0.00%,,1585,81.30%,Lower Brule Reservation; Crow Creek Reservation
46023,South Dakota,Charles Mix County,9373,0,0.00%,,0,0.00%,,0,0.00%,,3098,33.00%,Yankton Reservation
46027,South Dakota,Clay County,14967,0,0.00%,,2257,15.00%,University Of South Dakota,0,0.00%,,0,0.00%,
46031,South Dakota,Corson County,3902,0,0.00%,,0,0.00%,,0,0.00%,,2734,70.00%,Standing Rock Reservation
46041,South Dakota,Dewey County,5239,0,0.00%,,0,0.00%,,0,0.00%,,4136,78.90%,Standing Rock Reservation; Cheyenne River Reservation
46071,South Dakota,Jackson County,2806,0,0.00%,,0,0.00%,,0,0.00%,,1548,55.10%,Pine Ridge Reservation
46085,South Dakota,Lyman County,3718,0,0.00%,,0,0.00%,,0,0.00%,,1640,44.10%,Lower Brule Reservation; Crow Creek Reservation
46093,South Dakota,Meade County,29852,0,0.00%,,0,0.00%,,754,2.50%,Ellsworth AFB,0,0.00%,
46095,South Dakota,Mellette County,1918,0,0.00%,,0,0.00%,,0,0.00%,,1112,57.90%,Pine Ridge Reservation
46102,South Dakota,Oglala Lakota County,13672,0,0.00%,,0,0.00%,,0,0.00%,,12822,93.70%,Pine Ridge Reservation
46109,South Dakota,Roberts County,10280,0,0.00%,,0,0.00%,,0,0.00%,,4023,39.10%,Lake Traverse (Sisseton) Reservation
46121,South Dakota,Todd County,9319,0,0.00%,,0,0.00%,,0,0.00%,,8269,88.70%,Pine Ridge Reservation; Rosebud Reservation
46137,South Dakota,Ziebach County,2413,0,0.00%,,0,0.00%,,0,0.00%,,1925,79.70%,Standing Rock Reservation; Cheyenne River Reservation
47007,Tennessee,Bledsoe County,14913,2481,16.60%,,0,0.00%,,0,0.00%,,0,0.00%,
47023,Tennessee,Chester County,17341,0,0.00%,,1001,5.70%,Freed-Hardeman University,0,0.00%,,0,0.00%,
47069,Tennessee,Hardeman County,25462,3428,13.40%,Hardeman County Correctional Facility; Whiteville Correctional Facility,0,0.00%,,0,0.00%,,0,0.00%,
47091,Tennessee,Johnson County,17948,1679,9.30%,Northeast Correctional Complex-Main,0,0.00%,,0,0.00%,,0,0.00%,
47095,Tennessee,Lake County,7005,2062,29.40%,,0,0.00%,,0,0.00%,,0,0.00%,
47129,Tennessee,Morgan County,21035,2092,9.90%,Morgan County Correctional Complex; Brushy Mountain Correctional Complex,0,0.00%,,0,0.00%,,0,0.00%,
47169,Tennessee,Trousdale County,11615,2505,21.50%,Trousdale Turner Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
47181,Tennessee,Wayne County,16232,2038,12.50%,South Central Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
47183,Tennessee,Weakley County,32902,0,0.00%,,1687,5.10%,The University Of Tennessee-Martin,0,0.00%,,0,0.00%,
48001,Texas,Anderson County,57922,13344,23.00%,Anderson County Jail; Beto Prison; Gurney Transfer Facility,0,0.00%,,0,0.00%,,0,0.00%,
48025,Texas,Bee County,31047,7242,23.30%,Garza East Transfer Facility; Garza West Transfer Facility; Mcconnell Prison,0,0.00%,,0,0.00%,,0,0.00%,
48041,Texas,Brazos County,233849,0,0.00%,,17502,7.40%,Texas A & M University-College Station,0,0.00%,,0,0.00%,
48043,Texas,Brewster County,9546,0,0.00%,,450,4.70%,Sul Ross State University,0,0.00%,,0,0.00%,
48075,Texas,Childress County,6664,1192,17.80%,Roach Unit,0,0.00%,,0,0.00%,,0,0.00%,
48095,Texas,Concho County,3303,1012,30.60%,Ci Eden,0,0.00%,,0,0.00%,,0,0.00%,
48099,Texas,Coryell County,83093,7590,9.10%,Hilltop Unit; Woodman State Jail; Hughes Prison; Mountain View Prison; Murray Prison,0,0.00%,,4676,5.60%,Fort Cavazos,0,0.00%,
48115,Texas,Dawson County,12456,1523,12.20%,Smith Prison,0,0.00%,,0,0.00%,,0,0.00%,
48129,Texas,Donley County,3258,0,0.00%,,180,5.50%,,0,0.00%,,0,0.00%,
48143,Texas,Erath County,42545,0,0.00%,,3186,7.40%,Tarleton State University,0,0.00%,,0,0.00%,
48145,Texas,Falls County,16968,1959,11.50%,Hobby Prison; Marlin Unit,0,0.00%,,0,0.00%,,0,0.00%,
48163,Texas,Frio County,18385,2824,15.30%,South Texas Family Residential Center; South Texas Ice Processing Center; Briscoe Prison; Frio County Detention Center,0,0.00%,,0,0.00%,,0,0.00%,
48169,Texas,Garza County,5816,1731,29.70%,Ci Giles W Dalby,0,0.00%,,0,0.00%,,0,0.00%,
48205,Texas,Hartley County,5382,771,14.30%,Dalhart Prison,0,0.00%,,0,0.00%,,0,0.00%,
48225,Texas,Houston County,22066,2499,11.30%,Houston County Jail,0,0.00%,,0,0.00%,,0,0.00%,
48227,Texas,Howard County,34860,4490,12.80%,Fci Big Spring,0,0.00%,,0,0.00%,,0,0.00%,
48229,Texas,Hudspeth County,3202,996,31.10%,West Texas Detention Facility,0,0.00%,,0,0.00%,,0,0.00%,
48237,Texas,Jack County,8472,1042,12.20%,Lindsey State Jail,0,0.00%,,0,0.00%,,0,0.00%,
48253,Texas,Jones County,19663,5073,25.70%,Middleton Transfer Facility; Robertson Prison,0,0.00%,,0,0.00%,,0,0.00%,
48255,Texas,Karnes County,14710,2929,19.90%,Karnes County Residential Center; Karnes County Correctional Center; Connally Prison,0,0.00%,,0,0.00%,,0,0.00%,
48271,Texas,Kinney County,3129,389,12.40%,Kinney County Detention Center,0,0.00%,,0,0.00%,,0,0.00%,
48283,Texas,La Salle County,6664,1338,20.00%,Cotulla Transfer Facility,0,0.00%,,0,0.00%,,0,0.00%,
48297,Texas,Live Oak County,11335,1350,11.90%,Fci Three Rivers; Fci Three Rivers Camp,0,0.00%,,0,0.00%,,0,0.00%,
48313,Texas,Madison County,13455,2306,17.10%,,0,0.00%,,0,0.00%,,0,0.00%,
48335,Texas,Mitchell County,8990,2113,23.50%,Ware Transfer Facility; Wallace Unit,0,0.00%,,0,0.00%,,0,0.00%,
48347,Texas,Nacogdoches County,64653,0,0.00%,,3619,5.50%,Stephen F Austin State University,0,0.00%,,0,0.00%,
48371,Texas,Pecos County,15193,1734,11.40%,Fort Stockton Transfer Facility; Lynaugh Prison,0,0.00%,,0,0.00%,,0,0.00%,
48389,Texas,Reeves County,14748,2981,20.20%,Ci Reeves County I & Ii; Ci Reeves County Iii,0,0.00%,,0,0.00%,,0,0.00%,
48411,Texas,San Saba County,5730,568,9.90%,San Saba Transfer Facility,0,0.00%,,0,0.00%,,0,0.00%,
48457,Texas,Tyler County,19798,1892,9.50%,Lewis Prison,0,0.00%,,0,0.00%,,0,0.00%,
48471,Texas,Walker County,76400,14881,19.40%,Walker County Jail; Byrd Diagnostic Intake Facility; Holliday Transfer Facility; Huntsville Prison,3639,4.70%,Sam Houston State University,0,0.00%,,0,0.00%,
48473,Texas,Waller County,56794,0,0.00%,,5814,10.20%,Prairie View A & M University,0,0.00%,,0,0.00%,
48485,Texas,Wichita County,129350,0,0.00%,,0,0.00%,,4200,3.20%,Sheppard AFB,0,0.00%,
48489,Texas,Willacy County,20164,2457,12.10%,Willacy County State Jail; Willacy County Regional Detention Facility; Willacy County Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
49037,Utah,San Juan County,14518,0,0.00%,,0,0.00%,,0,0.00%,,7278,50.10%,Ute Mountain Reservation; Navajo Reservation
50001,Vermont,Addison County,37363,0,0.00%,,2595,6.90%,Middlebury College,0,0.00%,,0,0.00%,
50007,Vermont,Chittenden County,168323,0,0.00%,,8115,4.80%,Champlain College; University Of Vermont; Saint Michael'S College,0,0.00%,,0,0.00%,
51003,Virginia,Albemarle County,112395,0,0.00%,,5709,5.00%,,0,0.00%,,0,0.00%,
51021,Virginia,Bland County,6270,623,9.90%,Bland Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
51025,Virginia,Brunswick County,15849,1935,12.20%,Brunswick Work Center; Meherrin River Regional Jail; Lawrenceville Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
51029,Virginia,Buckingham County,16824,2036,12.10%,Buckingham Correctional Center; Dillwyn Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
51081,Virginia,Greensville County,11391,3273,28.70%,,0,0.00%,,0,0.00%,,0,0.00%,
51121,Virginia,Montgomery County,99721,0,0.00%,,10247,10.20%,Virginia Polytechnic Institute And State University,0,0.00%,,0,0.00%,
51135,Virginia,Nottoway County,15642,1579,10.00%,Nottoway Work Center; Nottoway Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
51147,Virginia,Prince Edward County,21849,0,0.00%,,2997,13.70%,Longwood University,0,0.00%,,0,0.00%,
51149,Virginia,Prince George County,43010,3914,9.10%,Fci Petersburg Medium; Riverside Regional Jail; Fci Petersburg Low Camp; Fci Petersburg Low,0,0.00%,,5335,12.40%,Fort Gregg-Adams,0,0.00%,
51159,Virginia,Richmond County,8923,1398,15.60%,Northern Neck Regional Jail; Haynesville Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
51183,Virginia,Sussex County,10829,2035,18.70%,Sussex I State Prison,0,0.00%,,0,0.00%,,0,0.00%,
51530,Virginia,Buena Vista city,6641,0,0.00%,,446,6.70%,Southern Virginia University,0,0.00%,,0,0.00%,
51540,Virginia,Charlottesville city,46553,0,0.00%,,2067,4.40%,University Of Virginia-Main Campus,0,0.00%,,0,0.00%,
51630,Virginia,Fredericksburg city,27982,0,0.00%,,2155,7.70%,University Of Mary Washington,0,0.00%,,0,0.00%,
51660,Virginia,Harrisonburg city,51814,0,0.00%,,6547,12.60%,James Madison University,0,0.00%,,0,0.00%,
51678,Virginia,Lexington city,7320,0,0.00%,,2610,35.60%,Virginia Military Institute; Washington And Lee University,0,0.00%,,0,0.00%,
51680,Virginia,Lynchburg city,79009,0,0.00%,,9002,11.30%,University Of Lynchburg; Liberty University,0,0.00%,,0,0.00%,
51700,Virginia,Newport News city,186247,0,0.00%,,0,0.00%,,3294,1.70%,Naval Weapons Station Yorktown; Joint Base Langley-Eustis,0,0.00%,
51710,Virginia,Norfolk city,238005,0,0.00%,,0,0.00%,,13015,5.40%,NAVSUPPACT Hampton Roads VA; Naval Station Norfolk; Lafayette Rvr Complex,0,0.00%,
51750,Virginia,Radford city,16070,0,0.00%,,3315,20.60%,Radford University,0,0.00%,,0,0.00%,
51775,Virginia,Salem city,25346,0,0.00%,,1416,5.50%,Roanoke College,0,0.00%,,0,0.00%,
51830,Virginia,Williamsburg city,15425,0,0.00%,,4755,30.80%,William & Mary,0,0.00%,,0,0.00%,
53019,Washington,Ferry County,7178,0,0.00%,,0,0.00%,,0,0.00%,,1309,18.20%,Colville Reservation; Spokane Reservation
53029,Washington,Island County,86857,0,0.00%,,0,0.00%,,1410,1.60%,Sea Plane Base; OLF Coupeville; Naval Air Station Whidbey Island,0,0.00%,
53035,Washington,Kitsap County,275611,0,0.00%,,0,0.00%,,5602,2.00%,Manchester; Naval Base Kitsap Bangor; NG Bremerton; Shipyard Puget Sound; Naval Base Kitsap Bremerton WA; Naval Base Kitsap - Keyport,0,0.00%,
53075,Washington,Whitman County,47973,0,0.00%,,6130,12.70%,Washington State University,0,0.00%,,0,0.00%,
54017,West Virginia,Doddridge County,7808,1127,14.40%,North Central Regional Jail,0,0.00%,,0,0.00%,,0,0.00%,
54021,West Virginia,Gilmer County,7408,1440,19.40%,Fci Gilmer,0,0.00%,,0,0.00%,,0,0.00%,
54047,West Virginia,McDowell County,19111,1881,9.80%,Mcdowell County Corrections - Stevens Facility; Fci Mcdowell,0,0.00%,,0,0.00%,,0,0.00%,
54061,West Virginia,Monongalia County,105822,0,0.00%,,6808,6.40%,West Virginia University,0,0.00%,,0,0.00%,
54077,West Virginia,Preston County,34216,3158,9.20%,Fci Hazelton; Usp Hazelton Camp; Usp Hazelton; Fci Hazelton Sff,0,0.00%,,0,0.00%,,0,0.00%,
55033,Wisconsin,Dunn County,45440,0,0.00%,,2781,6.10%,University Of Wisconsin-Stout,0,0.00%,,0,0.00%,
55043,Wisconsin,Grant County,51938,0,0.00%,,2858,5.50%,University Of Wisconsin-Platteville,0,0.00%,,0,0.00%,
55078,Wisconsin,Menominee County,4255,0,0.00%,,0,0.00%,,0,0.00%,,3643,85.60%,Menominee Reservation; Stockbridge Munsee Reservation
55093,Wisconsin,Pierce County,42212,0,0.00%,,2377,5.60%,University Of Wisconsin-River Falls,0,0.00%,,0,0.00%,
56001,Wyoming,Albany County,37066,0,0.00%,,2309,6.20%,University Of Wyoming,0,0.00%,,0,0.00%,
56013,Wyoming,Fremont County,39234,0,0.00%,,0,0.00%,,0,0.00%,,8190,20.80%,Wind River Reservation
56027,Wyoming,Niobrara County,2467,277,11.20%,Wyoming Women'S Center,0,0.00%,,0,0.00%,,0,0.00%,
