"Notes","State of Residence","State of Residence Code","Plurality","Plurality Code",Births
,"Mississippi","28","Twin","2",1319
,"Mississippi","28","Triplet or higher","3",27
,"Missouri","29","Single","1",69611
,"Missouri","29","Twin","2",2474
,"Missouri","29","Triplet or higher","3",42
,"Montana","30","Single","1",10751
,"Montana","30","Twin","2",322
,"Montana","30","Triplet or higher","3",Suppressed
,"Nebraska","31","Single","1",23829
,"Nebraska","31","Twin","2",897
,"Nebraska","31","Triplet or higher","3",29
,"Nevada","32","Single","1",34003
,"Nevada","32","Twin","2",1045
,"Nevada","32","Triplet or higher","3",24
,"New Hampshire","33","Single","1",11472
,"New Hampshire","33","Twin","2",361
,"New Hampshire","33","Triplet or higher","3",Suppressed
,"New Jersey","34","Single","1",96267
,"New Jersey","34","Twin","2",3201
,"New Jersey","34","Triplet or higher","3",117
,"New Mexico","35","Single","1",22313
,"New Mexico","35","Twin","2",631
,"New Mexico","35","Triplet or higher","3",16
,"New York","36","Single","1",214164
,"New York","36","Twin","2",7196
,"New York","36","Triplet or higher","3",179
,"North Carolina","37","Single","1",114884
,"North Carolina","37","Twin","2",3752
,"North Carolina","37","Triplet or higher","3",89
,"North Dakota","38","Single","1",10068
,"North Dakota","38","Twin","2",367
,"North Dakota","38","Triplet or higher","3",19
,"Ohio","39","Single","1",129738
,"Ohio","39","Twin","2",4538
,"Ohio","39","Triplet or higher","3",185
,"Oklahoma","40","Single","1",47600
,"Oklahoma","40","Twin","2",1507
,"Oklahoma","40","Triplet or higher","3",36
,"Oregon","41","Single","1",40442
,"Oregon","41","Twin","2",1372
,"Oregon","41","Triplet or higher","3",44
,"Pennsylvania","42","Single","1",129745
,"Pennsylvania","42","Twin","2",4363
,"Pennsylvania","42","Triplet or higher","3",122
,"Rhode Island","44","Single","1",9848
,"Rhode Island","44","Twin","2",327
,"Rhode Island","44","Triplet or higher","3",0
,"South Carolina","45","Single","1",55090
,"South Carolina","45","Twin","2",1892
,"South Carolina","45","Triplet or higher","3",56
,"South Dakota","46","Single","1",11013
,"South Dakota","46","Twin","2",432
,"South Dakota","46","Triplet or higher","3",Suppressed
,"Tennessee","47","Single","1",77805
,"Tennessee","47","Twin","2",2581
,"Tennessee","47","Triplet or higher","3",64
,"Texas","48","Single","1",365763
,"Texas","48","Twin","2",11495
,"Texas","48","Triplet or higher","3",341
,"Utah","49","Single","1",45159
,"Utah","49","Twin","2",1604
,"Utah","49","Triplet or higher","3",63
,"Vermont","50","Single","1",5160
,"Vermont","50","Twin","2",195
,"Vermont","50","Triplet or higher","3",Suppressed
,"Virginia","51","Single","1",94002
,"Virginia","51","Twin","2",3357
,"Virginia","51","Triplet or higher","3",70
,"Washington","53","Single","1",82418
,"Washington","53","Twin","2",2424
,"Washington","53","Triplet or higher","3",53
,"West Virginia","54","Single","1",17503
,"West Virginia","54","Twin","2",612
,"West Virginia","54","Triplet or higher","3",21
,"Wisconsin","55","Single","1",61151
,"Wisconsin","55","Twin","2",2059
,"Wisconsin","55","Triplet or higher","3",60
,"Wyoming","56","Single","1",6339
,"Wyoming","56","Twin","2",208
,"Wyoming","56","Triplet or higher","3",18
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2019"
"Group By: State of Residence; Plurality"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 9:03:28 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 9:03:28 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
