"Notes","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code",Births
,"Kentucky","21","Unknown or Not Stated","9",37
,"Louisiana","22","Vaginal","1",37334
,"Louisiana","22","Cesarean","2",21606
,"Louisiana","22","Unknown or Not Stated","9",Suppressed
,"Maine","23","Vaginal","1",8215
,"Maine","23","Cesarean","2",3562
,"Maine","23","Unknown or Not Stated","9",Suppressed
,"Maryland","24","Vaginal","1",47041
,"Maryland","24","Cesarean","2",23124
,"Maryland","24","Unknown or Not Stated","9",13
,"Massachusetts","25","Vaginal","1",47306
,"Massachusetts","25","Cesarean","2",21657
,"Massachusetts","25","Unknown or Not Stated","9",154
,"Michigan","26","Vaginal","1",73345
,"Michigan","26","Cesarean","2",34512
,"Michigan","26","Unknown or Not Stated","9",29
,"Minnesota","27","Vaginal","1",47734
,"Minnesota","27","Cesarean","2",18223
,"Minnesota","27","Unknown or Not Stated","9",70
,"Mississippi","28","Vaginal","1",22539
,"Mississippi","28","Cesarean","2",14094
,"Mississippi","28","Unknown or Not Stated","9",Suppressed
,"Missouri","29","Vaginal","1",50370
,"Missouri","29","Cesarean","2",21646
,"Missouri","29","Unknown or Not Stated","9",111
,"Montana","30","Vaginal","1",7924
,"Montana","30","Cesarean","2",3150
,"Montana","30","Unknown or Not Stated","9",Suppressed
,"Nebraska","31","Vaginal","1",17558
,"Nebraska","31","Cesarean","2",7197
,"Nebraska","31","Unknown or Not Stated","9",0
,"Nevada","32","Vaginal","1",23585
,"Nevada","32","Cesarean","2",11487
,"Nevada","32","Unknown or Not Stated","9",0
,"New Hampshire","33","Vaginal","1",8097
,"New Hampshire","33","Cesarean","2",3740
,"New Hampshire","33","Unknown or Not Stated","9",Suppressed
,"New Jersey","34","Vaginal","1",65629
,"New Jersey","34","Cesarean","2",33554
,"New Jersey","34","Unknown or Not Stated","9",402
,"New Mexico","35","Vaginal","1",16890
,"New Mexico","35","Cesarean","2",6068
,"New Mexico","35","Unknown or Not Stated","9",Suppressed
,"New York","36","Vaginal","1",147692
,"New York","36","Cesarean","2",73485
,"New York","36","Unknown or Not Stated","9",362
,"North Carolina","37","Vaginal","1",84203
,"North Carolina","37","Cesarean","2",34483
,"North Carolina","37","Unknown or Not Stated","9",39
,"North Dakota","38","Vaginal","1",7679
,"North Dakota","38","Cesarean","2",2775
,"North Dakota","38","Unknown or Not Stated","9",0
,"Ohio","39","Vaginal","1",92765
,"Ohio","39","Cesarean","2",41636
,"Ohio","39","Unknown or Not Stated","9",60
,"Oklahoma","40","Vaginal","1",33359
,"Oklahoma","40","Cesarean","2",15781
,"Oklahoma","40","Unknown or Not Stated","9",Suppressed
,"Oregon","41","Vaginal","1",30152
,"Oregon","41","Cesarean","2",11704
,"Oregon","41","Unknown or Not Stated","9",Suppressed
,"Pennsylvania","42","Vaginal","1",93677
,"Pennsylvania","42","Cesarean","2",40530
,"Pennsylvania","42","Unknown or Not Stated","9",23
,"Rhode Island","44","Vaginal","1",6917
,"Rhode Island","44","Cesarean","2",3252
,"Rhode Island","44","Unknown or Not Stated","9",Suppressed
,"South Carolina","45","Vaginal","1",38070
,"South Carolina","45","Cesarean","2",18955
,"South Carolina","45","Unknown or Not Stated","9",13
,"South Dakota","46","Vaginal","1",8648
,"South Dakota","46","Cesarean","2",2801
,"South Dakota","46","Unknown or Not Stated","9",0
,"Tennessee","47","Vaginal","1",54847
,"Tennessee","47","Cesarean","2",25580
,"Tennessee","47","Unknown or Not Stated","9",23
,"Texas","48","Vaginal","1",246089
,"Texas","48","Cesarean","2",131190
,"Texas","48","Unknown or Not Stated","9",320
,"Utah","49","Vaginal","1",36027
,"Utah","49","Cesarean","2",10799
,"Utah","49","Unknown or Not Stated","9",0
,"Vermont","50","Vaginal","1",3979
,"Vermont","50","Cesarean","2",1380
,"Vermont","50","Unknown or Not Stated","9",Suppressed
,"Virginia","51","Vaginal","1",66302
,"Virginia","51","Cesarean","2",31121
,"Virginia","51","Unknown or Not Stated","9",Suppressed
,"Washington","53","Vaginal","1",61147
,"Washington","53","Cesarean","2",23579
,"Washington","53","Unknown or Not Stated","9",169
,"West Virginia","54","Vaginal","1",11865
,"West Virginia","54","Cesarean","2",6268
,"West Virginia","54","Unknown or Not Stated","9",Suppressed
,"Wisconsin","55","Vaginal","1",46333
,"Wisconsin","55","Cesarean","2",16895
,"Wisconsin","55","Unknown or Not Stated","9",42
,"Wyoming","56","Vaginal","1",4837
,"Wyoming","56","Cesarean","2",1728
,"Wyoming","56","Unknown or Not Stated","9",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2019"
"Group By: State of Residence; Delivery Method"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 9:02:01 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 9:02:01 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
