"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Jefferson County, TX","48245","Not Reported","NR",0
,"Johnson County, TX","48251","American Indian or Alaska Native","1002-5",10
,"Johnson County, TX","48251","Asian","A",23
,"Johnson County, TX","48251","Black or African American","2054-5",68
,"Johnson County, TX","48251","Native Hawaiian or Other Pacific Islander","NHOPI",34
,"Johnson County, TX","48251","White","2106-3",2006
,"Johnson County, TX","48251","More than one race","M",35
,"Johnson County, TX","48251","Unknown or Not Stated","UNK",0
,"Johnson County, TX","48251","Not Available","NA",0
,"Johnson County, TX","48251","Not Reported","NR",0
,"Kaufman County, TX","48257","American Indian or Alaska Native","1002-5",Suppressed
,"Kaufman County, TX","48257","Asian","A",23
,"Kaufman County, TX","48257","Black or African American","2054-5",314
,"Kaufman County, TX","48257","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Kaufman County, TX","48257","White","2106-3",1454
,"Kaufman County, TX","48257","More than one race","M",24
,"Kaufman County, TX","48257","Unknown or Not Stated","UNK",0
,"Kaufman County, TX","48257","Not Available","NA",0
,"Kaufman County, TX","48257","Not Reported","NR",0
,"Lubbock County, TX","48303","American Indian or Alaska Native","1002-5",12
,"Lubbock County, TX","48303","Asian","A",122
,"Lubbock County, TX","48303","Black or African American","2054-5",392
,"Lubbock County, TX","48303","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Lubbock County, TX","48303","White","2106-3",3525
,"Lubbock County, TX","48303","More than one race","M",47
,"Lubbock County, TX","48303","Unknown or Not Stated","UNK",0
,"Lubbock County, TX","48303","Not Available","NA",0
,"Lubbock County, TX","48303","Not Reported","NR",0
,"McLennan County, TX","48309","American Indian or Alaska Native","1002-5",18
,"McLennan County, TX","48309","Asian","A",51
,"McLennan County, TX","48309","Black or African American","2054-5",595
,"McLennan County, TX","48309","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"McLennan County, TX","48309","White","2106-3",2555
,"McLennan County, TX","48309","More than one race","M",78
,"McLennan County, TX","48309","Unknown or Not Stated","UNK",0
,"McLennan County, TX","48309","Not Available","NA",0
,"McLennan County, TX","48309","Not Reported","NR",0
,"Midland County, TX","48329","American Indian or Alaska Native","1002-5",Suppressed
,"Midland County, TX","48329","Asian","A",74
,"Midland County, TX","48329","Black or African American","2054-5",190
,"Midland County, TX","48329","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Midland County, TX","48329","White","2106-3",2676
,"Midland County, TX","48329","More than one race","M",31
,"Midland County, TX","48329","Unknown or Not Stated","UNK",0
,"Midland County, TX","48329","Not Available","NA",0
,"Midland County, TX","48329","Not Reported","NR",0
,"Montgomery County, TX","48339","American Indian or Alaska Native","1002-5",24
,"Montgomery County, TX","48339","Asian","A",306
,"Montgomery County, TX","48339","Black or African American","2054-5",490
,"Montgomery County, TX","48339","Native Hawaiian or Other Pacific Islander","NHOPI",12
,"Montgomery County, TX","48339","White","2106-3",6467
,"Montgomery County, TX","48339","More than one race","M",96
,"Montgomery County, TX","48339","Unknown or Not Stated","UNK",0
,"Montgomery County, TX","48339","Not Available","NA",0
,"Montgomery County, TX","48339","Not Reported","NR",0
,"Nueces County, TX","48355","American Indian or Alaska Native","1002-5",Suppressed
,"Nueces County, TX","48355","Asian","A",90
,"Nueces County, TX","48355","Black or African American","2054-5",146
,"Nueces County, TX","48355","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Nueces County, TX","48355","White","2106-3",4157
,"Nueces County, TX","48355","More than one race","M",57
,"Nueces County, TX","48355","Unknown or Not Stated","UNK",0
,"Nueces County, TX","48355","Not Available","NA",0
,"Nueces County, TX","48355","Not Reported","NR",0
,"Parker County, TX","48367","American Indian or Alaska Native","1002-5",Suppressed
,"Parker County, TX","48367","Asian","A",11
,"Parker County, TX","48367","Black or African American","2054-5",17
,"Parker County, TX","48367","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Parker County, TX","48367","White","2106-3",1553
,"Parker County, TX","48367","More than one race","M",21
,"Parker County, TX","48367","Unknown or Not Stated","UNK",0
,"Parker County, TX","48367","Not Available","NA",0
,"Parker County, TX","48367","Not Reported","NR",0
,"Potter County, TX","48375","American Indian or Alaska Native","1002-5",Suppressed
,"Potter County, TX","48375","Asian","A",86
,"Potter County, TX","48375","Black or African American","2054-5",214
,"Potter County, TX","48375","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Potter County, TX","48375","White","2106-3",1302
,"Potter County, TX","48375","More than one race","M",40
,"Potter County, TX","48375","Unknown or Not Stated","UNK",0
,"Potter County, TX","48375","Not Available","NA",0
,"Potter County, TX","48375","Not Reported","NR",0
,"Randall County, TX","48381","American Indian or Alaska Native","1002-5",11
,"Randall County, TX","48381","Asian","A",56
,"Randall County, TX","48381","Black or African American","2054-5",68
,"Randall County, TX","48381","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Randall County, TX","48381","White","2106-3",1409
,"Randall County, TX","48381","More than one race","M",39
,"Randall County, TX","48381","Unknown or Not Stated","UNK",0
,"Randall County, TX","48381","Not Available","NA",0
,"Randall County, TX","48381","Not Reported","NR",0
,"Smith County, TX","48423","American Indian or Alaska Native","1002-5",12
,"Smith County, TX","48423","Asian","A",62
,"Smith County, TX","48423","Black or African American","2054-5",534
,"Smith County, TX","48423","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Smith County, TX","48423","White","2106-3",2242
,"Smith County, TX","48423","More than one race","M",59
,"Smith County, TX","48423","Unknown or Not Stated","UNK",0
,"Smith County, TX","48423","Not Available","NA",0
,"Smith County, TX","48423","Not Reported","NR",0
,"Tarrant County, TX","48439","American Indian or Alaska Native","1002-5",67
,"Tarrant County, TX","48439","Asian","A",1503
,"Tarrant County, TX","48439","Black or African American","2054-5",5535
,"Tarrant County, TX","48439","Native Hawaiian or Other Pacific Islander","NHOPI",97
,"Tarrant County, TX","48439","White","2106-3",19429
,"Tarrant County, TX","48439","More than one race","M",530
,"Tarrant County, TX","48439","Unknown or Not Stated","UNK",0
,"Tarrant County, TX","48439","Not Available","NA",0
,"Tarrant County, TX","48439","Not Reported","NR",0
,"Taylor County, TX","48441","American Indian or Alaska Native","1002-5",Suppressed
,"Taylor County, TX","48441","Asian","A",47
,"Taylor County, TX","48441","Black or African American","2054-5",196
,"Taylor County, TX","48441","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Taylor County, TX","48441","White","2106-3",1681
,"Taylor County, TX","48441","More than one race","M",23
,"Taylor County, TX","48441","Unknown or Not Stated","UNK",0
,"Taylor County, TX","48441","Not Available","NA",0
,"Taylor County, TX","48441","Not Reported","NR",0
,"Tom Green County, TX","48451","American Indian or Alaska Native","1002-5",Suppressed
,"Tom Green County, TX","48451","Asian","A",22
,"Tom Green County, TX","48451","Black or African American","2054-5",66
,"Tom Green County, TX","48451","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Tom Green County, TX","48451","White","2106-3",1443
,"Tom Green County, TX","48451","More than one race","M",20
,"Tom Green County, TX","48451","Unknown or Not Stated","UNK",0
,"Tom Green County, TX","48451","Not Available","NA",0
,"Tom Green County, TX","48451","Not Reported","NR",0
,"Travis County, TX","48453","American Indian or Alaska Native","1002-5",38
,"Travis County, TX","48453","Asian","A",1296
,"Travis County, TX","48453","Black or African American","2054-5",1448
,"Travis County, TX","48453","Native Hawaiian or Other Pacific Islander","NHOPI",15
,"Travis County, TX","48453","White","2106-3",12334
,"Travis County, TX","48453","More than one race","M",287
,"Travis County, TX","48453","Unknown or Not Stated","UNK",0
,"Travis County, TX","48453","Not Available","NA",0
,"Travis County, TX","48453","Not Reported","NR",0
,"Webb County, TX","48479","American Indian or Alaska Native","1002-5",0
,"Webb County, TX","48479","Asian","A",13
,"Webb County, TX","48479","Black or African American","2054-5",Suppressed
,"Webb County, TX","48479","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Webb County, TX","48479","White","2106-3",4602
,"Webb County, TX","48479","More than one race","M",Suppressed
,"Webb County, TX","48479","Unknown or Not Stated","UNK",0
,"Webb County, TX","48479","Not Available","NA",0
,"Webb County, TX","48479","Not Reported","NR",0
,"Wichita County, TX","48485","American Indian or Alaska Native","1002-5",18
,"Wichita County, TX","48485","Asian","A",37
,"Wichita County, TX","48485","Black or African American","2054-5",252
,"Wichita County, TX","48485","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Wichita County, TX","48485","White","2106-3",1268
